id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,14,1,98.18,98.18
2,1,17,5,270.92,1354.60
3,1,21,6,113.03,678.18
4,1,2,6,72.00,432.00
5,2,7,1,18.00,18.00
6,2,3,2,94.00,188.00
7,2,24,6,450.00,2700.00
8,2,7,3,18.00,54.00
9,3,29,3,152.32,456.96
10,3,22,5,179.15,895.75
11,3,1,3,50.00,150.00
12,3,7,6,18.00,108.00
13,4,6,6,160.00,960.00
14,5,11,6,95.53,573.18
15,5,11,6,95.53,573.18
16,5,27,1,73.01,73.01
17,5,27,2,73.01,146.02
18,6,21,4,113.03,452.12
19,6,13,6,70.00,420.00
20,6,18,5,380.00,1900.00
21,7,27,1,73.01,73.01
22,7,9,1,41.47,41.47
23,7,24,6,450.00,2700.00
24,8,19,2,45.00,90.00
25,8,11,5,95.53,477.65
26,8,9,3,41.47,124.41
27,9,19,4,45.00,180.00
28,10,22,3,179.15,537.45
29,11,12,4,145.00,580.00
30,12,22,4,179.15,716.60
31,12,15,3,137.71,413.13
32,13,13,6,70.00,420.00
33,13,17,6,270.92,1625.52
34,13,16,6,193.16,1158.96
35,13,8,5,27.32,136.60
36,14,25,3,35.00,105.00
37,14,16,3,193.16,579.48
38,14,14,5,98.18,490.90
39,15,17,6,270.92,1625.52
40,15,12,6,145.00,870.00
41,15,27,5,73.01,365.05
42,16,12,5,145.00,725.00
43,16,8,5,27.32,136.60
44,16,24,3,450.00,1350.00
45,17,1,4,50.00,200.00
46,18,18,6,380.00,2280.00
47,19,27,4,73.01,292.04
48,19,26,2,50.55,101.10
49,19,1,2,50.00,100.00
50,20,22,4,179.15,716.60
51,20,18,1,380.00,380.00
52,20,7,1,18.00,18.00
53,21,18,2,380.00,760.00
54,21,19,4,45.00,180.00
55,21,8,3,27.32,81.96
56,22,1,2,50.00,100.00
57,23,10,1,62.94,62.94
58,23,11,1,95.53,95.53
59,23,21,2,113.03,226.06
60,24,3,2,94.00,188.00
61,25,15,5,137.71,688.55
62,26,23,4,283.93,1135.72
63,26,23,1,283.93,283.93
64,26,15,5,137.71,688.55
65,27,20,2,71.32,142.64
66,27,23,3,283.93,851.79
67,28,14,5,98.18,490.90
68,28,20,2,71.32,142.64
69,28,15,1,137.71,137.71
70,29,7,4,18.00,72.00
71,29,3,4,94.00,376.00
72,30,12,4,145.00,580.00
73,30,2,1,72.00,72.00
74,31,1,4,50.00,200.00
75,31,10,5,62.94,314.70
76,32,17,3,270.92,812.76
77,32,23,5,283.93,1419.65
78,32,30,6,220.00,1320.00
79,33,30,3,220.00,660.00
80,33,19,5,45.00,225.00
81,34,23,1,283.93,283.93
82,34,7,2,18.00,36.00
83,34,25,5,35.00,175.00
84,35,22,5,179.15,895.75
85,35,29,1,152.32,152.32
86,35,23,2,283.93,567.86
87,36,27,4,73.01,292.04
88,36,16,4,193.16,772.64
89,36,6,4,160.00,640.00
90,36,28,6,105.46,632.76
91,37,14,2,98.18,196.36
92,37,20,6,71.32,427.92
93,37,26,6,50.55,303.30
94,37,1,5,50.00,250.00
95,38,15,3,137.71,413.13
96,38,11,2,95.53,191.06
97,38,8,4,27.32,109.28
98,38,16,2,193.16,386.32
99,39,13,5,70.00,350.00
100,39,23,6,283.93,1703.58
101,39,9,5,41.47,207.35
102,40,16,4,193.16,772.64
103,40,17,2,270.92,541.84
104,41,11,5,95.53,477.65
105,42,6,3,160.00,480.00
106,43,12,4,145.00,580.00
107,43,28,5,105.46,527.30
108,44,2,5,72.00,360.00
109,44,8,5,27.32,136.60
110,44,11,1,95.53,95.53
111,44,7,3,18.00,54.00
112,45,6,2,160.00,320.00
113,45,6,4,160.00,640.00
114,45,2,2,72.00,144.00
115,45,29,5,152.32,761.60
116,46,1,1,50.00,50.00
117,46,4,5,116.00,580.00
118,46,6,1,160.00,160.00
119,47,13,4,70.00,280.00
120,48,11,1,95.53,95.53
121,48,22,4,179.15,716.60
122,48,12,1,145.00,145.00
123,49,1,4,50.00,200.00
124,49,24,1,450.00,450.00
125,50,10,5,62.94,314.70
126,50,24,5,450.00,2250.00
127,51,3,4,94.00,376.00
128,51,20,3,71.32,213.96
129,52,29,3,152.32,456.96
130,52,14,6,98.18,589.08
131,52,1,6,50.00,300.00
132,52,18,3,380.00,1140.00
133,53,5,2,138.00,276.00
134,54,14,2,98.18,196.36
135,55,9,5,41.47,207.35
136,55,19,3,45.00,135.00
137,55,7,2,18.00,36.00
138,56,16,6,193.16,1158.96
139,56,3,2,94.00,188.00
140,57,27,5,73.01,365.05
141,57,20,2,71.32,142.64
142,57,18,3,380.00,1140.00
143,57,10,1,62.94,62.94
144,58,15,1,137.71,137.71
145,58,2,5,72.00,360.00
146,59,4,2,116.00,232.00
147,59,19,3,45.00,135.00
148,60,13,5,70.00,350.00
149,60,17,2,270.92,541.84
150,60,24,6,450.00,2700.00
151,61,22,2,179.15,358.30
152,62,13,1,70.00,70.00
153,63,2,5,72.00,360.00
154,63,7,2,18.00,36.00
155,64,7,6,18.00,108.00
156,65,9,4,41.47,165.88
157,65,10,3,62.94,188.82
158,65,10,5,62.94,314.70
