id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Regular,Ate,2026-03-06
2,E0002,Entidad 002,Regular,Surco,2026-03-18
3,E0003,Entidad 003,Nuevo,Lince,2026-04-07
4,E0004,Entidad 004,Nuevo,Surco,2026-01-01
5,E0005,Entidad 005,Regular,Comas,2026-02-06
6,E0006,Entidad 006,Regular,Lince,2026-01-02
7,E0007,Entidad 007,Nuevo,Ate,2026-01-27
8,E0008,Entidad 008,Nuevo,Miraflores,2026-02-14
9,E0009,Entidad 009,Corporativo,Callao,2026-04-06
10,E0010,Entidad 010,Regular,Ate,2026-01-12
11,E0011,Entidad 011,Corporativo,Miraflores,2026-02-28
12,E0012,Entidad 012,Preferente,Miraflores,2026-01-04
13,E0013,Entidad 013,Corporativo,Ate,2026-03-01
14,E0014,Entidad 014,Nuevo,Comas,2026-02-21
15,E0015,Entidad 015,Nuevo,Comas,2026-02-24
16,E0016,Entidad 016,Nuevo,Callao,2026-03-09
17,E0017,Entidad 017,Corporativo,Callao,2026-03-14
18,E0018,Entidad 018,Nuevo,Los Olivos,2026-03-15
19,E0019,Entidad 019,Preferente,San Miguel,2026-04-15
20,E0020,Entidad 020,Regular,Comas,2026-04-02
21,E0021,Entidad 021,Nuevo,Lince,2026-01-19
22,E0022,Entidad 022,Nuevo,Surco,2026-04-19
23,E0023,Entidad 023,Regular,Lince,2026-03-28
24,E0024,Entidad 024,Nuevo,Miraflores,2026-03-13
25,E0025,Entidad 025,Nuevo,Miraflores,2026-03-12
26,E0026,Entidad 026,Nuevo,Callao,2026-02-25
27,E0027,Entidad 027,Preferente,Miraflores,2026-04-17
28,E0028,Entidad 028,Corporativo,Los Olivos,2026-01-05
29,E0029,Entidad 029,Preferente,Lince,2026-04-13
30,E0030,Entidad 030,Nuevo,Ate,2026-01-26
31,E0031,Entidad 031,Corporativo,Lince,2026-03-01
32,E0032,Entidad 032,Nuevo,Callao,2026-03-13
33,E0033,Entidad 033,Regular,Miraflores,2026-02-10
34,E0034,Entidad 034,Nuevo,Comas,2026-02-26
35,E0035,Entidad 035,Corporativo,Lince,2026-01-24
36,E0036,Entidad 036,Nuevo,Lince,2026-01-09
37,E0037,Entidad 037,Corporativo,Lince,2026-02-17
38,E0038,Entidad 038,Regular,Surco,2026-04-06
39,E0039,Entidad 039,Nuevo,San Miguel,2026-02-27
40,E0040,Entidad 040,Regular,Comas,2026-01-01
41,E0041,Entidad 041,Nuevo,Comas,2026-03-20
42,E0042,Entidad 042,Preferente,Surco,2026-01-16
43,E0043,Entidad 043,Regular,Miraflores,2026-03-27
44,E0044,Entidad 044,Corporativo,San Miguel,2026-01-01
45,E0045,Entidad 045,Corporativo,Lince,2026-03-30
46,E0046,Entidad 046,Preferente,Surco,2026-03-02
47,E0047,Entidad 047,Preferente,Miraflores,2026-01-11
48,E0048,Entidad 048,Nuevo,San Miguel,2026-01-18
49,E0049,Entidad 049,Corporativo,Callao,2026-02-19
50,E0050,Entidad 050,Preferente,Surco,2026-02-18
51,E0051,Entidad 051,Regular,Comas,2026-02-19
52,E0052,Entidad 052,Regular,Los Olivos,2026-04-17
53,E0053,Entidad 053,Corporativo,Ate,2026-04-09
54,E0054,Entidad 054,Regular,Los Olivos,2026-03-07
55,E0055,Entidad 055,Nuevo,Ate,2026-03-29
56,E0056,Entidad 056,Corporativo,Lince,2026-02-11
57,E0057,Entidad 057,Regular,Lince,2026-03-01
58,E0058,Entidad 058,Preferente,San Miguel,2026-03-17
59,E0059,Entidad 059,Preferente,Callao,2026-03-21
60,E0060,Entidad 060,Corporativo,Lince,2026-03-18
61,E0061,Entidad 061,Preferente,Comas,2026-03-12
62,E0062,Entidad 062,Nuevo,Los Olivos,2026-01-26
63,E0063,Entidad 063,Preferente,Los Olivos,2026-03-24
64,E0064,Entidad 064,Regular,Lince,2026-04-07
65,E0065,Entidad 065,Preferente,Lince,2026-04-02
66,E0066,Entidad 066,Regular,San Miguel,2026-03-24
67,E0067,Entidad 067,Preferente,San Miguel,2026-01-21
68,E0068,Entidad 068,Preferente,Callao,2026-02-04
69,E0069,Entidad 069,Nuevo,Callao,2026-01-11
70,E0070,Entidad 070,Nuevo,Miraflores,2026-01-24
71,E0071,Entidad 071,Corporativo,San Miguel,2026-02-03
72,E0072,Entidad 072,Nuevo,Lince,2026-04-10
73,E0073,Entidad 073,Nuevo,Miraflores,2026-03-01
74,E0074,Entidad 074,Preferente,Ate,2026-03-08
75,E0075,Entidad 075,Nuevo,Lince,2026-01-16
76,E0076,Entidad 076,Corporativo,Comas,2026-04-19
77,E0077,Entidad 077,Preferente,Surco,2026-01-01
78,E0078,Entidad 078,Regular,Lince,2026-03-24
79,E0079,Entidad 079,Corporativo,Callao,2026-03-11
80,E0080,Entidad 080,Preferente,Los Olivos,2026-02-15
