id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-02-14,Tarjeta,0.0,Anulado
2,PG00002,2,2026-01-04,Efectivo,4750.43,pagado
3,PG00003,3,2026-02-19,Transferencia,1610.71,Pagado
4,PG00004,4,2026-01-21,Cobertura EPS,960.00,Pagado
5,PG00005,5,2026-03-03,Tarjeta,1365.39,Pagado
6,PG00006,6,2026-05-27,Efectivo,2772.12,Pagado
7,PG00007,7,2026-01-02,Transferencia,0.0,Anulado
8,PG00008,8,2026-02-11,Cobertura EPS,692.06,Pagado
9,PG00009,9,2026-02-09,Tarjeta,0.0,Anulado
10,PG00010,10,2026-03-15,Efectivo,537.45,Pagado
11,PG00011,11,2026-01-14,Transferencia,0.0,Anulado
12,PG00012,12,2026-03-27,Cobertura EPS,0.0,Anulado
13,PG00013,13,2026-04-08,Tarjeta,3341.08,Pagado
14,PG00014,14,2026-04-13,Efectivo,811.02,Parcial
15,PG00015,15,2026-06-05,Transferencia,1435.26,Parcial
16,PG00016,16,2026-04-20,Cobertura EPS,2211.60,Pagado
17,PG00017,17,2026-01-16,Tarjeta,200.00,Pagado
18,PG00018,18,2026-01-05,Efectivo,2280.00,Pagado
19,PG00019,19,2026-02-20,Transferencia,493.14,Pagado
20,PG00020,20,2026-05-04,Cobertura EPS,1114.60,Pagado
21,PG00021,21,2026-03-28,Tarjeta,1754.89,Parcial
22,PG00022,22,2026-02-22,Efectivo,100.00,Pagado
23,PG00023,23,2026-06-24,Transferencia,384.53,Pagado
24,PG00024,24,2026-06-13,Cobertura EPS,188.00,Pagado
25,PG00025,25,2026-02-05,Tarjeta,688.55,Pagado
26,PG00026,26,2026-05-23,Efectivo,1423.4,Parcial
27,PG00027,27,2026-06-19,Transferencia,0.0,Anulado
28,PG00028,28,2026-06-13,Cobertura EPS,0.0,Anulado
29,PG00029,29,2026-06-09,Tarjeta,448.00,Pagado
30,PG00030,30,2026-06-08,Efectivo,652.00,Pagado
31,PG00031,31,2026-04-03,Transferencia,514.70,Pagado
32,PG00032,32,2026-01-28,Cobertura EPS,0.0,Anulado
33,PG00033,33,2026-03-24,Tarjeta,1687.07,Parcial
34,PG00034,34,2026-02-16,Efectivo,494.93,Pagado
35,PG00035,35,2026-02-24,Transferencia,1615.93,Pagado
36,PG00036,36,2026-06-14,Cobertura EPS,2337.44,Pagado
37,PG00037,37,2026-01-05,Tarjeta,1177.58,Pagado
38,PG00038,38,2026-02-17,Efectivo,1099.79,Pagado
39,PG00039,39,2026-03-11,Transferencia,1179.54,Parcial
40,PG00040,40,2026-04-23,Cobertura EPS,1314.48,Pagado
41,PG00041,41,2026-02-14,Tarjeta,0.0,Anulado
42,PG00042,42,2026-05-27,Efectivo,480.00,Pagado
43,PG00043,43,2026-02-18,Transferencia,0.0,Anulado
44,PG00044,44,2026-02-18,Cobertura EPS,0.0,Anulado
45,PG00045,45,2026-03-08,Tarjeta,0.0,Anulado
