id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Premium,281.44,1
2,P0002,Servicio/Producto 02,Est?ndar,254.31,1
3,P0003,Servicio/Producto 03,B?sico,204.85,1
4,P0004,Servicio/Producto 04,Premium,233.78,1
5,P0005,Servicio/Producto 05,B?sico,128.32,1
6,P0006,Servicio/Producto 06,Premium,82.29,1
7,P0007,Servicio/Producto 07,Premium,47.32,1
8,P0008,Servicio/Producto 08,Especializado,332.61,1
9,P0009,Servicio/Producto 09,Premium,172.16,1
10,P0010,Servicio/Producto 10,B?sico,45.35,1
11,P0011,Servicio/Producto 11,Est?ndar,33.16,1
12,P0012,Servicio/Producto 12,B?sico,58.32,1
13,P0013,Servicio/Producto 13,Premium,136.82,1
14,P0014,Servicio/Producto 14,Especializado,240.58,1
15,P0015,Servicio/Producto 15,B?sico,353.28,1
