id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,25,1,0.00,0.00
2,1,18,3,180.00,540.00
3,2,23,3,42.75,128.25
4,2,19,6,8.00,48.00
5,2,14,6,36.00,216.00
6,2,23,2,42.75,85.50
7,3,17,5,144.00,720.00
8,3,10,1,330.69,330.69
9,3,17,6,144.00,864.00
10,4,7,4,120.00,480.00
11,5,7,6,120.00,720.00
12,6,19,1,8.00,8.00
13,6,29,3,36.00,108.00
14,6,9,6,235.87,1415.22
15,7,13,4,0.00,0.00
16,7,19,1,8.00,8.00
17,7,21,4,18.49,73.96
18,8,24,6,65.00,390.00
19,8,16,2,108.00,216.00
20,9,24,3,65.00,195.00
21,9,18,2,180.00,360.00
22,10,15,2,72.00,144.00
23,10,18,3,180.00,540.00
24,10,17,1,144.00,144.00
25,10,26,6,9.00,54.00
26,11,18,1,180.00,180.00
27,11,22,6,28.12,168.72
28,11,30,6,45.00,270.00
29,12,27,4,18.00,72.00
30,12,18,4,180.00,720.00
31,13,11,1,463.63,463.63
32,13,1,1,0.00,0.00
33,13,15,6,72.00,432.00
34,13,27,5,18.00,90.00
35,14,29,4,36.00,144.00
36,14,3,1,10.00,10.00
37,15,7,5,120.00,600.00
38,15,26,6,9.00,54.00
39,15,15,6,72.00,432.00
40,16,21,6,18.49,110.94
41,16,4,1,15.00,15.00
42,17,24,4,65.00,260.00
43,17,15,4,72.00,288.00
44,18,22,4,28.12,112.48
45,18,3,2,10.00,20.00
46,18,29,5,36.00,180.00
47,18,14,1,36.00,36.00
48,19,4,5,15.00,75.00
49,19,18,4,180.00,720.00
50,20,11,1,463.63,463.63
51,20,22,5,28.12,140.60
52,21,29,6,36.00,216.00
53,21,24,2,65.00,130.00
54,21,10,6,330.69,1984.14
55,22,10,5,330.69,1653.45
56,23,3,3,10.00,30.00
57,23,15,5,72.00,360.00
58,24,21,6,18.49,110.94
59,25,28,5,27.00,135.00
60,25,13,3,0.00,0.00
61,26,12,5,650.00,3250.00
62,27,22,1,28.12,28.12
63,27,7,3,120.00,360.00
64,28,8,6,168.24,1009.44
65,29,19,4,8.00,32.00
66,29,22,3,28.12,84.36
67,29,28,4,27.00,108.00
68,30,23,4,42.75,171.00
69,30,11,2,463.63,927.26
70,31,12,3,650.00,1950.00
71,31,26,1,9.00,9.00
72,31,9,4,235.87,943.48
73,31,6,4,25.00,100.00
74,32,29,2,36.00,72.00
75,33,24,5,65.00,325.00
76,33,30,4,45.00,180.00
77,33,30,3,45.00,135.00
78,34,19,5,8.00,40.00
79,34,21,4,18.49,73.96
80,34,14,3,36.00,108.00
81,35,25,3,0.00,0.00
82,35,20,4,12.16,48.64
83,36,10,1,330.69,330.69
84,36,1,2,0.00,0.00
85,36,19,6,8.00,48.00
86,36,11,6,463.63,2781.78
87,37,15,3,72.00,216.00
88,37,24,6,65.00,390.00
89,38,8,5,168.24,841.20
90,38,6,3,25.00,75.00
91,38,12,4,650.00,2600.00
92,38,4,6,15.00,90.00
93,39,24,2,65.00,130.00
94,39,28,2,27.00,54.00
95,39,30,1,45.00,45.00
96,40,17,2,144.00,288.00
97,40,15,3,72.00,216.00
98,41,4,2,15.00,30.00
99,41,13,4,0.00,0.00
100,42,2,5,5.00,25.00
101,42,17,6,144.00,864.00
102,43,18,2,180.00,360.00
103,43,10,6,330.69,1984.14
104,44,11,4,463.63,1854.52
105,44,7,2,120.00,240.00
106,45,24,6,65.00,390.00
107,45,4,6,15.00,90.00
108,45,16,1,108.00,108.00
109,46,19,2,8.00,16.00
110,46,30,5,45.00,225.00
111,46,27,3,18.00,54.00
112,46,10,5,330.69,1653.45
113,47,14,4,36.00,144.00
114,47,4,5,15.00,75.00
115,48,6,3,25.00,75.00
116,49,24,5,65.00,325.00
117,49,19,6,8.00,48.00
118,50,5,5,20.00,100.00
119,50,26,6,9.00,54.00
120,50,24,4,65.00,260.00
121,51,13,4,0.00,0.00
122,52,8,2,168.24,336.48
123,52,8,4,168.24,672.96
124,52,11,5,463.63,2318.15
125,52,18,4,180.00,720.00
126,53,13,6,0.00,0.00
127,53,12,4,650.00,2600.00
128,54,2,5,5.00,25.00
129,55,27,5,18.00,90.00
130,55,22,4,28.12,112.48
131,55,20,2,12.16,24.32
132,56,4,3,15.00,45.00
133,57,11,3,463.63,1390.89
134,57,16,5,108.00,540.00
135,57,7,2,120.00,240.00
136,57,13,5,0.00,0.00
137,58,23,5,42.75,213.75
138,58,19,2,8.00,16.00
139,58,26,5,9.00,45.00
140,59,30,2,45.00,90.00
141,59,20,1,12.16,12.16
142,59,24,3,65.00,195.00
143,59,17,5,144.00,720.00
