id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Regular,Lince,2026-02-26
2,E0002,Entidad 002,Nuevo,Lince,2026-01-17
3,E0003,Entidad 003,Corporativo,San Miguel,2026-01-08
4,E0004,Entidad 004,Nuevo,San Miguel,2026-01-05
5,E0005,Entidad 005,Corporativo,Surco,2026-02-02
6,E0006,Entidad 006,Corporativo,Miraflores,2026-02-28
7,E0007,Entidad 007,Regular,Comas,2026-01-16
8,E0008,Entidad 008,Regular,San Miguel,2026-02-15
9,E0009,Entidad 009,Nuevo,Surco,2026-04-16
10,E0010,Entidad 010,Nuevo,Los Olivos,2026-02-26
11,E0011,Entidad 011,Preferente,Ate,2026-02-08
12,E0012,Entidad 012,Preferente,Comas,2026-01-19
13,E0013,Entidad 013,Regular,Los Olivos,2026-04-01
14,E0014,Entidad 014,Preferente,Surco,2026-04-07
15,E0015,Entidad 015,Preferente,San Miguel,2026-01-30
16,E0016,Entidad 016,Regular,Callao,2026-04-08
17,E0017,Entidad 017,Nuevo,Los Olivos,2026-03-02
18,E0018,Entidad 018,Corporativo,Miraflores,2026-04-11
19,E0019,Entidad 019,Regular,Comas,2026-03-11
20,E0020,Entidad 020,Nuevo,Ate,2026-03-17
21,E0021,Entidad 021,Nuevo,Los Olivos,2026-01-22
22,E0022,Entidad 022,Corporativo,Los Olivos,2026-01-03
23,E0023,Entidad 023,Corporativo,San Miguel,2026-03-31
24,E0024,Entidad 024,Preferente,Lince,2026-04-09
25,E0025,Entidad 025,Nuevo,Lince,2026-02-25
26,E0026,Entidad 026,Preferente,Miraflores,2026-01-08
27,E0027,Entidad 027,Nuevo,Los Olivos,2026-04-07
28,E0028,Entidad 028,Regular,Callao,2026-02-05
29,E0029,Entidad 029,Nuevo,San Miguel,2026-03-08
30,E0030,Entidad 030,Nuevo,Los Olivos,2026-01-07
31,E0031,Entidad 031,Corporativo,San Miguel,2026-02-11
32,E0032,Entidad 032,Nuevo,Ate,2026-02-27
33,E0033,Entidad 033,Regular,Ate,2026-01-20
34,E0034,Entidad 034,Corporativo,Miraflores,2026-04-10
35,E0035,Entidad 035,Regular,Ate,2026-01-27
36,E0036,Entidad 036,Nuevo,Miraflores,2026-01-09
37,E0037,Entidad 037,Preferente,Lince,2026-01-11
38,E0038,Entidad 038,Regular,San Miguel,2026-02-01
39,E0039,Entidad 039,Preferente,San Miguel,2026-01-04
40,E0040,Entidad 040,Nuevo,Comas,2026-04-15
41,E0041,Entidad 041,Regular,Callao,2026-02-20
42,E0042,Entidad 042,Corporativo,Miraflores,2026-03-01
43,E0043,Entidad 043,Preferente,Callao,2026-02-25
44,E0044,Entidad 044,Regular,Surco,2026-03-18
45,E0045,Entidad 045,Corporativo,Los Olivos,2026-02-18
46,E0046,Entidad 046,Regular,Los Olivos,2026-02-02
47,E0047,Entidad 047,Regular,Surco,2026-01-17
48,E0048,Entidad 048,Corporativo,San Miguel,2026-03-05
49,E0049,Entidad 049,Corporativo,Comas,2026-04-08
50,E0050,Entidad 050,Corporativo,Lince,2026-04-04
51,E0051,Entidad 051,Preferente,Miraflores,2026-01-19
52,E0052,Entidad 052,Corporativo,Callao,2026-02-28
53,E0053,Entidad 053,Nuevo,Callao,2026-03-15
54,E0054,Entidad 054,Corporativo,Surco,2026-04-13
55,E0055,Entidad 055,Corporativo,Los Olivos,2026-04-04
56,E0056,Entidad 056,Preferente,Ate,2026-04-01
57,E0057,Entidad 057,Regular,Callao,2026-03-27
58,E0058,Entidad 058,Regular,Los Olivos,2026-04-03
59,E0059,Entidad 059,Corporativo,Lince,2026-03-09
60,E0060,Entidad 060,Regular,Comas,2026-02-12
61,E0061,Entidad 061,Corporativo,Callao,2026-01-06
62,E0062,Entidad 062,Corporativo,San Miguel,2026-01-20
63,E0063,Entidad 063,Corporativo,San Miguel,2026-03-01
64,E0064,Entidad 064,Regular,Miraflores,2026-04-07
65,E0065,Entidad 065,Regular,San Miguel,2026-02-22
66,E0066,Entidad 066,Corporativo,Miraflores,2026-03-19
67,E0067,Entidad 067,Corporativo,Miraflores,2026-04-20
68,E0068,Entidad 068,Regular,Miraflores,2026-03-31
69,E0069,Entidad 069,Corporativo,Los Olivos,2026-02-13
70,E0070,Entidad 070,Corporativo,Surco,2026-01-07
71,E0071,Entidad 071,Preferente,Surco,2026-01-04
72,E0072,Entidad 072,Preferente,San Miguel,2026-03-07
73,E0073,Entidad 073,Preferente,San Miguel,2026-02-25
74,E0074,Entidad 074,Nuevo,Lince,2026-02-17
75,E0075,Entidad 075,Nuevo,Lince,2026-03-22
76,E0076,Entidad 076,Preferente,Lince,2026-03-18
77,E0077,Entidad 077,Regular,Comas,2026-01-18
78,E0078,Entidad 078,Preferente,Ate,2026-01-20
79,E0079,Entidad 079,Regular,Lince,2026-01-05
80,E0080,Entidad 080,Nuevo,Ate,2026-02-19
