id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Premium,270.61,1
2,P0002,Servicio/Producto 02,Premium,35.9,1
3,P0003,Servicio/Producto 03,B?sico,205.4,1
4,P0004,Servicio/Producto 04,B?sico,65.57,1
5,P0005,Servicio/Producto 05,B?sico,219.4,1
6,P0006,Servicio/Producto 06,Est?ndar,313.0,1
7,P0007,Servicio/Producto 07,B?sico,125.71,1
8,P0008,Servicio/Producto 08,B?sico,133.76,1
9,P0009,Servicio/Producto 09,Est?ndar,112.1,1
10,P0010,Servicio/Producto 10,Especializado,69.36,1
11,P0011,Servicio/Producto 11,Especializado,273.24,1
12,P0012,Servicio/Producto 12,Premium,306.41,1
13,P0013,Servicio/Producto 13,Especializado,267.74,1
14,P0014,Servicio/Producto 14,B?sico,146.49,1
15,P0015,Servicio/Producto 15,Est?ndar,108.41,1
