id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,13,6,18.00,108.00
2,1,29,1,40.35,40.35
3,2,14,6,25.11,150.66
4,2,4,1,19.39,19.39
5,2,12,2,78.00,156.00
6,3,18,5,95.00,475.00
7,3,5,6,26.05,156.30
8,3,11,3,53.64,160.92
9,4,29,3,40.35,121.05
10,4,14,3,25.11,75.33
11,4,30,3,68.00,204.00
12,5,26,4,8.43,33.72
13,6,10,1,36.89,36.89
14,6,22,4,50.87,203.48
15,6,4,1,19.39,19.39
16,7,1,6,8.00,48.00
17,7,25,4,5.00,20.00
18,7,28,1,23.94,23.94
19,8,25,3,5.00,15.00
20,8,8,3,17.45,52.35
21,8,20,1,23.53,23.53
22,9,15,6,35.01,210.06
23,9,15,5,35.01,175.05
24,10,14,1,25.11,25.11
25,10,1,4,8.00,32.00
26,10,27,4,14.20,56.80
27,11,22,4,50.87,203.48
28,12,3,3,14.44,43.32
29,12,1,6,8.00,48.00
30,12,5,1,26.05,26.05
31,13,5,4,26.05,104.20
32,13,25,3,5.00,15.00
33,14,7,5,12.00,60.00
34,14,12,6,78.00,468.00
35,14,8,3,17.45,52.35
36,14,12,1,78.00,78.00
37,15,2,1,10.75,10.75
38,16,19,3,16.00,48.00
39,16,28,6,23.94,143.64
40,16,24,2,110.00,220.00
41,17,16,6,48.84,293.04
42,17,28,1,23.94,23.94
43,17,27,5,14.20,71.00
44,18,16,3,48.84,146.52
45,19,1,3,8.00,24.00
46,19,16,4,48.84,195.36
47,19,22,6,50.87,305.22
48,19,21,3,34.60,103.80
49,20,14,1,25.11,25.11
50,20,14,1,25.11,25.11
51,20,18,3,95.00,285.00
52,21,21,6,34.60,207.60
53,22,9,2,25.37,50.74
54,22,21,5,34.60,173.00
55,22,23,2,74.81,149.62
56,23,19,6,16.00,96.00
57,23,20,3,23.53,70.59
58,23,30,5,68.00,340.00
59,23,12,6,78.00,468.00
60,24,19,6,16.00,96.00
61,24,1,1,8.00,8.00
62,24,29,4,40.35,161.40
63,25,16,2,48.84,97.68
64,25,4,4,19.39,77.56
65,25,1,4,8.00,32.00
