id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Corporativo,San Miguel,2026-02-18
2,E0002,Entidad 002,Nuevo,Callao,2026-02-01
3,E0003,Entidad 003,Regular,San Miguel,2026-03-09
4,E0004,Entidad 004,Regular,San Miguel,2026-04-11
5,E0005,Entidad 005,Preferente,Los Olivos,2026-03-08
6,E0006,Entidad 006,Regular,San Miguel,2026-04-01
7,E0007,Entidad 007,Nuevo,Ate,2026-03-30
8,E0008,Entidad 008,Corporativo,Lince,2026-03-16
9,E0009,Entidad 009,Regular,Lince,2026-02-16
10,E0010,Entidad 010,Regular,Ate,2026-02-21
11,E0011,Entidad 011,Corporativo,Lince,2026-03-31
12,E0012,Entidad 012,Preferente,Los Olivos,2026-01-24
13,E0013,Entidad 013,Preferente,Miraflores,2026-04-19
14,E0014,Entidad 014,Corporativo,Surco,2026-03-19
15,E0015,Entidad 015,Preferente,Miraflores,2026-03-27
16,E0016,Entidad 016,Corporativo,Los Olivos,2026-03-15
17,E0017,Entidad 017,Regular,San Miguel,2026-01-01
18,E0018,Entidad 018,Nuevo,San Miguel,2026-04-19
19,E0019,Entidad 019,Corporativo,Comas,2026-01-19
20,E0020,Entidad 020,Corporativo,Callao,2026-03-05
21,E0021,Entidad 021,Corporativo,Ate,2026-04-13
22,E0022,Entidad 022,Regular,Miraflores,2026-04-05
23,E0023,Entidad 023,Corporativo,Comas,2026-02-11
24,E0024,Entidad 024,Regular,San Miguel,2026-02-16
25,E0025,Entidad 025,Preferente,Surco,2026-01-07
26,E0026,Entidad 026,Corporativo,Ate,2026-03-31
27,E0027,Entidad 027,Regular,Ate,2026-04-16
28,E0028,Entidad 028,Regular,Lince,2026-01-03
29,E0029,Entidad 029,Nuevo,Lince,2026-03-13
30,E0030,Entidad 030,Regular,Miraflores,2026-01-02
31,E0031,Entidad 031,Preferente,Los Olivos,2026-01-25
32,E0032,Entidad 032,Regular,Comas,2026-02-12
33,E0033,Entidad 033,Preferente,Ate,2026-03-17
34,E0034,Entidad 034,Regular,Comas,2026-02-23
35,E0035,Entidad 035,Preferente,Miraflores,2026-04-17
36,E0036,Entidad 036,Preferente,San Miguel,2026-01-07
37,E0037,Entidad 037,Nuevo,Surco,2026-02-20
38,E0038,Entidad 038,Preferente,Ate,2026-03-03
39,E0039,Entidad 039,Regular,Lince,2026-03-09
40,E0040,Entidad 040,Nuevo,Lince,2026-03-31
41,E0041,Entidad 041,Preferente,Callao,2026-03-01
42,E0042,Entidad 042,Nuevo,Callao,2026-04-11
43,E0043,Entidad 043,Preferente,Surco,2026-02-03
44,E0044,Entidad 044,Regular,Miraflores,2026-01-28
45,E0045,Entidad 045,Preferente,Miraflores,2026-01-19
46,E0046,Entidad 046,Regular,San Miguel,2026-02-26
47,E0047,Entidad 047,Corporativo,Callao,2026-02-13
48,E0048,Entidad 048,Preferente,Ate,2026-04-20
49,E0049,Entidad 049,Preferente,Los Olivos,2026-04-19
50,E0050,Entidad 050,Corporativo,Miraflores,2026-03-07
51,E0051,Entidad 051,Regular,Los Olivos,2026-01-04
52,E0052,Entidad 052,Preferente,Miraflores,2026-01-01
53,E0053,Entidad 053,Corporativo,Miraflores,2026-02-03
54,E0054,Entidad 054,Regular,Surco,2026-03-18
55,E0055,Entidad 055,Nuevo,Comas,2026-02-20
56,E0056,Entidad 056,Preferente,Miraflores,2026-03-07
57,E0057,Entidad 057,Regular,Ate,2026-03-15
58,E0058,Entidad 058,Regular,Lince,2026-01-01
59,E0059,Entidad 059,Preferente,San Miguel,2026-01-11
60,E0060,Entidad 060,Corporativo,Callao,2026-03-07
61,E0061,Entidad 061,Preferente,Comas,2026-02-20
62,E0062,Entidad 062,Regular,Lince,2026-03-12
63,E0063,Entidad 063,Corporativo,Callao,2026-01-24
64,E0064,Entidad 064,Corporativo,Callao,2026-02-05
65,E0065,Entidad 065,Corporativo,Surco,2026-04-09
66,E0066,Entidad 066,Nuevo,Surco,2026-02-07
67,E0067,Entidad 067,Preferente,Ate,2026-03-13
68,E0068,Entidad 068,Nuevo,Los Olivos,2026-03-31
69,E0069,Entidad 069,Regular,San Miguel,2026-03-07
70,E0070,Entidad 070,Preferente,Lince,2026-01-15
71,E0071,Entidad 071,Nuevo,Comas,2026-03-21
72,E0072,Entidad 072,Corporativo,Los Olivos,2026-01-14
73,E0073,Entidad 073,Nuevo,Callao,2026-02-24
74,E0074,Entidad 074,Regular,Callao,2026-02-26
75,E0075,Entidad 075,Corporativo,San Miguel,2026-02-03
76,E0076,Entidad 076,Regular,San Miguel,2026-01-27
77,E0077,Entidad 077,Regular,Comas,2026-01-14
78,E0078,Entidad 078,Regular,Surco,2026-04-06
79,E0079,Entidad 079,Corporativo,Ate,2026-03-30
80,E0080,Entidad 080,Preferente,Los Olivos,2026-04-07
