id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-06-04,Tarjeta,148.35,Pagado
2,PG00002,2,2026-05-01,Efectivo,326.05,Pagado
3,PG00003,3,2026-02-26,Yape/Plin,792.22,Pagado
4,PG00004,4,2026-03-27,Transferencia,400.38,Pagado
5,PG00005,5,2025-12-24,Tarjeta,0.0,Anulado
6,PG00006,6,2026-01-19,Efectivo,259.76,Pagado
7,PG00007,7,2026-06-03,Yape/Plin,91.94,Pagado
8,PG00008,8,2026-03-15,Transferencia,90.88,Pagado
9,PG00009,9,2026-02-14,Tarjeta,385.11,Pagado
10,PG00010,10,2026-02-02,Efectivo,3809.54,pagado
11,PG00011,11,2026-06-15,Yape/Plin,203.48,Pagado
12,PG00012,12,2026-01-12,Transferencia,2348.09,Parcial
13,PG00013,13,2026-04-07,Tarjeta,119.20,Pagado
14,PG00014,14,2026-03-04,Efectivo,658.35,Pagado
15,PG00015,15,2026-01-24,Yape/Plin,10.75,Pagado
16,PG00016,16,2026-02-23,Transferencia,411.64,Pagado
17,PG00017,17,2026-04-28,Tarjeta,387.98,Pagado
18,PG00018,18,2026-05-17,Efectivo,146.52,Pagado
19,PG00019,19,2026-01-18,Yape/Plin,4602.32,pagado
20,PG00020,20,2026-01-07,Transferencia,335.22,Pagado
21,PG00021,21,2026-01-11,Tarjeta,207.60,Pagado
22,PG00022,22,2026-05-13,Efectivo,0.0,Anulado
23,PG00023,23,2026-01-03,Yape/Plin,974.59,Pagado
24,PG00024,24,,Transferencia,265.40,Pagado
25,PG00025,25,2025-12-18,Tarjeta,0.0,Anulado
26,PG00026,26,2026-01-02,Efectivo,466.86,Pagado
27,PG00027,27,2026-05-23,Yape/Plin,101.74,Pagado
28,PG00028,28,2026-04-09,Transferencia,6280.55,Pagado
29,PG00029,29,2026-01-05,Tarjeta,896.29,Pagado
30,PG00030,30,2026-03-27,Efectivo,0.0,Anulado
31,PG00031,31,2026-04-26,Yape/Plin,28.40,Pagado
32,PG00032,32,2026-01-01,Transferencia,329.43,Pagado
33,PG00033,33,2026-06-06,Tarjeta,344.29,Pagado
34,PG00034,34,2026-04-04,Efectivo,117.65,Pagado
35,PG00035,35,2026-03-05,Yape/Plin,1382.92,Parcial
36,PG00036,36,2026-01-24,Transferencia,3472.86,Pagado
37,PG00037,37,2026-06-09,Tarjeta,613.87,Pagado
38,PG00038,38,2026-04-08,Efectivo,276.08,Pagado
39,PG00039,39,2026-02-10,Yape/Plin,0.0,Anulado
40,PG00040,40,2026-02-20,Transferencia,1072.62,Parcial
41,PG00041,41,2026-06-27,Tarjeta,811.00,Pagado
42,PG00042,42,2026-04-06,Efectivo,0.0,Anulado
43,PG00043,43,2026-03-23,Yape/Plin,0.0,Anulado
44,PG00044,44,2026-05-27,Transferencia,28.75,Pagado
45,PG00045,45,2026-06-09,Tarjeta,294.79,Pagado
46,PG00046,46,2026-06-14,Efectivo,784.94,Pagado
47,PG00047,47,2026-01-18,Yape/Plin,150.54,Pagado
48,PG00048,48,2026-02-21,Transferencia,2123.99,Parcial
49,PG00049,49,2026-02-15,Tarjeta,0.0,Anulado
50,PG00050,50,2026-04-14,Efectivo,749.55,Pagado
51,PG00051,51,2026-02-03,Yape/Plin,1831.67,Parcial
52,PG00052,52,2026-02-25,Transferencia,0.0,Anulado
53,PG00053,53,2026-02-09,Tarjeta,0.0,Anulado
54,PG00054,54,2026-05-08,Efectivo,0.0,Anulado
55,PG00055,55,2026-01-26,Yape/Plin,474.24,Pagado
56,PG00056,56,2026-01-06,Transferencia,61.11,Pagado
57,PG00057,57,2026-02-11,Tarjeta,68.11,Pagado
58,PG00058,58,2026-03-02,Efectivo,266.29,Pagado
59,PG00059,59,2026-05-18,Yape/Plin,2764.95,Parcial
60,PG00060,60,2026-02-20,Transferencia,152.61,Pagado
61,PG00061,61,2026-01-20,Tarjeta,366.33,Pagado
62,PG00062,62,2026-03-28,Efectivo,327.12,Pagado
63,PG00063,63,2026-05-27,Yape/Plin,262.02,Pagado
64,PG00064,64,2026-05-22,Transferencia,228.75,Pagado
65,PG00065,65,2026-01-15,Tarjeta,205.86,Pagado
66,PG00066,66,2026-06-13,Efectivo,1674.01,Parcial
67,PG00067,67,2026-04-19,Yape/Plin,70.00,Pagado
68,PG00068,68,2026-04-15,Transferencia,70.00,Pagado
69,PG00069,69,2026-04-06,Tarjeta,25.37,Pagado
70,PG00070,70,2026-05-23,Efectivo,0.0,Anulado
71,PG00071,71,2026-06-18,Yape/Plin,117.26,Pagado
72,PG00072,72,2026-06-05,Transferencia,1357.8,Parcial
73,PG00073,73,2026-03-03,Tarjeta,0.0,Anulado
74,PG00074,74,2026-01-23,Efectivo,47.06,Pagado
75,PG00075,75,2026-05-24,Yape/Plin,125.57,Pagado
76,PG00076,76,2026-01-05,Transferencia,348.43,Pagado
77,PG00077,77,,Tarjeta,1302.65,Parcial
78,PG00078,78,2026-02-10,Efectivo,155.61,Pagado
79,PG00079,79,2026-05-06,Yape/Plin,362.27,Pagado
80,PG00080,80,2026-02-02,Transferencia,18.00,Pagado
81,PG00081,81,2026-04-17,Tarjeta,0.0,Anulado
82,PG00082,82,2026-01-25,Efectivo,202.60,Pagado
83,PG00083,83,2026-02-28,Yape/Plin,137.80,Pagado
84,PG00084,84,2026-05-12,Transferencia,344.58,Pagado
85,PG00085,85,2026-05-28,Tarjeta,26.05,Pagado
86,PG00086,86,2026-02-18,Efectivo,411.30,Pagado
87,PG00087,87,2026-02-06,Yape/Plin,621.73,Pagado
88,PG00088,88,2026-05-01,Transferencia,0.0,Anulado
89,PG00089,89,2026-03-04,Tarjeta,448.98,Pagado
90,PG00090,90,2026-05-28,Efectivo,251.32,Pagado
91,PG00091,91,2026-02-25,Yape/Plin,124.91,Pagado
92,PG00092,92,2026-05-19,Transferencia,0.0,Anulado
93,PG00093,93,2026-01-25,Tarjeta,48.84,Pagado
94,PG00094,94,2026-06-13,Efectivo,337.56,Pagado
95,PG00095,95,2026-03-15,Yape/Plin,324.14,Pagado
96,PG00096,96,2026-03-17,Transferencia,2568.06,Pagado
97,PG00097,97,2026-02-24,Tarjeta,140.00,Pagado
98,PG00098,98,2026-03-09,Efectivo,1657.71,Parcial
99,PG00099,99,2026-01-05,Yape/Plin,0.0,Anulado
100,PG00100,100,2026-06-05,Transferencia,324.00,Pagado
101,PG00101,101,2026-03-13,Tarjeta,0.0,Anulado
102,PG00102,102,2026-06-10,Efectivo,1145.66,Parcial
103,PG00103,103,2026-04-26,Yape/Plin,84.35,Pagado
104,PG00104,104,2026-01-24,Transferencia,0.0,Anulado
105,PG00105,105,2026-06-05,Tarjeta,633.19,Pagado
106,PG00106,106,2026-04-27,Efectivo,2513.54,Parcial
107,PG00107,107,2026-03-01,Yape/Plin,415.47,Parcial
108,PG00108,108,2026-02-12,Transferencia,732.78,Pagado
109,PG00109,109,2026-02-09,Tarjeta,0.0,Anulado
110,PG00110,110,2026-02-09,Efectivo,98.87,Pagado
111,PG00111,111,2026-04-09,Yape/Plin,0.0,Anulado
112,PG00112,112,2026-06-18,Transferencia,751.25,Pagado
113,PG00113,113,2026-04-24,Tarjeta,0.0,Anulado
114,PG00114,114,,Efectivo,125.55,Pagado
115,PG00115,115,2026-05-17,Yape/Plin,685.50,Pagado
116,PG00116,116,2026-05-24,Transferencia,2637.92,pagado
117,PG00117,117,2026-06-13,Tarjeta,299.24,Pagado
118,PG00118,118,2026-04-25,Efectivo,0.0,Anulado
119,PG00119,119,2026-06-19,Yape/Plin,375.60,Pagado
