id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Est?ndar,33.01,1
2,P0002,Servicio/Producto 02,Est?ndar,98.38,1
3,P0003,Servicio/Producto 03,B?sico,173.62,1
4,P0004,Servicio/Producto 04,Especializado,227.38,1
5,P0005,Servicio/Producto 05,Est?ndar,335.33,1
6,P0006,Servicio/Producto 06,Premium,183.6,1
7,P0007,Servicio/Producto 07,B?sico,359.51,1
8,P0008,Servicio/Producto 08,Est?ndar,351.21,1
9,P0009,Servicio/Producto 09,B?sico,268.38,1
10,P0010,Servicio/Producto 10,Premium,228.83,1
11,P0011,Servicio/Producto 11,Premium,179.36,1
12,P0012,Servicio/Producto 12,Est?ndar,277.8,1
13,P0013,Servicio/Producto 13,B?sico,121.72,1
14,P0014,Servicio/Producto 14,Est?ndar,218.39,1
15,P0015,Servicio/Producto 15,Especializado,179.7,1
