id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,5,2,83.00,166.00
2,2,19,2,25.00,50.00
3,2,4,6,71.00,426.00
4,2,29,4,81.23,324.92
5,3,5,6,83.00,498.00
6,3,27,3,25.49,76.47
7,3,24,6,220.00,1320.00
8,3,3,5,59.00,295.00
9,4,13,6,180.00,1080.00
10,4,6,6,95.00,570.00
11,4,4,1,71.00,71.00
12,5,28,4,45.50,182.00
13,5,26,4,14.28,57.12
14,6,6,1,95.00,95.00
15,7,16,5,488.36,2441.80
16,8,30,4,145.00,580.00
17,8,29,3,81.23,243.69
18,8,11,2,91.00,182.00
19,8,27,2,25.49,50.98
20,9,17,5,681.14,3405.70
21,10,12,6,105.00,630.00
22,10,3,4,59.00,236.00
23,10,17,5,681.14,3405.70
24,10,19,4,25.00,100.00
25,11,24,1,220.00,220.00
26,11,10,5,77.00,385.00
27,12,28,5,45.50,227.50
28,12,4,6,71.00,426.00
29,13,26,6,14.28,85.68
30,13,2,4,47.00,188.00
31,13,30,4,145.00,580.00
32,13,24,6,220.00,1320.00
33,14,27,6,25.49,152.94
34,14,9,6,63.00,378.00
35,15,7,2,35.00,70.00
36,15,12,2,105.00,210.00
37,15,24,4,220.00,880.00
38,15,8,1,49.00,49.00
39,16,17,6,681.14,4086.84
40,17,28,6,45.50,273.00
41,17,28,5,45.50,227.50
42,17,25,2,8.00,16.00
43,18,9,4,63.00,252.00
44,18,8,5,49.00,245.00
45,18,18,6,950.00,5700.00
46,18,24,5,220.00,1100.00
47,19,29,3,81.23,243.69
48,19,22,6,92.18,553.08
49,19,3,6,59.00,354.00
50,20,22,1,92.18,92.18
51,20,6,5,95.00,475.00
52,20,15,1,350.15,350.15
53,21,5,4,83.00,332.00
54,21,17,2,681.14,1362.28
55,21,29,1,81.23,81.23
56,22,8,2,49.00,98.00
57,22,29,4,81.23,324.92
58,22,27,4,25.49,101.96
59,22,16,1,488.36,488.36
60,23,12,1,105.00,105.00
61,24,6,2,95.00,190.00
62,24,30,1,145.00,145.00
63,25,7,3,35.00,105.00
64,25,28,6,45.50,273.00
65,25,17,6,681.14,4086.84
66,26,15,1,350.15,350.15
67,26,11,3,91.00,273.00
68,26,19,3,25.00,75.00
69,26,23,6,142.41,854.46
70,27,16,6,488.36,2930.16
71,28,23,1,142.41,142.41
72,28,20,1,38.62,38.62
73,28,20,4,38.62,154.48
74,28,27,3,25.49,76.47
75,29,19,6,25.00,150.00
76,29,9,2,63.00,126.00
77,29,20,6,38.62,231.72
78,29,3,4,59.00,236.00
79,30,11,4,91.00,364.00
80,31,21,5,59.67,298.35
81,31,25,2,8.00,16.00
82,31,15,4,350.15,1400.60
83,32,22,5,92.18,460.90
84,32,6,6,95.00,570.00
85,32,20,5,38.62,193.10
86,33,28,6,45.50,273.00
87,34,26,3,14.28,42.84
88,34,18,3,950.00,2850.00
89,34,29,3,81.23,243.69
90,34,1,5,35.00,175.00
91,35,2,5,47.00,235.00
92,36,16,1,488.36,488.36
93,37,17,2,681.14,1362.28
94,37,6,6,95.00,570.00
95,38,10,4,77.00,308.00
96,38,13,3,180.00,540.00
97,38,4,5,71.00,355.00
98,38,6,6,95.00,570.00
99,39,8,1,49.00,49.00
100,39,10,5,77.00,385.00
101,39,15,1,350.15,350.15
102,40,30,3,145.00,435.00
103,40,10,4,77.00,308.00
104,40,8,3,49.00,147.00
105,41,22,2,92.18,184.36
106,41,21,2,59.67,119.34
107,41,15,3,350.15,1050.45
108,42,18,5,950.00,4750.00
109,42,27,6,25.49,152.94
110,42,8,4,49.00,196.00
111,42,5,6,83.00,498.00
112,43,28,4,45.50,182.00
113,43,19,6,25.00,150.00
114,43,16,6,488.36,2930.16
115,43,12,3,105.00,315.00
116,44,16,3,488.36,1465.08
117,44,11,5,91.00,455.00
118,44,5,4,83.00,332.00
119,45,1,2,35.00,70.00
120,45,24,4,220.00,880.00
121,45,18,4,950.00,3800.00
122,45,7,2,35.00,70.00
123,46,12,1,105.00,105.00
124,46,28,5,45.50,227.50
