id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Nuevo,Los Olivos,2026-01-21
2,E0002,Entidad 002,Regular,Los Olivos,2026-02-12
3,E0003,Entidad 003,Nuevo,Ate,2026-03-24
4,E0004,Entidad 004,Nuevo,Surco,2026-04-11
5,E0005,Entidad 005,Corporativo,Los Olivos,2026-01-26
6,E0006,Entidad 006,Corporativo,Comas,2026-01-17
7,E0007,Entidad 007,Nuevo,Comas,2026-02-09
8,E0008,Entidad 008,Corporativo,San Miguel,2026-01-25
9,E0009,Entidad 009,Corporativo,Callao,2026-02-04
10,E0010,Entidad 010,Regular,Miraflores,2026-04-02
11,E0011,Entidad 011,Preferente,Ate,2026-02-23
12,E0012,Entidad 012,Corporativo,Ate,2026-01-08
13,E0013,Entidad 013,Nuevo,San Miguel,2026-01-01
14,E0014,Entidad 014,Corporativo,Ate,2026-02-04
15,E0015,Entidad 015,Regular,Miraflores,2026-03-19
16,E0016,Entidad 016,Regular,Callao,2026-04-04
17,E0017,Entidad 017,Corporativo,Miraflores,2026-03-03
18,E0018,Entidad 018,Corporativo,Ate,2026-01-25
19,E0019,Entidad 019,Corporativo,Miraflores,2026-02-12
20,E0020,Entidad 020,Preferente,San Miguel,2026-01-22
21,E0021,Entidad 021,Nuevo,San Miguel,2026-04-19
22,E0022,Entidad 022,Nuevo,Callao,2026-01-16
23,E0023,Entidad 023,Nuevo,Callao,2026-01-31
24,E0024,Entidad 024,Corporativo,Ate,2026-02-25
25,E0025,Entidad 025,Nuevo,Lince,2026-01-17
26,E0026,Entidad 026,Regular,Comas,2026-01-16
27,E0027,Entidad 027,Nuevo,Callao,2026-04-05
28,E0028,Entidad 028,Preferente,Surco,2026-02-23
29,E0029,Entidad 029,Preferente,Callao,2026-02-14
30,E0030,Entidad 030,Regular,Los Olivos,2026-03-10
31,E0031,Entidad 031,Preferente,Lince,2026-01-03
32,E0032,Entidad 032,Regular,Miraflores,2026-04-17
33,E0033,Entidad 033,Preferente,Ate,2026-04-18
34,E0034,Entidad 034,Nuevo,Surco,2026-03-15
35,E0035,Entidad 035,Corporativo,Callao,2026-01-03
36,E0036,Entidad 036,Corporativo,Ate,2026-02-01
37,E0037,Entidad 037,Preferente,Surco,2026-04-05
38,E0038,Entidad 038,Nuevo,Callao,2026-03-27
39,E0039,Entidad 039,Nuevo,Comas,2026-03-04
40,E0040,Entidad 040,Nuevo,San Miguel,2026-03-18
41,E0041,Entidad 041,Nuevo,Callao,2026-04-01
42,E0042,Entidad 042,Regular,San Miguel,2026-03-16
43,E0043,Entidad 043,Corporativo,Ate,2026-04-15
44,E0044,Entidad 044,Nuevo,Los Olivos,2026-01-16
45,E0045,Entidad 045,Nuevo,San Miguel,2026-04-04
46,E0046,Entidad 046,Corporativo,Callao,2026-02-21
47,E0047,Entidad 047,Corporativo,Surco,2026-03-15
48,E0048,Entidad 048,Regular,Callao,2026-01-09
49,E0049,Entidad 049,Nuevo,Surco,2026-03-09
50,E0050,Entidad 050,Preferente,Callao,2026-03-08
51,E0051,Entidad 051,Regular,Comas,2026-04-04
52,E0052,Entidad 052,Regular,Ate,2026-01-14
53,E0053,Entidad 053,Corporativo,Comas,2026-04-16
54,E0054,Entidad 054,Corporativo,Comas,2026-02-20
55,E0055,Entidad 055,Corporativo,Comas,2026-02-13
56,E0056,Entidad 056,Regular,Comas,2026-01-06
57,E0057,Entidad 057,Preferente,Lince,2026-02-01
58,E0058,Entidad 058,Regular,Lince,2026-01-07
59,E0059,Entidad 059,Corporativo,Surco,2026-04-16
60,E0060,Entidad 060,Preferente,Ate,2026-01-18
61,E0061,Entidad 061,Preferente,Miraflores,2026-03-18
62,E0062,Entidad 062,Corporativo,Los Olivos,2026-03-04
63,E0063,Entidad 063,Nuevo,Miraflores,2026-01-15
64,E0064,Entidad 064,Corporativo,Surco,2026-04-12
65,E0065,Entidad 065,Corporativo,Callao,2026-04-14
66,E0066,Entidad 066,Regular,Los Olivos,2026-02-04
67,E0067,Entidad 067,Preferente,San Miguel,2026-02-03
68,E0068,Entidad 068,Corporativo,Callao,2026-02-17
69,E0069,Entidad 069,Nuevo,Comas,2026-02-10
70,E0070,Entidad 070,Nuevo,Callao,2026-01-25
71,E0071,Entidad 071,Corporativo,Los Olivos,2026-04-08
72,E0072,Entidad 072,Nuevo,Surco,2026-04-15
73,E0073,Entidad 073,Preferente,Lince,2026-04-01
74,E0074,Entidad 074,Nuevo,Los Olivos,2026-03-28
75,E0075,Entidad 075,Nuevo,Ate,2026-04-14
76,E0076,Entidad 076,Regular,Miraflores,2026-02-27
77,E0077,Entidad 077,Preferente,San Miguel,2026-01-10
78,E0078,Entidad 078,Nuevo,Callao,2026-01-12
79,E0079,Entidad 079,Regular,Surco,2026-01-10
80,E0080,Entidad 080,Corporativo,Callao,2026-01-29
