id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-04-12,Tarjeta,166.00,Pagado
2,PG00002,2,2026-06-14,Efectivo,800.92,Pagado
3,PG00003,3,2026-02-26,Yape/Plin,2189.47,Pagado
4,PG00004,4,2026-02-11,Transferencia,1721.00,Pagado
5,PG00005,5,2026-01-08,Tarjeta,0.0,Anulado
6,PG00006,6,2026-04-17,Efectivo,95.00,Pagado
7,PG00007,7,2026-01-15,Yape/Plin,2441.80,Pagado
8,PG00008,8,2026-05-19,Transferencia,0.0,Anulado
9,PG00009,9,2026-06-18,Tarjeta,3405.70,Pagado
10,PG00010,10,2026-04-06,Efectivo,4371.70,Pagado
11,PG00011,11,2026-03-01,Yape/Plin,605.00,Pagado
12,PG00012,12,2026-04-08,Transferencia,653.50,Pagado
13,PG00013,13,2026-03-07,Tarjeta,0.0,Anulado
14,PG00014,14,2026-03-11,Efectivo,644.88,Parcial
15,PG00015,15,2026-03-27,Yape/Plin,1209.00,Pagado
16,PG00016,16,2026-01-22,Transferencia,4086.84,Pagado
17,PG00017,17,2026-05-02,Tarjeta,516.50,Pagado
18,PG00018,18,2026-05-19,Efectivo,7297.00,Pagado
19,PG00019,19,2026-02-04,Yape/Plin,2160.68,Parcial
20,PG00020,20,2026-02-08,Transferencia,917.33,Pagado
21,PG00021,21,2026-02-19,Tarjeta,1775.51,Pagado
22,PG00022,22,2026-06-28,Efectivo,1013.24,Pagado
23,PG00023,23,2026-05-26,Yape/Plin,105.00,Pagado
24,PG00024,24,2026-02-09,Transferencia,0.0,Anulado
25,PG00025,25,2026-04-24,Tarjeta,5411.52,pagado
26,PG00026,26,2026-04-12,Efectivo,0.0,Anulado
27,PG00027,27,2026-06-27,Yape/Plin,0.0,anulado
28,PG00028,28,2026-01-01,Transferencia,3610.16,pagado
29,PG00029,29,2026-03-20,Tarjeta,0.0,Anulado
30,PG00030,30,2026-01-20,Efectivo,0.0,Anulado
31,PG00031,31,2026-04-10,Yape/Plin,1714.95,Pagado
32,PG00032,32,2026-06-18,Transferencia,1224.00,Pagado
33,PG00033,33,2026-05-05,Tarjeta,273.00,Pagado
34,PG00034,34,2026-05-25,Efectivo,0.0,Anulado
35,PG00035,35,2026-05-14,Yape/Plin,0.0,anulado
36,PG00036,36,2026-04-26,Transferencia,488.36,Pagado
37,PG00037,37,2026-01-22,Tarjeta,0.0,anulado
38,PG00038,38,2026-05-24,Efectivo,1773.00,Pagado
39,PG00039,39,2026-06-12,Yape/Plin,0.0,Anulado
40,PG00040,40,2026-02-06,Transferencia,890.00,Pagado
41,PG00041,41,2026-04-03,Tarjeta,0.0,Anulado
