id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Premium,59.46,1
2,P0002,Servicio/Producto 02,B?sico,354.16,1
3,P0003,Servicio/Producto 03,Especializado,161.54,1
4,P0004,Servicio/Producto 04,Especializado,206.08,1
5,P0005,Servicio/Producto 05,Premium,253.87,1
6,P0006,Servicio/Producto 06,Est?ndar,323.88,1
7,P0007,Servicio/Producto 07,Est?ndar,242.27,1
8,P0008,Servicio/Producto 08,B?sico,98.53,1
9,P0009,Servicio/Producto 09,Premium,228.59,1
10,P0010,Servicio/Producto 10,Especializado,231.59,1
11,P0011,Servicio/Producto 11,Premium,340.98,1
12,P0012,Servicio/Producto 12,B?sico,145.88,1
13,P0013,Servicio/Producto 13,Premium,315.45,1
14,P0014,Servicio/Producto 14,Premium,97.22,1
15,P0015,Servicio/Producto 15,Est?ndar,66.71,1
