id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Nuevo,Comas,2026-04-16
2,E0002,Entidad 002,Regular,San Miguel,2026-02-15
3,E0003,Entidad 003,Corporativo,San Miguel,2026-03-22
4,E0004,Entidad 004,Corporativo,Ate,2026-03-06
5,E0005,Entidad 005,Corporativo,Los Olivos,2026-01-28
6,E0006,Entidad 006,Nuevo,Lince,2026-03-03
7,E0007,Entidad 007,Preferente,Callao,2026-02-05
8,E0008,Entidad 008,Preferente,San Miguel,2026-01-29
9,E0009,Entidad 009,Regular,Callao,2026-02-12
10,E0010,Entidad 010,Regular,Miraflores,2026-03-23
11,E0011,Entidad 011,Corporativo,Los Olivos,2026-03-15
12,E0012,Entidad 012,Corporativo,Los Olivos,2026-04-21
13,E0013,Entidad 013,Nuevo,Ate,2026-02-18
14,E0014,Entidad 014,Preferente,Callao,2026-01-08
15,E0015,Entidad 015,Regular,San Miguel,2026-03-16
16,E0016,Entidad 016,Regular,Ate,2026-01-15
17,E0017,Entidad 017,Preferente,Surco,2026-02-25
18,E0018,Entidad 018,Nuevo,Ate,2026-03-17
19,E0019,Entidad 019,Nuevo,Ate,2026-02-23
20,E0020,Entidad 020,Nuevo,Callao,2026-01-22
21,E0021,Entidad 021,Preferente,Los Olivos,2026-04-05
22,E0022,Entidad 022,Regular,Ate,2026-02-13
23,E0023,Entidad 023,Preferente,San Miguel,2026-01-06
24,E0024,Entidad 024,Regular,Lince,2026-03-01
25,E0025,Entidad 025,Nuevo,Los Olivos,2026-01-09
26,E0026,Entidad 026,Regular,San Miguel,2026-03-04
27,E0027,Entidad 027,Preferente,Lince,2026-01-24
28,E0028,Entidad 028,Regular,San Miguel,2026-04-17
29,E0029,Entidad 029,Preferente,Callao,2026-02-06
30,E0030,Entidad 030,Nuevo,Lince,2026-03-23
31,E0031,Entidad 031,Corporativo,Los Olivos,2026-02-13
32,E0032,Entidad 032,Regular,Miraflores,2026-01-11
33,E0033,Entidad 033,Regular,Lince,2026-04-01
34,E0034,Entidad 034,Nuevo,Lince,2026-04-18
35,E0035,Entidad 035,Regular,Comas,2026-01-01
36,E0036,Entidad 036,Regular,Los Olivos,2026-01-31
37,E0037,Entidad 037,Preferente,Lince,2026-02-17
38,E0038,Entidad 038,Regular,Miraflores,2026-04-04
39,E0039,Entidad 039,Corporativo,Los Olivos,2026-01-18
40,E0040,Entidad 040,Nuevo,Surco,2026-03-17
41,E0041,Entidad 041,Regular,Lince,2026-02-09
42,E0042,Entidad 042,Regular,Lince,2026-02-28
43,E0043,Entidad 043,Corporativo,Ate,2026-03-16
44,E0044,Entidad 044,Nuevo,Miraflores,2026-03-31
45,E0045,Entidad 045,Corporativo,Comas,2026-02-13
46,E0046,Entidad 046,Preferente,Callao,2026-02-05
47,E0047,Entidad 047,Nuevo,Comas,2026-04-03
48,E0048,Entidad 048,Corporativo,Miraflores,2026-01-27
49,E0049,Entidad 049,Preferente,Los Olivos,2026-02-02
50,E0050,Entidad 050,Nuevo,Lince,2026-01-04
51,E0051,Entidad 051,Corporativo,San Miguel,2026-01-25
52,E0052,Entidad 052,Preferente,Surco,2026-03-03
53,E0053,Entidad 053,Nuevo,Lince,2026-03-19
54,E0054,Entidad 054,Nuevo,San Miguel,2026-04-14
55,E0055,Entidad 055,Preferente,Los Olivos,2026-03-12
56,E0056,Entidad 056,Regular,Miraflores,2026-01-22
57,E0057,Entidad 057,Regular,Comas,2026-01-15
58,E0058,Entidad 058,Nuevo,Surco,2026-01-15
59,E0059,Entidad 059,Nuevo,Los Olivos,2026-03-03
60,E0060,Entidad 060,Nuevo,Surco,2026-03-07
61,E0061,Entidad 061,Nuevo,Ate,2026-02-06
62,E0062,Entidad 062,Preferente,Ate,2026-03-05
63,E0063,Entidad 063,Corporativo,Los Olivos,2026-04-09
64,E0064,Entidad 064,Nuevo,Surco,2026-04-14
65,E0065,Entidad 065,Nuevo,Callao,2026-03-08
66,E0066,Entidad 066,Nuevo,Los Olivos,2026-01-09
67,E0067,Entidad 067,Regular,Los Olivos,2026-02-10
68,E0068,Entidad 068,Nuevo,Lince,2026-03-29
69,E0069,Entidad 069,Nuevo,San Miguel,2026-03-01
70,E0070,Entidad 070,Regular,Ate,2026-04-17
71,E0071,Entidad 071,Corporativo,Miraflores,2026-04-13
72,E0072,Entidad 072,Preferente,Ate,2026-04-07
73,E0073,Entidad 073,Nuevo,Callao,2026-01-14
74,E0074,Entidad 074,Corporativo,Comas,2026-01-11
75,E0075,Entidad 075,Preferente,Ate,2026-03-12
76,E0076,Entidad 076,Preferente,Surco,2026-02-03
77,E0077,Entidad 077,Corporativo,Ate,2026-04-19
78,E0078,Entidad 078,Preferente,Ate,2026-02-03
79,E0079,Entidad 079,Nuevo,Lince,2026-01-26
80,E0080,Entidad 080,Regular,San Miguel,2026-02-15
