id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,291,Dato inconsistente,Media,2026-04-06,En revisi?n
2,I00002,13,Reprogramaci?n,Alta,2026-02-01,En revisi?n
3,I00003,249,Falla de registro,Alta,2026-04-07,Abierta
4,I00004,468,Dato inconsistente,Baja,2026-01-31,Abierta
5,I00005,227,Reclamo,Media,2026-01-20,Cerrada
6,I00006,332,Falla de registro,Media,2026-03-02,En revisi?n
7,I00007,372,Reclamo,Media,2026-04-28,En revisi?n
8,I00008,382,Demora,Alta,2026-06-22,En revisi?n
9,I00009,198,Falla de registro,Alta,2026-03-12,Abierta
10,I00010,259,Dato inconsistente,Baja,2026-01-22,Cerrada
11,I00011,8,Demora,Alta,2026-05-15,Abierta
12,I00012,310,Dato inconsistente,Media,2026-04-07,Abierta
13,I00013,300,Reclamo,Baja,2026-05-28,En revisi?n
14,I00014,220,Demora,Alta,2026-05-17,Cerrada
15,I00015,210,Dato inconsistente,Media,2026-06-02,Abierta
16,I00016,236,Reclamo,Alta,2026-04-22,Abierta
17,I00017,274,Demora,Media,2026-01-07,En revisi?n
18,I00018,155,Falla de registro,Alta,2026-02-23,En revisi?n
19,I00019,138,Reclamo,Media,2026-04-27,En revisi?n
20,I00020,101,Demora,Alta,2026-01-09,En revisi?n
21,I00021,158,Reclamo,Alta,2026-01-04,En revisi?n
22,I00022,131,Reclamo,Media,2026-02-18,En revisi?n
23,I00023,490,Demora,Alta,2026-05-03,Cerrada
24,I00024,185,Demora,Alta,2026-01-06,Abierta
25,I00025,409,Dato inconsistente,Baja,2026-03-01,Abierta
26,I00026,127,Dato inconsistente,Media,2026-02-16,En revisi?n
27,I00027,202,Demora,Media,2026-01-31,Abierta
28,I00028,447,Reclamo,Baja,2026-05-08,En revisi?n
29,I00029,342,Dato inconsistente,Media,2026-05-01,En revisi?n
30,I00030,56,Demora,Media,2026-01-04,Abierta
31,I00031,379,Demora,Baja,2026-01-25,Cerrada
32,I00032,374,Dato inconsistente,Alta,2026-06-08,Abierta
33,I00033,14,Reprogramaci?n,Media,2026-06-12,Cerrada
34,I00034,496,Reprogramaci?n,Baja,2026-02-12,Abierta
35,I00035,440,Reclamo,Media,2026-04-05,Cerrada
36,I00036,146,Dato inconsistente,Alta,2026-05-14,En revisi?n
37,I00037,410,Demora,Baja,2026-03-25,Cerrada
38,I00038,70,Reclamo,Media,2026-01-07,Cerrada
39,I00039,142,Reclamo,Alta,2026-01-05,Abierta
40,I00040,334,Reprogramaci?n,Alta,2026-03-19,Abierta
41,I00041,251,Demora,Alta,2026-01-11,Abierta
42,I00042,21,Falla de registro,Media,2026-01-28,En revisi?n
43,I00043,427,Reprogramaci?n,Alta,2026-05-18,Cerrada
44,I00044,17,Reclamo,Baja,2026-06-15,Abierta
45,I00045,156,Reclamo,Media,2026-01-19,Abierta
46,I00046,350,Reprogramaci?n,Baja,2026-03-14,En revisi?n
47,I00047,312,Reclamo,Media,2026-06-04,Cerrada
48,I00048,9,Demora,Alta,2026-04-24,En revisi?n
49,I00049,446,Reclamo,Baja,2026-02-02,Abierta
50,I00050,118,Falla de registro,Baja,2026-05-04,En revisi?n
51,I00051,183,Reclamo,Alta,2026-06-20,En revisi?n
52,I00052,93,Demora,Alta,2026-02-14,Cerrada
53,I00053,82,Reclamo,Alta,2026-01-23,Abierta
54,I00054,35,Reclamo,Baja,2026-02-01,Abierta
55,I00055,352,Demora,Alta,2026-04-27,En revisi?n
56,I00056,448,Dato inconsistente,Alta,2026-06-19,Abierta
57,I00057,12,Dato inconsistente,Media,2026-01-28,Abierta
58,I00058,119,Demora,Baja,2026-03-15,Abierta
59,I00059,290,Falla de registro,Baja,2026-05-02,Cerrada
60,I00060,398,Reprogramaci?n,Alta,2026-04-07,Abierta
61,I00061,402,Reclamo,Alta,2026-02-24,Abierta
62,I00062,237,Dato inconsistente,Baja,2026-06-03,En revisi?n
63,I00063,57,Dato inconsistente,Media,2026-02-27,Cerrada
64,I00064,420,Falla de registro,Media,2026-01-30,Cerrada
65,I00065,292,Reprogramaci?n,Baja,2026-02-13,Cerrada
66,I00066,79,Falla de registro,Alta,2026-04-11,Cerrada
67,I00067,73,Reprogramaci?n,Baja,2026-05-08,Cerrada
68,I00068,200,Reclamo,Media,2026-05-07,Cerrada
69,I00069,23,Demora,Media,2026-02-17,En revisi?n
70,I00070,233,Reprogramaci?n,Media,2026-03-28,En revisi?n
