id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,25,1,95.00,95.00
2,2,8,4,10.75,43.00
3,2,10,4,19.39,77.56
4,2,19,4,55.00,220.00
5,2,27,2,181.61,363.22
6,3,16,2,128.90,257.80
7,4,18,3,260.00,780.00
8,5,2,2,19.20,38.40
9,5,19,4,55.00,220.00
10,5,4,2,33.60,67.20
11,6,10,5,19.39,96.95
12,6,26,1,131.35,131.35
13,7,22,1,158.21,158.21
14,8,10,1,19.39,19.39
15,8,24,4,320.00,1280.00
16,9,27,5,181.61,908.05
17,9,18,3,260.00,780.00
18,10,22,2,158.21,316.42
19,10,23,5,225.01,1125.05
20,10,12,3,35.00,105.00
21,11,3,3,26.40,79.20
22,11,21,1,111.24,111.24
23,11,24,2,320.00,640.00
24,12,25,4,95.00,380.00
25,13,6,3,48.00,144.00
26,14,7,6,8.00,48.00
27,14,21,4,111.24,444.96
28,15,24,3,320.00,960.00
29,15,18,1,260.00,260.00
30,15,29,2,347.17,694.34
31,15,20,4,78.22,312.88
32,16,1,1,12.00,12.00
33,16,18,6,260.00,1560.00
34,16,7,3,8.00,24.00
35,16,26,1,131.35,131.35
36,17,6,1,48.00,48.00
37,17,20,3,78.22,234.66
38,18,29,2,347.17,694.34
39,18,19,5,55.00,275.00
40,18,20,4,78.22,312.88
41,19,5,3,40.80,122.40
42,19,28,2,251.09,502.18
43,20,3,2,26.40,52.80
44,20,28,4,251.09,1004.36
45,21,14,1,63.91,63.91
46,21,28,1,251.09,251.09
47,21,7,2,8.00,16.00
48,21,15,3,90.76,272.28
49,22,19,1,55.00,55.00
50,23,10,3,19.39,58.17
51,24,19,5,55.00,275.00
52,24,24,2,320.00,640.00
53,24,13,3,45.00,135.00
54,24,22,2,158.21,316.42
55,25,9,4,14.44,57.76
56,26,20,4,78.22,312.88
57,27,11,6,26.05,156.30
58,28,24,2,320.00,640.00
59,28,23,3,225.01,675.03
60,28,26,2,131.35,262.70
61,28,2,1,19.20,19.20
62,29,19,1,55.00,55.00
63,29,30,4,480.00,1920.00
64,29,6,3,48.00,144.00
65,30,8,2,10.75,21.50
66,30,14,5,63.91,319.55
67,31,30,2,480.00,960.00
68,32,5,5,40.80,204.00
69,33,27,4,181.61,726.44
70,34,18,1,260.00,260.00
71,35,7,1,8.00,8.00
72,35,24,5,320.00,1600.00
73,35,11,4,26.05,104.20
74,36,19,3,55.00,165.00
75,36,17,3,183.07,549.21
76,36,3,3,26.40,79.20
77,36,7,2,8.00,16.00
78,37,6,3,48.00,144.00
79,38,5,4,40.80,163.20
80,39,4,3,33.60,100.80
81,39,21,4,111.24,444.96
82,39,15,6,90.76,544.56
83,40,4,6,33.60,201.60
84,41,7,4,8.00,32.00
85,41,21,3,111.24,333.72
86,42,1,4,12.00,48.00
87,42,3,1,26.40,26.40
88,42,29,6,347.17,2083.02
89,42,24,1,320.00,320.00
90,43,10,3,19.39,58.17
91,43,10,5,19.39,96.95
92,44,24,4,320.00,1280.00
93,44,22,2,158.21,316.42
94,45,16,6,128.90,773.40
95,46,15,4,90.76,363.04
96,47,23,1,225.01,225.01
97,47,29,4,347.17,1388.68
98,47,20,3,78.22,234.66
99,48,2,1,19.20,19.20
100,48,21,5,111.24,556.20
101,48,7,3,8.00,24.00
102,49,6,3,48.00,144.00
103,49,3,6,26.40,158.40
104,49,18,6,260.00,1560.00
105,50,29,1,347.17,347.17
106,51,14,2,63.91,127.82
107,51,21,6,111.24,667.44
108,51,18,6,260.00,1560.00
109,51,27,6,181.61,1089.66
110,52,27,3,181.61,544.83
111,52,23,1,225.01,225.01
112,53,25,5,95.00,475.00
113,54,19,2,55.00,110.00
114,54,5,1,40.80,40.80
115,55,5,5,40.80,204.00
116,55,28,4,251.09,1004.36
117,55,21,4,111.24,444.96
118,56,24,3,320.00,960.00
119,56,19,4,55.00,220.00
120,56,9,1,14.44,14.44
121,57,24,6,320.00,1920.00
122,57,28,3,251.09,753.27
123,57,25,6,95.00,570.00
124,58,25,5,95.00,475.00
125,58,23,2,225.01,450.02
126,58,3,3,26.40,79.20
127,58,5,3,40.80,122.40
128,59,18,3,260.00,780.00
129,59,17,5,183.07,915.35
130,59,3,5,26.40,132.00
131,60,25,3,95.00,285.00
132,61,16,2,128.90,257.80
133,61,24,5,320.00,1600.00
134,61,27,1,181.61,181.61
135,62,26,4,131.35,525.40
136,63,14,4,63.91,255.64
137,64,13,2,45.00,90.00
138,64,13,2,45.00,90.00
139,64,5,3,40.80,122.40
140,65,1,1,12.00,12.00
141,65,8,5,10.75,53.75
142,65,26,1,131.35,131.35
143,65,28,3,251.09,753.27
144,66,7,1,8.00,8.00
145,66,17,6,183.07,1098.42
146,66,13,6,45.00,270.00
147,67,25,5,95.00,475.00
148,67,2,6,19.20,115.20
149,68,2,1,19.20,19.20
150,68,6,6,48.00,288.00
151,68,21,6,111.24,667.44
152,68,23,3,225.01,675.03
153,69,8,2,10.75,21.50
154,69,28,6,251.09,1506.54
155,69,22,6,158.21,949.26
156,70,28,5,251.09,1255.45
157,70,3,1,26.40,26.40
158,70,15,2,90.76,181.52
159,71,16,6,128.90,773.40
160,72,13,5,45.00,225.00
161,72,23,6,225.01,1350.06
162,73,22,1,158.21,158.21
163,74,19,1,55.00,55.00
164,74,24,6,320.00,1920.00
165,74,4,3,33.60,100.80
166,74,24,1,320.00,320.00
167,75,1,2,12.00,24.00
168,75,1,1,12.00,12.00
169,76,5,4,40.80,163.20
170,76,16,3,128.90,386.70
171,76,10,1,19.39,19.39
172,76,30,1,480.00,480.00
173,77,5,6,40.80,244.80
174,77,12,1,35.00,35.00
175,77,12,1,35.00,35.00
176,77,25,6,95.00,570.00
177,78,26,1,131.35,131.35
178,78,1,6,12.00,72.00
179,78,8,2,10.75,21.50
180,78,7,3,8.00,24.00
181,79,24,3,320.00,960.00
182,80,27,3,181.61,544.83
183,80,3,6,26.40,158.40
184,80,9,5,14.44,72.20
185,81,22,5,158.21,791.05
186,81,22,5,158.21,791.05
187,81,20,6,78.22,469.32
188,82,26,1,131.35,131.35
189,82,20,1,78.22,78.22
190,82,25,3,95.00,285.00
191,83,12,6,35.00,210.00
192,83,8,3,10.75,32.25
193,83,19,6,55.00,330.00
194,83,8,2,10.75,21.50
195,84,20,6,78.22,469.32
196,84,7,3,8.00,24.00
197,84,12,2,35.00,70.00
198,84,28,5,251.09,1255.45
199,85,5,6,40.80,244.80
200,85,9,4,14.44,57.76
201,85,28,5,251.09,1255.45
202,86,20,3,78.22,234.66
203,86,19,1,55.00,55.00
204,87,19,4,55.00,220.00
205,87,16,1,128.90,128.90
206,88,5,4,40.80,163.20
207,89,1,1,12.00,12.00
208,90,15,5,90.76,453.80
209,90,6,3,48.00,144.00
210,91,14,5,63.91,319.55
211,92,23,5,225.01,1125.05
212,93,3,1,26.40,26.40
213,93,21,4,111.24,444.96
214,94,11,4,26.05,104.20
215,95,27,5,181.61,908.05
216,95,8,6,10.75,64.50
217,95,20,1,78.22,78.22
218,96,5,4,40.80,163.20
219,96,10,5,19.39,96.95
220,97,22,4,158.21,632.84
221,97,3,5,26.40,132.00
222,98,27,5,181.61,908.05
223,98,9,1,14.44,14.44
224,98,24,3,320.00,960.00
225,99,14,4,63.91,255.64
226,99,17,3,183.07,549.21
227,99,23,6,225.01,1350.06
228,100,11,6,26.05,156.30
229,100,9,2,14.44,28.88
230,101,15,5,90.76,453.80
231,101,5,5,40.80,204.00
232,102,24,2,320.00,640.00
233,102,9,6,14.44,86.64
234,103,1,1,12.00,12.00
235,104,13,5,45.00,225.00
236,105,26,3,131.35,394.05
237,105,11,3,26.05,78.15
238,105,12,6,35.00,210.00
