id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Corporativo,Comas,2026-04-13
2,E0002,Entidad 002,Nuevo,Lince,2026-03-02
3,E0003,Entidad 003,Preferente,Miraflores,2026-01-13
4,E0004,Entidad 004,Corporativo,Comas,2026-01-25
5,E0005,Entidad 005,Corporativo,Comas,2026-03-15
6,E0006,Entidad 006,Regular,Callao,2026-03-05
7,E0007,Entidad 007,Preferente,Callao,2026-02-12
8,E0008,Entidad 008,Corporativo,Miraflores,2026-03-05
9,E0009,Entidad 009,Corporativo,Los Olivos,2026-02-11
10,E0010,Entidad 010,Corporativo,Callao,2026-01-09
11,E0011,Entidad 011,Preferente,Miraflores,2026-04-11
12,E0012,Entidad 012,Corporativo,Callao,2026-02-23
13,E0013,Entidad 013,Regular,Ate,2026-03-27
14,E0014,Entidad 014,Corporativo,Miraflores,2026-03-20
15,E0015,Entidad 015,Regular,Los Olivos,2026-02-15
16,E0016,Entidad 016,Preferente,Miraflores,2026-04-13
17,E0017,Entidad 017,Corporativo,Comas,2026-01-01
18,E0018,Entidad 018,Corporativo,Lince,2026-04-11
19,E0019,Entidad 019,Nuevo,Los Olivos,2026-03-17
20,E0020,Entidad 020,Nuevo,Callao,2026-01-14
21,E0021,Entidad 021,Preferente,San Miguel,2026-01-31
22,E0022,Entidad 022,Nuevo,Miraflores,2026-01-05
23,E0023,Entidad 023,Nuevo,Surco,2026-03-13
24,E0024,Entidad 024,Preferente,San Miguel,2026-04-01
25,E0025,Entidad 025,Regular,Miraflores,2026-04-11
26,E0026,Entidad 026,Regular,San Miguel,2026-03-02
27,E0027,Entidad 027,Corporativo,Comas,2026-02-12
28,E0028,Entidad 028,Preferente,Miraflores,2026-02-21
29,E0029,Entidad 029,Preferente,Callao,2026-04-06
30,E0030,Entidad 030,Corporativo,Callao,2026-03-18
31,E0031,Entidad 031,Nuevo,Callao,2026-02-15
32,E0032,Entidad 032,Regular,Los Olivos,2026-01-02
33,E0033,Entidad 033,Regular,Miraflores,2026-01-31
34,E0034,Entidad 034,Nuevo,Ate,2026-02-19
35,E0035,Entidad 035,Corporativo,Ate,2026-03-11
36,E0036,Entidad 036,Nuevo,Lince,2026-01-11
37,E0037,Entidad 037,Nuevo,Comas,2026-02-14
38,E0038,Entidad 038,Corporativo,Callao,2026-04-14
39,E0039,Entidad 039,Preferente,Los Olivos,2026-02-12
40,E0040,Entidad 040,Nuevo,Callao,2026-03-27
41,E0041,Entidad 041,Regular,Callao,2026-03-30
42,E0042,Entidad 042,Regular,Surco,2026-01-07
43,E0043,Entidad 043,Regular,San Miguel,2026-04-04
44,E0044,Entidad 044,Preferente,Callao,2026-03-16
45,E0045,Entidad 045,Nuevo,Callao,2026-04-10
46,E0046,Entidad 046,Preferente,Comas,2026-02-04
47,E0047,Entidad 047,Corporativo,Surco,2026-03-14
48,E0048,Entidad 048,Nuevo,Los Olivos,2026-04-01
49,E0049,Entidad 049,Corporativo,Surco,2026-02-02
50,E0050,Entidad 050,Regular,Miraflores,2026-04-14
51,E0051,Entidad 051,Nuevo,San Miguel,2026-01-18
52,E0052,Entidad 052,Corporativo,Lince,2026-04-11
53,E0053,Entidad 053,Regular,Callao,2026-03-02
54,E0054,Entidad 054,Nuevo,Comas,2026-01-06
55,E0055,Entidad 055,Regular,Ate,2026-02-11
56,E0056,Entidad 056,Regular,Callao,2026-03-05
57,E0057,Entidad 057,Regular,Callao,2026-03-20
58,E0058,Entidad 058,Preferente,Lince,2026-01-02
59,E0059,Entidad 059,Regular,Ate,2026-03-13
60,E0060,Entidad 060,Nuevo,Lince,2026-01-14
61,E0061,Entidad 061,Regular,Surco,2026-03-05
62,E0062,Entidad 062,Regular,Comas,2026-03-27
63,E0063,Entidad 063,Nuevo,San Miguel,2026-02-14
64,E0064,Entidad 064,Preferente,Callao,2026-01-08
65,E0065,Entidad 065,Nuevo,Surco,2026-04-18
66,E0066,Entidad 066,Regular,Surco,2026-04-05
67,E0067,Entidad 067,Regular,Miraflores,2026-02-11
68,E0068,Entidad 068,Nuevo,Ate,2026-02-01
69,E0069,Entidad 069,Regular,Miraflores,2026-03-02
70,E0070,Entidad 070,Corporativo,Callao,2026-01-20
71,E0071,Entidad 071,Nuevo,Ate,2026-01-05
72,E0072,Entidad 072,Regular,Callao,2026-01-12
73,E0073,Entidad 073,Regular,Ate,2026-01-26
74,E0074,Entidad 074,Nuevo,Miraflores,2026-01-24
75,E0075,Entidad 075,Corporativo,Comas,2026-03-26
76,E0076,Entidad 076,Nuevo,Lince,2026-03-03
77,E0077,Entidad 077,Preferente,Los Olivos,2026-03-27
78,E0078,Entidad 078,Preferente,San Miguel,2026-02-27
79,E0079,Entidad 079,Regular,Surco,2026-04-04
80,E0080,Entidad 080,Regular,Ate,2026-01-01
