id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,10,1,1182.00,1182.00
2,1,15,1,356.00,356.00
3,1,16,2,444.00,888.00
4,2,24,1,420.00,420.00
5,2,27,1,190.00,190.00
6,2,17,1,532.00,532.00
7,2,26,6,140.00,840.00
8,3,6,1,780.00,780.00
9,3,22,6,316.00,1896.00
10,3,19,2,160.00,320.00
11,3,22,4,316.00,1264.00
12,4,30,1,340.00,340.00
13,5,22,1,316.00,316.00
14,5,7,6,780.00,4680.00
15,6,15,2,356.00,712.00
16,6,16,5,444.00,2220.00
17,7,14,6,268.00,1608.00
18,7,8,2,914.00,1828.00
19,7,15,4,356.00,1424.00
20,7,17,4,532.00,2128.00
21,8,29,5,290.00,1450.00
22,8,4,2,636.00,1272.00
23,8,1,1,420.00,420.00
24,8,12,6,1450.00,8700.00
25,9,14,4,268.00,1072.00
26,9,18,1,620.00,620.00
27,9,23,5,368.00,1840.00
28,10,4,1,636.00,636.00
29,11,30,6,340.00,2040.00
30,11,21,4,264.00,1056.00
31,11,18,3,620.00,1860.00
32,11,18,4,620.00,2480.00
33,12,22,2,316.00,632.00
34,12,4,5,636.00,3180.00
35,12,23,1,368.00,368.00
36,13,2,5,492.00,2460.00
37,14,22,6,316.00,1896.00
38,15,28,4,240.00,960.00
39,16,20,4,212.00,848.00
40,17,5,3,708.00,2124.00
41,17,5,2,708.00,1416.00
42,17,5,1,708.00,708.00
43,18,13,4,180.00,720.00
44,18,3,3,564.00,1692.00
45,18,15,5,356.00,1780.00
46,19,11,2,1316.00,2632.00
47,19,17,1,532.00,532.00
48,19,4,2,636.00,1272.00
49,20,17,1,532.00,532.00
50,20,17,3,532.00,1596.00
51,20,27,6,190.00,1140.00
52,21,2,3,492.00,1476.00
53,21,11,4,1316.00,5264.00
54,21,8,3,914.00,2742.00
55,22,14,2,268.00,536.00
56,22,22,6,316.00,1896.00
57,23,2,2,492.00,984.00
58,23,17,3,532.00,1596.00
59,24,21,6,264.00,1584.00
60,24,12,4,1450.00,5800.00
61,24,18,4,620.00,2480.00
62,25,12,6,1450.00,8700.00
63,26,8,2,914.00,1828.00
64,26,27,1,190.00,190.00
65,27,24,6,420.00,2520.00
66,27,26,4,140.00,560.00
67,28,13,6,180.00,1080.00
68,29,14,5,268.00,1340.00
69,29,14,5,268.00,1340.00
70,30,11,3,1316.00,3948.00
71,30,18,1,620.00,620.00
72,30,11,3,1316.00,3948.00
73,31,28,6,240.00,1440.00
74,31,15,2,356.00,712.00
75,31,6,5,780.00,3900.00
76,31,26,6,140.00,840.00
77,32,13,1,180.00,180.00
78,33,5,4,708.00,2832.00
79,33,25,1,90.00,90.00
80,34,18,4,620.00,2480.00
81,35,15,1,356.00,356.00
82,35,29,3,290.00,870.00
83,36,9,1,1048.00,1048.00
84,36,30,5,340.00,1700.00
85,36,7,3,780.00,2340.00
