id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Corporativo,San Miguel,2026-03-20
2,E0002,Entidad 002,Regular,Los Olivos,2026-02-04
3,E0003,Entidad 003,Nuevo,Callao,2026-01-04
4,E0004,Entidad 004,Nuevo,Lince,2026-03-06
5,E0005,Entidad 005,Preferente,Ate,2026-02-15
6,E0006,Entidad 006,Preferente,Ate,2026-01-10
7,E0007,Entidad 007,Corporativo,Miraflores,2026-04-11
8,E0008,Entidad 008,Preferente,Miraflores,2026-03-23
9,E0009,Entidad 009,Preferente,Ate,2026-04-11
10,E0010,Entidad 010,Nuevo,Los Olivos,2026-01-23
11,E0011,Entidad 011,Regular,Lince,2026-01-17
12,E0012,Entidad 012,Preferente,Surco,2026-02-10
13,E0013,Entidad 013,Regular,Los Olivos,2026-01-13
14,E0014,Entidad 014,Preferente,Comas,2026-01-24
15,E0015,Entidad 015,Preferente,Surco,2026-01-03
16,E0016,Entidad 016,Corporativo,Callao,2026-04-08
17,E0017,Entidad 017,Regular,Los Olivos,2026-03-05
18,E0018,Entidad 018,Regular,Lince,2026-01-17
19,E0019,Entidad 019,Regular,Lince,2026-01-19
20,E0020,Entidad 020,Corporativo,Comas,2026-03-16
21,E0021,Entidad 021,Corporativo,Los Olivos,2026-02-09
22,E0022,Entidad 022,Preferente,Ate,2026-02-20
23,E0023,Entidad 023,Corporativo,Lince,2026-03-19
24,E0024,Entidad 024,Corporativo,Los Olivos,2026-03-02
25,E0025,Entidad 025,Preferente,Miraflores,2026-03-29
26,E0026,Entidad 026,Corporativo,Lince,2026-02-10
27,E0027,Entidad 027,Regular,Los Olivos,2026-01-28
28,E0028,Entidad 028,Regular,Ate,2026-02-14
29,E0029,Entidad 029,Nuevo,Ate,2026-02-08
30,E0030,Entidad 030,Nuevo,Ate,2026-03-26
31,E0031,Entidad 031,Regular,Ate,2026-04-04
32,E0032,Entidad 032,Corporativo,Los Olivos,2026-04-16
33,E0033,Entidad 033,Regular,Los Olivos,2026-01-19
34,E0034,Entidad 034,Corporativo,Ate,2026-04-02
35,E0035,Entidad 035,Regular,San Miguel,2026-04-05
36,E0036,Entidad 036,Preferente,Los Olivos,2026-03-24
37,E0037,Entidad 037,Preferente,Comas,2026-03-22
38,E0038,Entidad 038,Regular,Comas,2026-01-20
39,E0039,Entidad 039,Regular,Lince,2026-04-08
40,E0040,Entidad 040,Nuevo,Miraflores,2026-02-19
41,E0041,Entidad 041,Preferente,Lince,2026-02-16
42,E0042,Entidad 042,Corporativo,Los Olivos,2026-01-20
43,E0043,Entidad 043,Regular,Ate,2026-03-17
44,E0044,Entidad 044,Regular,Miraflores,2026-04-15
45,E0045,Entidad 045,Nuevo,Callao,2026-03-22
46,E0046,Entidad 046,Corporativo,San Miguel,2026-03-13
47,E0047,Entidad 047,Regular,San Miguel,2026-03-25
48,E0048,Entidad 048,Corporativo,Lince,2026-02-07
49,E0049,Entidad 049,Nuevo,Comas,2026-01-06
50,E0050,Entidad 050,Preferente,Miraflores,2026-01-02
51,E0051,Entidad 051,Nuevo,San Miguel,2026-03-07
52,E0052,Entidad 052,Nuevo,Miraflores,2026-01-10
53,E0053,Entidad 053,Nuevo,San Miguel,2026-04-09
54,E0054,Entidad 054,Corporativo,Lince,2026-01-03
55,E0055,Entidad 055,Corporativo,Callao,2026-02-15
56,E0056,Entidad 056,Corporativo,Los Olivos,2026-02-27
57,E0057,Entidad 057,Nuevo,Surco,2026-02-27
58,E0058,Entidad 058,Corporativo,Los Olivos,2026-02-26
59,E0059,Entidad 059,Preferente,Callao,2026-01-24
60,E0060,Entidad 060,Corporativo,Lince,2026-03-10
61,E0061,Entidad 061,Nuevo,Callao,2026-02-21
62,E0062,Entidad 062,Corporativo,Lince,2026-02-20
63,E0063,Entidad 063,Nuevo,Miraflores,2026-02-21
64,E0064,Entidad 064,Nuevo,Ate,2026-02-26
65,E0065,Entidad 065,Nuevo,Surco,2026-03-30
66,E0066,Entidad 066,Preferente,Miraflores,2026-02-01
67,E0067,Entidad 067,Regular,Surco,2026-04-10
68,E0068,Entidad 068,Corporativo,Comas,2026-01-31
69,E0069,Entidad 069,Nuevo,Callao,2026-04-07
70,E0070,Entidad 070,Corporativo,Lince,2026-04-13
71,E0071,Entidad 071,Nuevo,San Miguel,2026-02-06
72,E0072,Entidad 072,Preferente,Los Olivos,2026-03-26
73,E0073,Entidad 073,Nuevo,Los Olivos,2026-02-10
74,E0074,Entidad 074,Preferente,Callao,2026-01-02
75,E0075,Entidad 075,Corporativo,Surco,2026-03-23
76,E0076,Entidad 076,Nuevo,Surco,2026-03-28
77,E0077,Entidad 077,Nuevo,Callao,2026-02-25
78,E0078,Entidad 078,Preferente,Comas,2026-02-01
79,E0079,Entidad 079,Nuevo,Los Olivos,2026-04-19
80,E0080,Entidad 080,Corporativo,Ate,2026-01-19
