id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,4,Matrícula observada,Media,2026-02-12,Abierta
2,I00002,10,Nota pendiente,Alta,2026-04-23,Abierta
3,I00003,12,Acceso al aula virtual,Media,2026-05-09,En revisión
4,I00004,19,Cruce de horario,Alta,2026-02-10,En revisión
5,I00005,26,Pago no aplicado,Baja,2026-03-04,Abierta
6,I00006,50,Matrícula observada,Baja,2026-05-10,En revisión
7,I00007,58,Nota pendiente,Media,2026-04-14,En revisión
8,I00008,59,Acceso al aula virtual,Media,2026-03-21,Cerrada
9,I00009,60,Cruce de horario,Alta,2026-02-17,En revisión
10,I00010,70,Pago no aplicado,Media,2026-04-18,En revisión
11,I00011,82,Matrícula observada,Alta,2026-02-19,Cerrada
12,I00012,85,Nota pendiente,Media,2026-06-28,En revisión
13,I00013,97,Acceso al aula virtual,Baja,2026-06-17,En revisión
14,I00014,116,Cruce de horario,Alta,2026-02-15,En revisión
15,I00015,119,Pago no aplicado,Baja,2026-05-23,Cerrada
16,I00016,123,Matrícula observada,Alta,2026-04-14,Abierta
17,I00017,124,Nota pendiente,Alta,2026-06-05,En revisión
18,I00018,128,Acceso al aula virtual,Alta,2026-02-03,Abierta
19,I00019,132,Cruce de horario,Baja,2026-05-27,Cerrada
20,I00020,133,Pago no aplicado,Alta,2026-05-18,Abierta
21,I00021,148,Matrícula observada,Baja,2026-02-15,En revisión
22,I00022,151,Nota pendiente,Baja,2026-06-02,En revisión
23,I00023,159,Acceso al aula virtual,Alta,2026-05-21,En revisión
24,I00024,163,Cruce de horario,Alta,2026-06-23,Cerrada
25,I00025,173,Pago no aplicado,Alta,2026-06-20,En revisión
26,I00026,175,Matrícula observada,Baja,2026-02-19,Abierta
27,I00027,181,Nota pendiente,Alta,2026-05-07,Cerrada
28,I00028,194,Acceso al aula virtual,Baja,2026-05-10,Cerrada
29,I00029,195,Cruce de horario,Media,2026-06-27,En revisión
30,I00030,211,Pago no aplicado,Media,2026-06-11,Abierta
31,I00031,214,Matrícula observada,Baja,2026-06-22,Cerrada
32,I00032,218,Nota pendiente,Baja,2026-02-10,Cerrada
33,I00033,240,Acceso al aula virtual,Baja,2026-03-01,Cerrada
34,I00034,254,Cruce de horario,Alta,2026-05-20,Abierta
35,I00035,264,Pago no aplicado,Alta,2026-02-17,Cerrada
36,I00036,291,Matrícula observada,Alta,2026-03-14,Cerrada
37,I00037,294,Nota pendiente,Media,2026-02-25,Abierta
38,I00038,304,Acceso al aula virtual,Baja,2026-03-15,Abierta
39,I00039,308,Cruce de horario,Alta,2026-05-25,En revisión
40,I00040,314,Pago no aplicado,Baja,2026-05-03,Cerrada
41,I00041,316,Matrícula observada,Media,2026-03-09,En revisión
42,I00042,319,Nota pendiente,Baja,2026-06-23,En revisión
43,I00043,324,Acceso al aula virtual,Baja,2026-04-21,En revisión
44,I00044,327,Cruce de horario,Baja,2026-06-15,En revisión
45,I00045,333,Pago no aplicado,Baja,2026-04-22,Abierta
46,I00046,334,Matrícula observada,Media,2026-04-05,En revisión
47,I00047,339,Nota pendiente,Alta,2026-03-07,Cerrada
48,I00048,348,Acceso al aula virtual,Media,2026-06-03,Cerrada
49,I00049,365,Cruce de horario,Alta,2026-02-05,Abierta
50,I00050,366,Pago no aplicado,Baja,2026-02-16,En revisión
51,I00051,372,Matrícula observada,Media,2026-04-05,Cerrada
52,I00052,374,Nota pendiente,Baja,2026-03-08,Cerrada
53,I00053,377,Acceso al aula virtual,Alta,2026-02-07,Abierta
54,I00054,390,Cruce de horario,Media,2026-03-07,Abierta
55,I00055,391,Pago no aplicado,Baja,2026-06-13,Cerrada
