id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-06-27,Tarjeta,0.0,Anulado
2,PG00002,2,2026-05-04,Transferencia,0.0,Anulado
3,PG00003,3,2026-05-01,Banco afiliado,4260.00,Pagado
4,PG00004,4,2026-02-15,Caja universitaria,340.00,Pagado
5,PG00005,5,2026-02-05,Tarjeta,4996.00,Pagado
6,PG00006,6,2026-02-20,Transferencia,2932.00,Pagado
7,PG00007,7,2026-06-04,Banco afiliado,6988.00,Pagado
8,PG00008,8,2026-06-22,Caja universitaria,11842.00,Pagado
9,PG00009,9,2026-02-28,Tarjeta,3532.00,Pagado
10,PG00010,10,2026-03-05,Transferencia,636.00,Pagado
11,PG00011,11,2026-04-25,Banco afiliado,7436.00,Pagado
12,PG00012,12,2026-06-14,Caja universitaria,4180.00,Pagado
13,PG00013,13,2026-06-16,Tarjeta,2460.00,Pagado
14,PG00014,14,2026-05-11,Transferencia,1896.00,Pagado
15,PG00015,15,2026-05-08,Banco afiliado,325.82,Parcial
16,PG00016,16,2026-03-07,Caja universitaria,848.00,Pagado
17,PG00017,17,2026-06-16,Tarjeta,4248.00,Pagado
18,PG00018,18,2026-06-26,Transferencia,4192.00,Pagado
19,PG00019,19,2026-04-13,Banco afiliado,0.0,Anulado
20,PG00020,20,2026-03-28,Caja universitaria,1806.36,Pagado
21,PG00021,21,2026-05-22,Tarjeta,3278.33,Pagado
22,PG00022,22,2026-06-14,Transferencia,2432.00,Pagado
23,PG00023,23,2026-01-20,Banco afiliado,626.36,Parcial
24,PG00024,24,2026-01-15,Caja universitaria,9864.00,Pagado
25,PG00025,25,2026-01-09,Tarjeta,8700.00,Pagado
26,PG00026,26,2026-06-07,Transferencia,2018.00,Pagado
27,PG00027,27,2026-03-28,Banco afiliado,3080.00,Pagado
28,PG00028,28,2026-03-14,Caja universitaria,0.0,Anulado
29,PG00029,29,2026-02-24,Tarjeta,2680.00,Pagado
30,PG00030,30,2026-03-05,Transferencia,8516.00,Pagado
31,PG00031,31,2026-03-07,Banco afiliado,0.0,Anulado
32,PG00032,32,2026-05-13,Caja universitaria,0.0,Anulado
33,PG00033,33,2026-02-14,Tarjeta,0.0,Anulado
34,PG00034,34,2026-03-04,Transferencia,2480.00,Pagado
35,PG00035,35,2026-06-21,Banco afiliado,1226.00,Pagado
36,PG00036,36,2026-06-09,Caja universitaria,1697.22,Parcial
37,PG00037,37,2026-06-14,Tarjeta,1850.00,Pagado
38,PG00038,38,2026-06-05,Transferencia,3138.11,pagado
39,PG00039,39,2026-04-01,Banco afiliado,1712.84,Parcial
40,PG00040,40,2026-02-05,Caja universitaria,1056.00,Pagado
41,PG00041,41,2026-05-06,Tarjeta,3888.00,Pagado
42,PG00042,42,2026-01-22,Transferencia,1040.00,Pagado
43,PG00043,43,2026-02-28,Banco afiliado,0.0,Anulado
44,PG00044,44,,Caja universitaria,1160.00,Pagado
45,PG00045,45,2026-05-04,Tarjeta,0.0,Anulado
46,PG00046,46,2026-03-21,Transferencia,8930.00,Pagado
47,PG00047,47,2026-06-03,Banco afiliado,4984.00,Pagado
48,PG00048,48,2026-05-18,Caja universitaria,0.0,Anulado
49,PG00049,49,2026-03-21,Tarjeta,1200.00,Pagado
50,PG00050,50,2026-06-24,Transferencia,10144.00,Pagado
51,PG00051,51,2026-06-23,Banco afiliado,1200.00,Pagado
52,PG00052,52,2026-02-09,Caja universitaria,10976.00,Pagado
53,PG00053,53,2026-01-17,Tarjeta,0.0,Anulado
54,PG00054,54,2026-03-22,Transferencia,0.0,Anulado
55,PG00055,55,2026-05-06,Banco afiliado,6314.00,Pagado
56,PG00056,56,2026-04-16,Caja universitaria,2088.00,Pagado
57,PG00057,57,2026-05-01,Tarjeta,536.00,Pagado
58,PG00058,58,2026-05-15,Transferencia,810.2,Parcial
59,PG00059,59,2026-03-03,Banco afiliado,0.0,Anulado
60,PG00060,60,2026-04-27,Caja universitaria,0.0,Anulado
61,PG00061,61,2026-05-19,Tarjeta,0.0,Anulado
62,PG00062,62,2026-06-18,Transferencia,0.0,Anulado
63,PG00063,63,2026-01-12,Banco afiliado,7992.00,Pagado
64,PG00064,64,2026-02-16,Caja universitaria,420.00,Pagado
65,PG00065,65,2026-03-19,Tarjeta,523.88,Parcial
66,PG00066,66,2026-06-16,Transferencia,712.00,Pagado
67,PG00067,67,2026-03-02,Banco afiliado,9460.00,Pagado
68,PG00068,68,2026-06-18,Caja universitaria,5496.00,Pagado
69,PG00069,69,2026-03-05,Tarjeta,0.0,Anulado
70,PG00070,70,2026-05-24,Transferencia,5356.00,Pagado
71,PG00071,71,2026-04-05,Banco afiliado,0.0,Anulado
72,PG00072,72,2026-04-14,Caja universitaria,3512.00,Pagado
73,PG00073,73,2026-02-03,Tarjeta,0.0,Anulado
74,PG00074,74,2026-01-12,Transferencia,0.0,Anulado
75,PG00075,75,2026-03-23,Banco afiliado,0.0,Anulado
76,PG00076,76,2026-01-24,Caja universitaria,1424.00,Pagado
77,PG00077,77,2026-03-05,Tarjeta,0.0,Anulado
78,PG00078,78,2026-05-22,Transferencia,6538.00,Pagado
79,PG00079,79,2026-04-04,Banco afiliado,3196.00,Pagado
80,PG00080,80,2026-05-16,Caja universitaria,1622.98,Pagado
81,PG00081,81,2026-06-22,Tarjeta,2149.88,Pagado
82,PG00082,82,2026-04-10,Transferencia,7896.00,Pagado
83,PG00083,83,2026-04-03,Banco afiliado,2484.00,Pagado
