id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Especializado,371.52,1
2,P0002,Servicio/Producto 02,Premium,277.45,1
3,P0003,Servicio/Producto 03,Est?ndar,234.23,1
4,P0004,Servicio/Producto 04,Premium,109.57,1
5,P0005,Servicio/Producto 05,Especializado,347.11,1
6,P0006,Servicio/Producto 06,Est?ndar,345.42,1
7,P0007,Servicio/Producto 07,Especializado,78.29,1
8,P0008,Servicio/Producto 08,Premium,94.81,1
9,P0009,Servicio/Producto 09,Especializado,59.88,1
10,P0010,Servicio/Producto 10,Especializado,163.8,1
11,P0011,Servicio/Producto 11,Especializado,86.04,1
12,P0012,Servicio/Producto 12,Est?ndar,357.62,1
13,P0013,Servicio/Producto 13,Especializado,268.61,1
14,P0014,Servicio/Producto 14,Premium,314.31,1
15,P0015,Servicio/Producto 15,Especializado,365.12,1
