id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,27,2,14.00,28.00
2,1,1,3,12.00,36.00
3,1,13,3,45.00,135.00
4,1,7,1,0.00,0.00
5,2,2,1,16.44,16.44
6,3,18,1,420.00,420.00
7,3,22,4,93.41,373.64
8,4,6,4,58.00,232.00
9,4,26,3,7.00,21.00
10,4,19,1,18.00,18.00
11,5,9,2,38.00,76.00
12,5,5,1,42.32,42.32
13,6,22,2,93.41,186.82
14,6,4,5,30.88,154.40
15,6,16,4,171.88,687.52
16,7,12,1,95.00,95.00
17,8,21,4,53.95,215.80
18,9,15,4,109.96,439.84
19,9,3,1,22.54,22.54
20,9,5,5,42.32,211.60
21,9,15,3,109.96,329.88
22,10,17,5,268.68,1343.40
23,11,7,3,0.00,0.00
24,11,25,4,0.00,0.00
25,11,30,4,35.00,140.00
26,11,24,6,280.00,1680.00
27,12,27,4,14.00,56.00
28,12,9,3,38.00,114.00
29,13,2,4,16.44,65.76
30,13,23,2,161.73,323.46
31,14,17,1,268.68,268.68
32,15,1,1,12.00,12.00
33,15,2,2,16.44,32.88
34,15,8,1,19.00,19.00
35,16,26,6,7.00,42.00
36,16,30,6,35.00,210.00
37,16,5,5,42.32,211.60
38,17,18,3,420.00,1260.00
39,17,21,2,53.95,107.90
40,18,21,4,53.95,215.80
41,18,10,5,57.00,285.00
42,18,1,1,12.00,12.00
43,19,18,3,420.00,1260.00
44,19,26,4,7.00,28.00
45,19,16,3,171.88,515.64
46,20,21,6,53.95,323.70
47,20,4,3,30.88,92.64
48,20,2,4,16.44,65.76
49,20,16,4,171.88,687.52
50,21,24,2,280.00,560.00
51,21,29,4,28.00,112.00
52,22,7,3,0.00,0.00
53,22,17,5,268.68,1343.40
54,23,14,4,70.34,281.36
55,23,8,2,19.00,38.00
56,23,8,2,19.00,38.00
57,23,19,4,18.00,72.00
58,24,20,6,31.16,186.96
59,24,29,1,28.00,28.00
60,25,7,5,0.00,0.00
61,25,10,4,57.00,228.00
62,26,21,2,53.95,107.90
63,26,14,3,70.34,211.02
