id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-05-26,Caja municipal,0.0,Anulado
2,PG00002,2,2026-01-03,Tarjeta,0.0,Anulado
3,PG00003,3,2026-06-27,Banco afiliado,793.64,Pagado
4,PG00004,4,2026-03-16,Pago web,0.0,Anulado
5,PG00005,5,2026-05-14,Caja municipal,118.32,Pagado
6,PG00006,6,2026-02-02,Tarjeta,0.0,Anulado
7,PG00007,7,2026-04-12,Banco afiliado,95.00,Pagado
8,PG00008,8,2026-06-08,Pago web,663.64,Parcial
9,PG00009,9,2026-05-15,Caja municipal,0.0,Anulado
10,PG00010,10,2026-02-23,Tarjeta,665.77,Parcial
11,PG00011,11,2026-05-20,Banco afiliado,0.0,Anulado
12,PG00012,12,2026-01-05,Pago web,0.0,Anulado
13,PG00013,13,2026-05-25,Caja municipal,389.22,Pagado
14,PG00014,14,2026-05-26,Tarjeta,268.68,Pagado
15,PG00015,15,2026-04-16,Banco afiliado,63.88,Pagado
16,PG00016,16,2026-02-07,Pago web,0.0,Anulado
17,PG00017,17,2026-03-01,Caja municipal,1367.90,Pagado
18,PG00018,18,2026-05-09,Tarjeta,512.80,Pagado
19,PG00019,19,2026-02-15,Banco afiliado,1803.64,Pagado
20,PG00020,20,2026-03-10,Pago web,1169.62,Pagado
21,PG00021,21,2026-06-09,Caja municipal,1402.08,Parcial
22,PG00022,22,2026-01-02,Tarjeta,1343.40,Pagado
23,PG00023,23,2026-06-10,Banco afiliado,429.36,Pagado
24,PG00024,24,2026-02-10,Pago web,0.0,Anulado
25,PG00025,25,2025-12-02,Caja municipal,228.00,Pagado
26,PG00026,26,2026-06-16,Tarjeta,2168.13,Parcial
27,PG00027,27,2026-03-01,Banco afiliado,998.65,Pagado
28,PG00028,28,2026-01-08,Pago web,1167.20,Pagado
29,PG00029,29,2026-01-21,Caja municipal,0.0,Anulado
30,PG00030,30,2026-06-08,Tarjeta,1708.65,Pagado
31,PG00031,31,2026-04-17,Banco afiliado,198.48,Pagado
32,PG00032,32,2026-05-25,Pago web,0.0,Anulado
33,PG00033,33,2026-02-24,Caja municipal,456.00,Pagado
34,PG00034,34,2026-05-16,Tarjeta,0.0,Anulado
35,PG00035,35,2026-05-19,Banco afiliado,1008.38,Pagado
36,PG00036,36,2026-05-20,Pago web,515.64,Pagado
37,PG00037,37,2026-03-13,Caja municipal,0.0,Anulado
38,PG00038,38,2026-04-11,Tarjeta,380.00,Pagado
39,PG00039,39,2026-03-27,Banco afiliado,1515.72,Pagado
40,PG00040,40,2026-01-08,Pago web,1486.07,Pagado
41,PG00041,41,2026-01-21,Caja municipal,211.60,Pagado
42,PG00042,42,2026-03-09,Tarjeta,1640.08,Pagado
43,PG00043,43,2026-04-26,Banco afiliado,2144.64,Pagado
44,PG00044,44,2026-02-07,Pago web,357.62,Pagado
45,PG00045,45,2026-04-15,Caja municipal,1994.98,Parcial
46,PG00046,46,2026-01-28,Tarjeta,548.88,Pagado
47,PG00047,47,2026-05-12,Banco afiliado,0.0,anulado
48,PG00048,48,,Pago web,1601.20,Pagado
49,PG00049,49,2026-06-23,Caja municipal,0.00,Pagado
50,PG00050,50,2026-02-05,Tarjeta,171.88,Pagado
51,PG00051,51,2026-04-07,Banco afiliado,0.0,Anulado
52,PG00052,52,2026-05-27,Pago web,114.00,Pagado
53,PG00053,53,2026-01-01,Caja municipal,806.04,Pagado
54,PG00054,54,2026-06-22,Tarjeta,456.43,Parcial
55,PG00055,55,2026-02-05,Banco afiliado,831.64,Pagado
56,PG00056,56,2026-01-02,Pago web,427.80,Pagado
57,PG00057,57,2026-04-10,Caja municipal,5040.00,Pagado
58,PG00058,58,2026-06-26,Tarjeta,1635.64,Pagado
59,PG00059,59,2026-04-24,Banco afiliado,0.0,Anulado
60,PG00060,60,2026-01-25,Pago web,662.88,Pagado
61,PG00061,61,2026-06-25,Caja municipal,0.0,Anulado
62,PG00062,62,2026-01-07,Tarjeta,35.00,Pagado
63,PG00063,63,2026-02-05,Banco afiliado,464.87,Pagado
64,PG00064,64,2026-01-16,Pago web,233.85,Pagado
65,PG00065,65,2026-01-05,Caja municipal,2735.80,Pagado
66,PG00066,66,2026-03-22,Tarjeta,3717.16,Pagado
67,PG00067,67,2026-03-07,Banco afiliado,0.0,Anulado
68,PG00068,68,2026-03-21,Pago web,1960.44,Pagado
69,PG00069,69,2026-02-12,Caja municipal,0.0,Anulado
70,PG00070,70,2026-02-25,Tarjeta,2318.35,Pagado
71,PG00071,71,2026-03-26,Banco afiliado,0.0,Anulado
72,PG00072,72,2026-05-23,Pago web,1435.28,Pagado
73,PG00073,73,2026-05-20,Caja municipal,264.28,Pagado
74,PG00074,74,2026-05-17,Tarjeta,261.00,Pagado
75,PG00075,75,2026-02-21,Banco afiliado,0.0,Anulado
76,PG00076,76,2026-04-24,Pago web,2127.07,Pagado
77,PG00077,77,2026-05-26,Caja municipal,42.00,Pagado
78,PG00078,78,2026-06-16,Tarjeta,114.00,Pagado
79,PG00079,79,2026-06-19,Banco afiliado,165.00,Pagado
80,PG00080,80,2026-05-05,Pago web,546.82,Pagado
81,PG00081,81,2026-03-16,Caja municipal,320.64,Pagado
82,PG00082,82,2026-02-24,Tarjeta,49.32,Pagado
83,PG00083,83,2026-05-05,Banco afiliado,0.0,Anulado
84,PG00084,84,2026-02-14,Pago web,186.82,Pagado
85,PG00085,85,2026-01-09,Caja municipal,0.0,Anulado
86,PG00086,86,2026-04-21,Tarjeta,1140.00,Pagado
87,PG00087,87,2026-04-03,Banco afiliado,5101.59,pagado
88,PG00088,88,2026-06-02,Pago web,1669.08,Pagado
89,PG00089,89,2026-06-07,Caja municipal,42.32,Pagado
90,PG00090,90,2026-06-15,Tarjeta,161.73,Pagado
91,PG00091,91,2026-03-27,Banco afiliado,1612.08,Pagado
92,PG00092,92,2026-06-16,Pago web,0.0,Anulado
93,PG00093,93,2026-05-02,Caja municipal,254.76,Pagado
94,PG00094,94,2026-02-26,Tarjeta,4836.4,Pagado
95,PG00095,95,2026-06-11,Banco afiliado,196.00,Pagado
96,PG00096,96,,Pago web,903.04,Pagado
97,PG00097,97,2026-03-18,Caja municipal,0.0,Anulado
98,PG00098,98,2026-01-04,Tarjeta,4842.72,Pagado
99,PG00099,99,2026-02-25,Banco afiliado,2510.29,Parcial
100,PG00100,100,2026-04-12,Pago web,432.00,Pagado
101,PG00101,101,2026-02-28,Caja municipal,220.21,Pagado
102,PG00102,102,2026-05-15,Tarjeta,154.98,Pagado
103,PG00103,103,2026-04-01,Banco afiliado,0.0,Anulado
104,PG00104,104,2026-01-22,Pago web,140.00,Pagado
105,PG00105,105,2026-05-21,Caja municipal,653.22,Parcial
106,PG00106,106,2026-03-08,Tarjeta,587.76,Pagado
107,PG00107,107,2026-02-18,Banco afiliado,0.0,Anulado
108,PG00108,108,2026-05-06,Pago web,489.28,Pagado
109,PG00109,109,2026-06-11,Caja municipal,834.76,Pagado
110,PG00110,110,2026-03-18,Tarjeta,874.00,Pagado
111,PG00111,111,2026-04-25,Banco afiliado,401.60,Pagado
112,PG00112,112,2026-02-24,Pago web,2100.00,Pagado
113,PG00113,113,2026-06-01,Caja municipal,24.00,Pagado
114,PG00114,114,2026-02-28,Tarjeta,698.84,Pagado
115,PG00115,115,2026-04-04,Banco afiliado,0.0,Anulado
116,PG00116,116,2026-01-14,Pago web,140.68,Pagado
117,PG00117,117,2026-03-07,Caja municipal,0.0,Anulado
118,PG00118,118,2026-04-23,Tarjeta,611.55,Pagado
119,PG00119,119,2026-03-16,Banco afiliado,21.00,Pagado
120,PG00120,120,2026-03-27,Pago web,299.80,Pagado
121,PG00121,121,2026-02-04,Caja municipal,550.88,Pagado
122,PG00122,122,2026-06-26,Tarjeta,0.0,Anulado
123,PG00123,123,2026-02-23,Banco afiliado,328.64,Pagado
124,PG00124,124,2026-01-18,Pago web,165.32,Pagado
125,PG00125,125,2026-02-06,Caja municipal,485.19,Pagado
126,PG00126,126,2026-02-14,Tarjeta,6143.41,pagado
127,PG00127,127,2026-05-03,Banco afiliado,111.16,Pagado
128,PG00128,128,2026-02-21,Pago web,3624.85,pagado
129,PG00129,129,2026-05-27,Caja municipal,1951.58,parcial
130,PG00130,130,2026-01-12,Tarjeta,775.09,Pagado
131,PG00131,131,2026-01-16,Banco afiliado,0.0,Anulado
132,PG00132,132,2026-06-06,Pago web,2055.56,Pagado
133,PG00133,133,2026-06-12,Caja municipal,469.84,Pagado
134,PG00134,134,2026-05-11,Tarjeta,806.04,Pagado
135,PG00135,135,2026-01-22,Banco afiliado,3096.08,Pagado
136,PG00136,136,2026-05-10,Pago web,3276.43,Pagado
137,PG00137,137,2026-03-03,Caja municipal,2774.75,pagado
138,PG00138,138,2026-05-23,Tarjeta,681.91,Pagado
