id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,4,6,378.38,2270.28
2,1,6,3,1850.00,5550.00
3,2,13,5,25.00,125.00
4,2,27,6,80.50,483.00
5,2,20,4,21.27,85.08
6,2,16,6,101.90,611.40
7,3,4,2,378.38,756.76
8,3,30,1,650.00,650.00
9,3,4,3,378.38,1135.14
10,3,8,2,34.71,69.42
11,4,23,2,118.47,236.94
12,4,1,6,35.00,210.00
13,5,1,4,35.00,140.00
14,5,28,3,161.50,484.50
15,5,29,2,323.99,647.98
16,6,1,4,35.00,140.00
17,7,12,2,480.00,960.00
18,7,25,2,20.00,40.00
19,8,25,2,20.00,40.00
20,9,19,3,12.00,36.00
21,10,27,2,80.50,161.00
22,10,8,3,34.71,104.13
23,10,27,2,80.50,161.00
24,11,14,2,39.93,79.86
25,11,22,4,66.84,267.36
26,11,28,4,161.50,646.00
27,11,18,6,260.00,1560.00
28,12,21,6,37.70,226.20
29,13,2,2,77.39,154.78
30,14,22,1,66.84,66.84
31,15,27,1,80.50,80.50
32,16,25,1,20.00,20.00
33,16,2,2,77.39,154.78
34,16,30,3,650.00,1950.00
35,16,25,1,20.00,20.00
36,17,26,3,40.12,120.36
37,17,11,5,248.91,1244.55
38,17,12,2,480.00,960.00
39,17,18,5,260.00,1300.00
40,18,2,4,77.39,309.56
41,18,2,6,77.39,464.34
42,18,16,1,101.90,101.90
43,18,12,4,480.00,1920.00
44,19,10,4,129.08,516.32
45,19,15,2,63.79,127.58
46,20,9,4,66.94,267.76
47,20,19,2,12.00,24.00
48,20,18,2,260.00,520.00
49,21,30,4,650.00,2600.00
50,21,11,1,248.91,248.91
51,21,10,5,129.08,645.40
52,21,22,1,66.84,66.84
53,22,16,1,101.90,101.90
54,23,25,6,20.00,120.00
55,23,20,3,21.27,63.81
56,23,27,6,80.50,483.00
57,23,11,1,248.91,248.91
58,24,9,2,66.94,133.88
59,24,29,2,323.99,647.98
60,25,25,3,20.00,60.00
61,25,3,3,171.12,513.36
62,26,5,6,836.66,5019.96
63,27,11,4,248.91,995.64
64,27,19,4,12.00,48.00
65,27,16,4,101.90,407.60
66,27,17,2,162.77,325.54
67,28,15,4,63.79,255.16
68,28,3,1,171.12,171.12
69,29,21,5,37.70,188.50
70,29,13,1,25.00,25.00
71,29,11,6,248.91,1493.46
72,30,15,6,63.79,382.74
73,30,21,5,37.70,188.50
74,30,27,6,80.50,483.00
75,30,3,3,171.12,513.36
76,31,7,1,18.00,18.00
77,31,13,2,25.00,50.00
78,31,8,3,34.71,104.13
79,32,24,6,210.00,1260.00
80,33,15,2,63.79,127.58
81,33,16,3,101.90,305.70
82,33,11,6,248.91,1493.46
83,33,16,1,101.90,101.90
