id_incidencia,codigo_incidencia,id_operacion,tipo_incidencia,severidad,fecha_reporte,estado_incidencia
1,I00001,10,Producto equivocado,Alta,2026-03-13,Cerrada
2,I00002,32,Entrega incompleta,Alta,2026-04-12,Cerrada
3,I00003,52,Producto dañado,Baja,2026-06-20,Cerrada
4,I00004,90,Retraso de despacho,Media,2026-03-22,Abierta
5,I00005,93,Solicitud de devolución,Alta,2026-03-01,En revisión
6,I00006,96,Producto equivocado,Baja,2026-02-03,En revisión
7,I00007,97,Entrega incompleta,Baja,2026-02-19,Abierta
8,I00008,99,Producto dañado,Baja,2026-06-27,Abierta
9,I00009,101,Retraso de despacho,Baja,2026-05-09,Cerrada
10,I00010,104,Solicitud de devolución,Alta,2026-06-22,Abierta
11,I00011,110,Producto equivocado,Media,2026-05-04,Abierta
12,I00012,122,Entrega incompleta,Media,2026-04-07,Cerrada
13,I00013,135,Producto dañado,Baja,2026-06-02,Cerrada
14,I00014,139,Retraso de despacho,Alta,2026-03-24,Abierta
15,I00015,144,Solicitud de devolución,Media,2026-03-13,En revisión
16,I00016,149,Producto equivocado,Baja,2026-05-19,Abierta
17,I00017,150,Entrega incompleta,Baja,2026-02-13,Abierta
18,I00018,170,Producto dañado,Baja,2026-06-03,En revisión
19,I00019,171,Retraso de despacho,Alta,2026-04-22,Cerrada
20,I00020,175,Solicitud de devolución,Alta,2026-04-26,Cerrada
21,I00021,180,Producto equivocado,Baja,2026-04-13,Abierta
22,I00022,187,Entrega incompleta,Alta,2026-06-18,En revisión
23,I00023,191,Producto dañado,Alta,2026-02-09,Abierta
24,I00024,197,Retraso de despacho,Media,2026-05-28,Cerrada
25,I00025,199,Solicitud de devolución,Alta,2026-02-28,Abierta
26,I00026,201,Producto equivocado,Alta,2026-02-02,En revisión
27,I00027,214,Entrega incompleta,Media,2026-02-13,En revisión
28,I00028,215,Producto dañado,Alta,2026-06-22,En revisión
29,I00029,219,Retraso de despacho,Baja,2026-02-27,Cerrada
30,I00030,220,Solicitud de devolución,Media,2026-03-09,En revisión
31,I00031,222,Producto equivocado,Alta,2026-02-19,Abierta
32,I00032,230,Entrega incompleta,Baja,2026-05-27,En revisión
33,I00033,247,Producto dañado,Media,2026-03-08,En revisión
34,I00034,250,Retraso de despacho,Alta,2026-02-01,En revisión
35,I00035,255,Solicitud de devolución,Media,2026-05-18,Cerrada
36,I00036,257,Producto equivocado,Baja,2026-03-26,Abierta
37,I00037,269,Entrega incompleta,Baja,2026-06-01,Cerrada
38,I00038,281,Producto dañado,Media,2026-03-20,Abierta
39,I00039,292,Retraso de despacho,Baja,2026-04-10,Abierta
40,I00040,294,Solicitud de devolución,Alta,2026-03-06,Cerrada
41,I00041,295,Producto equivocado,Baja,2026-03-22,Cerrada
