id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-06-18,Efectivo,994.51,Pagado
2,PG00002,2,2026-01-25,Transferencia,791.96,Pagado
3,PG00003,3,2026-01-25,Yape/Plin,1737.14,Pagado
4,PG00004,4,2026-04-15,Transferencia,188.47,Pagado
5,PG00005,5,2026-03-28,Yape/Plin,1052.67,Pagado
6,PG00006,6,2026-03-06,Efectivo,761.72,Pagado
7,PG00007,7,2026-01-18,Transferencia,977.58,Pagado
8,PG00008,8,2026-06-10,Yape/Plin,821.0,Pagado
9,PG00009,9,2026-01-03,Tarjeta,773.75,Pagado
10,PG00010,10,2026-06-01,Yape/Plin,1475.85,Pagado
11,PG00011,11,2026-05-29,Tarjeta,1470.58,Pagado
12,PG00012,12,2026-01-23,Tarjeta,1015.93,Pagado
13,PG00013,13,2026-02-07,Tarjeta,179.48,Pagado
14,PG00014,14,2026-01-28,Transferencia,146.68,Pagado
15,PG00015,15,2026-01-15,Yape/Plin,238.58,Pagado
16,PG00016,16,2026-05-16,Yape/Plin,1061.35,Pagado
17,PG00017,17,2026-06-29,Tarjeta,0,Anulado
18,PG00018,18,2026-02-25,Transferencia,129.39,Pagado
19,PG00019,19,2026-03-15,Yape/Plin,47.24,Pagado
20,PG00020,20,2026-03-17,Tarjeta,0,Anulado
21,PG00021,21,2026-03-31,Transferencia,0,Anulado
22,PG00022,22,2026-05-22,Yape/Plin,392.39,Pagado
23,PG00023,23,2026-01-31,Transferencia,2225.09,Pagado
24,PG00024,24,2026-03-21,Efectivo,937.56,Pagado
25,PG00025,25,2026-06-23,Transferencia,258.33,Pagado
26,PG00026,26,2026-02-06,Transferencia,1360.24,Pagado
27,PG00027,27,2026-03-12,Transferencia,2141.82,Pagado
28,PG00028,28,2026-04-23,Yape/Plin,265.57,Pagado
29,PG00029,29,2026-05-16,Efectivo,1426.29,Pagado
30,PG00030,30,2026-06-24,Efectivo,922.2,Pagado
31,PG00031,31,2026-04-16,Efectivo,571.93,Pagado
32,PG00032,32,2026-05-02,Tarjeta,1008.41,Pagado
33,PG00033,33,2026-02-18,Efectivo,0,Anulado
34,PG00034,34,2026-02-25,Transferencia,947.2,Pagado
35,PG00035,35,2026-04-16,Yape/Plin,1068.76,Pagado
36,PG00036,36,2026-04-24,Transferencia,1037.65,Pagado
37,PG00037,37,2026-01-10,Tarjeta,778.82,Pagado
38,PG00038,38,2026-01-01,Efectivo,761.12,Pagado
39,PG00039,39,2026-05-13,Transferencia,805.99,Pagado
40,PG00040,40,2026-05-15,Efectivo,285.37,Pagado
41,PG00041,41,2026-02-21,Yape/Plin,1163.49,Pagado
42,PG00042,42,2026-05-20,Transferencia,1357.27,Pagado
43,PG00043,43,2026-01-13,Transferencia,638.9,Pagado
44,PG00044,44,2026-03-28,Yape/Plin,1650.69,Pagado
45,PG00045,45,2026-04-04,Tarjeta,122.74,Pagado
46,PG00046,46,2026-03-23,Transferencia,363.34,Pagado
47,PG00047,47,2026-05-08,Yape/Plin,696.32,Pagado
48,PG00048,48,2026-05-10,Transferencia,829.84,Pagado
49,PG00049,49,2026-01-22,Tarjeta,1655.33,Pagado
50,PG00050,50,2026-05-31,Transferencia,269.22,Pagado
51,PG00051,51,2026-05-18,Tarjeta,927.18,Pagado
52,PG00052,52,2026-04-02,Yape/Plin,922.09,Pagado
53,PG00053,53,2026-01-13,Transferencia,1488.89,Pagado
54,PG00054,54,2026-01-28,Yape/Plin,155.04,Pagado
55,PG00055,55,2026-06-26,Tarjeta,1067.1,Pagado
56,PG00056,56,2026-03-18,Efectivo,1591.83,Pagado
57,PG00057,57,2026-05-04,Transferencia,927.61,Pagado
58,PG00058,58,2026-04-01,Efectivo,265.16,Pagado
59,PG00059,59,2026-02-27,Efectivo,322.29,Pagado
60,PG00060,60,2026-01-30,Tarjeta,1693.73,Pagado
61,PG00061,61,2026-05-21,Yape/Plin,518.09,Pagado
62,PG00062,62,2026-03-30,Efectivo,317.36,Pagado
63,PG00063,63,2026-04-28,Tarjeta,825.48,Pagado
64,PG00064,64,2026-03-20,Tarjeta,0,Anulado
65,PG00065,65,2026-06-22,Efectivo,1061.25,Pagado
66,PG00066,66,2026-05-21,Efectivo,353.71,Pagado
67,PG00067,67,2026-05-22,Tarjeta,351.51,Pagado
68,PG00068,68,2026-04-02,Efectivo,240.14,Pagado
69,PG00069,69,2026-04-19,Yape/Plin,198.29,Pagado
70,PG00070,70,2026-05-25,Efectivo,729.94,Pagado
71,PG00071,71,2026-04-13,Transferencia,0,Anulado
72,PG00072,72,2026-04-09,Transferencia,1543.55,Pagado
73,PG00073,73,2026-03-28,Yape/Plin,1711.19,Pagado
74,PG00074,74,2026-01-02,Efectivo,425.52,Pagado
75,PG00075,75,2026-03-13,Tarjeta,1450.97,Pagado
76,PG00076,76,2026-05-14,Efectivo,1542.18,Pagado
77,PG00077,77,2026-05-30,Efectivo,1362.97,Pagado
78,PG00078,78,2026-03-01,Transferencia,0,Anulado
79,PG00079,79,2026-05-26,Efectivo,267.23,Pagado
80,PG00080,80,2026-02-01,Efectivo,474.18,Pagado
81,PG00081,81,2026-06-18,Efectivo,748.78,Pagado
82,PG00082,82,2026-05-31,Yape/Plin,92.6,Pagado
83,PG00083,83,2026-03-05,Efectivo,704.09,Pagado
84,PG00084,84,2026-06-07,Tarjeta,611.19,Pagado
85,PG00085,85,2026-06-26,Efectivo,1637.01,Pagado
86,PG00086,86,2026-01-01,Tarjeta,66.34,Pagado
87,PG00087,87,2026-03-12,Transferencia,1124.84,Pagado
88,PG00088,88,2026-05-17,Tarjeta,334.11,Pagado
89,PG00089,89,2026-01-04,Tarjeta,765.36,Pagado
90,PG00090,90,2026-01-22,Efectivo,0,Anulado
91,PG00091,91,2026-06-02,Transferencia,569.63,Pagado
92,PG00092,92,2026-05-16,Transferencia,269.34,Pagado
93,PG00093,93,2026-04-11,Tarjeta,34.88,Pagado
94,PG00094,94,2026-03-15,Transferencia,1067.44,Pagado
95,PG00095,95,2026-05-24,Yape/Plin,1742.03,Pagado
96,PG00096,96,2026-02-26,Tarjeta,917.71,Pagado
97,PG00097,97,2026-02-23,Tarjeta,580.91,Pagado
98,PG00098,98,2026-01-05,Transferencia,950.22,Pagado
99,PG00099,99,2026-02-03,Efectivo,478.15,Pagado
100,PG00100,100,2026-03-18,Transferencia,138.09,Pagado
101,PG00101,101,2026-06-20,Efectivo,432.24,Pagado
102,PG00102,102,2026-05-17,Yape/Plin,125.58,Pagado
103,PG00103,103,2026-03-12,Yape/Plin,1100.46,Pagado
104,PG00104,104,2026-06-22,Yape/Plin,863.66,Pagado
105,PG00105,105,2026-04-16,Transferencia,180.13,Pagado
106,PG00106,106,2026-04-17,Transferencia,527.28,Pagado
107,PG00107,107,2026-05-12,Efectivo,1187.21,Pagado
108,PG00108,108,2026-05-10,Yape/Plin,273.88,Pagado
109,PG00109,109,2026-06-01,Efectivo,293.65,Pagado
110,PG00110,110,2026-06-22,Yape/Plin,360.14,Pagado
111,PG00111,111,2026-06-19,Tarjeta,1495.44,Pagado
112,PG00112,112,2026-06-03,Efectivo,1646.75,Pagado
113,PG00113,113,2026-06-13,Yape/Plin,281.87,Pagado
114,PG00114,114,2026-05-17,Yape/Plin,474.76,Pagado
115,PG00115,115,2026-04-27,Yape/Plin,1477.61,Pagado
116,PG00116,116,2026-01-16,Transferencia,332.08,Pagado
117,PG00117,117,2026-06-02,Efectivo,361.67,Pagado
118,PG00118,118,2026-03-05,Transferencia,463.26,Pagado
119,PG00119,119,2026-04-16,Efectivo,749.21,Pagado
120,PG00120,120,2026-04-07,Transferencia,323.2,Pagado
121,PG00121,121,2026-03-09,Efectivo,525.25,Pagado
122,PG00122,122,2026-04-15,Tarjeta,255.7,Pagado
123,PG00123,123,2026-03-09,Transferencia,1574.48,Pagado
124,PG00124,124,2026-04-20,Efectivo,199.4,Pagado
125,PG00125,125,2026-03-18,Yape/Plin,1138.75,Pagado
126,PG00126,126,2026-01-06,Efectivo,153.82,Pagado
127,PG00127,127,2026-03-28,Efectivo,393.51,Pagado
128,PG00128,128,2026-03-21,Transferencia,1602.34,Pagado
129,PG00129,129,2026-04-25,Transferencia,187.48,Pagado
130,PG00130,130,2026-01-10,Transferencia,362.29,Pagado
131,PG00131,131,2026-05-18,Tarjeta,1279.04,Pagado
132,PG00132,132,2026-02-06,Transferencia,337.14,Pagado
133,PG00133,133,2026-03-01,Transferencia,552.27,Pagado
134,PG00134,134,2026-06-18,Efectivo,990.54,Pagado
135,PG00135,135,2026-06-02,Transferencia,77.88,Pagado
136,PG00136,136,2026-05-19,Yape/Plin,413.8,Pagado
137,PG00137,137,2026-05-05,Efectivo,1424.53,Pagado
138,PG00138,138,2026-05-28,Transferencia,695.55,Pagado
139,PG00139,139,2026-06-13,Yape/Plin,1387.5,Pagado
140,PG00140,140,2026-06-17,Efectivo,2054.88,Pagado
141,PG00141,141,2026-02-05,Tarjeta,671.52,Pagado
142,PG00142,142,2026-03-26,Efectivo,0,Anulado
143,PG00143,143,2026-03-23,Yape/Plin,0,Anulado
144,PG00144,144,2026-05-09,Yape/Plin,660.25,Pagado
145,PG00145,145,2026-05-30,Transferencia,784.36,Pagado
146,PG00146,146,2026-06-19,Yape/Plin,603.04,Pagado
147,PG00147,147,2026-06-06,Transferencia,832.15,Pagado
148,PG00148,148,2026-01-28,Efectivo,452.96,Pagado
149,PG00149,149,2026-06-27,Tarjeta,292.6,Pagado
150,PG00150,150,2026-05-03,Transferencia,556.72,Pagado
151,PG00151,151,2026-06-02,Yape/Plin,175.64,Pagado
152,PG00152,152,2026-05-07,Yape/Plin,779.38,Pagado
153,PG00153,153,2026-01-25,Yape/Plin,1620.52,Pagado
154,PG00154,154,2026-05-21,Tarjeta,2156.65,Pagado
155,PG00155,155,2026-06-29,Yape/Plin,446.76,Pagado
156,PG00156,156,2026-01-31,Transferencia,481.34,Pagado
157,PG00157,157,2026-05-29,Yape/Plin,1357.76,Pagado
158,PG00158,158,2026-05-22,Transferencia,0,Anulado
159,PG00159,159,2026-06-24,Transferencia,578.18,Pagado
160,PG00160,160,2026-03-09,Transferencia,212.81,Pagado
161,PG00161,161,2026-03-14,Yape/Plin,407.85,Pagado
162,PG00162,162,2026-02-20,Yape/Plin,933.17,Pagado
163,PG00163,163,2026-02-20,Yape/Plin,328.04,Pagado
164,PG00164,164,2026-01-26,Efectivo,1186.33,Pagado
165,PG00165,165,2026-05-08,Yape/Plin,665.69,Pagado
166,PG00166,166,2026-01-28,Efectivo,169.82,Pagado
167,PG00167,167,2026-02-04,Yape/Plin,560.74,Pagado
168,PG00168,168,2026-05-10,Efectivo,1401.11,Pagado
169,PG00169,169,2026-06-08,Transferencia,1612.76,Pagado
170,PG00170,170,2026-03-26,Efectivo,211.61,Pagado
171,PG00171,171,2026-03-28,Efectivo,0,Anulado
172,PG00172,172,2026-06-29,Transferencia,193.65,Pagado
173,PG00173,173,2026-05-20,Yape/Plin,1423.55,Pagado
174,PG00174,174,2026-02-01,Yape/Plin,782.23,Pagado
175,PG00175,175,2026-04-03,Yape/Plin,1124.04,Pagado
176,PG00176,176,2026-06-02,Efectivo,533.06,Pagado
177,PG00177,177,2026-06-02,Efectivo,253.51,Pagado
178,PG00178,178,2026-03-31,Yape/Plin,1079.17,Pagado
