id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Premium,266.99,1
2,P0002,Servicio/Producto 02,Est?ndar,149.79,1
3,P0003,Servicio/Producto 03,Especializado,330.78,1
4,P0004,Servicio/Producto 04,B?sico,38.26,1
5,P0005,Servicio/Producto 05,Especializado,67.76,1
6,P0006,Servicio/Producto 06,B?sico,355.75,1
7,P0007,Servicio/Producto 07,Est?ndar,127.24,1
8,P0008,Servicio/Producto 08,Est?ndar,126.08,1
9,P0009,Servicio/Producto 09,Premium,192.49,1
10,P0010,Servicio/Producto 10,Especializado,254.65,1
11,P0011,Servicio/Producto 11,B?sico,159.45,1
12,P0012,Servicio/Producto 12,B?sico,192.58,1
13,P0013,Servicio/Producto 13,Premium,291.18,1
14,P0014,Servicio/Producto 14,B?sico,296.65,1
15,P0015,Servicio/Producto 15,Especializado,229.45,1
