id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,16,2,52.00,104.00
2,2,1,6,18.00,108.00
3,2,9,4,35.20,140.80
4,2,3,4,27.60,110.40
5,3,13,5,28.00,140.00
6,3,12,5,55.00,275.00
7,3,17,4,60.00,240.00
8,4,16,4,52.00,208.00
9,4,12,5,55.00,275.00
10,5,15,3,44.00,132.00
11,5,16,1,52.00,52.00
12,5,10,1,41.80,41.80
13,6,1,2,18.00,36.00
14,7,9,6,35.20,211.20
15,7,22,5,40.43,202.15
16,7,1,3,18.00,54.00
17,8,20,4,21.79,87.16
18,8,12,4,55.00,220.00
19,8,18,5,68.00,340.00
20,8,25,6,20.00,120.00
21,9,9,4,35.20,140.80
22,9,7,1,22.00,22.00
23,9,28,2,42.80,85.60
24,9,6,4,42.00,168.00
25,10,29,5,50.40,252.00
26,10,13,5,28.00,140.00
27,11,28,4,42.80,171.20
28,12,4,3,32.40,97.20
29,13,8,6,28.60,171.60
30,13,7,1,22.00,22.00
31,13,18,4,68.00,272.00
32,14,19,2,16.00,32.00
33,14,30,4,58.00,232.00
34,15,1,6,18.00,108.00
35,16,17,4,60.00,240.00
36,17,5,1,37.20,37.20
37,17,3,4,27.60,110.40
38,17,8,4,28.60,114.40
39,18,29,6,50.40,302.40
40,18,28,3,42.80,128.40
41,18,5,3,37.20,111.60
42,19,17,6,60.00,360.00
43,19,4,1,32.40,32.40
44,19,19,5,16.00,80.00
45,20,11,5,48.40,242.00
46,20,7,1,22.00,22.00
47,20,7,5,22.00,110.00
48,21,11,3,48.40,145.20
49,21,28,1,42.80,42.80
50,21,22,4,40.43,161.72
51,21,12,5,55.00,275.00
52,22,15,4,44.00,176.00
53,23,19,2,16.00,32.00
54,23,15,5,44.00,220.00
55,23,18,5,68.00,340.00
56,24,16,5,52.00,260.00
57,24,13,6,28.00,168.00
58,24,2,1,22.80,22.80
59,24,6,3,42.00,126.00
60,25,23,4,55.06,220.24
61,26,26,3,27.60,82.80
62,26,1,6,18.00,108.00
63,26,11,1,48.40,48.40
64,27,11,3,48.40,145.20
65,28,11,3,48.40,145.20
66,28,24,4,75.00,300.00
67,29,21,5,29.68,148.40
68,30,28,1,42.80,42.80
69,30,30,4,58.00,232.00
70,30,4,1,32.40,32.40
71,31,22,3,40.43,121.29
72,31,21,5,29.68,148.40
73,32,23,2,55.06,110.12
74,32,20,4,21.79,87.16
75,32,30,5,58.00,290.00
76,32,17,4,60.00,240.00
77,33,29,2,50.40,100.80
78,33,1,6,18.00,108.00
79,34,3,3,27.60,82.80
80,34,16,3,52.00,156.00
81,34,1,3,18.00,54.00
82,35,1,6,18.00,108.00
83,36,9,3,35.20,105.60
84,36,4,2,32.40,64.80
85,36,19,1,16.00,16.00
86,37,12,4,55.00,220.00
87,37,24,5,75.00,375.00
88,37,21,1,29.68,29.68
