id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Nuevo,Callao,2026-03-23
2,E0002,Entidad 002,Regular,Miraflores,2026-01-22
3,E0003,Entidad 003,Preferente,Callao,2026-03-24
4,E0004,Entidad 004,Preferente,Los Olivos,2026-01-16
5,E0005,Entidad 005,Corporativo,Callao,2026-01-17
6,E0006,Entidad 006,Nuevo,Los Olivos,2026-02-06
7,E0007,Entidad 007,Preferente,San Miguel,2026-03-31
8,E0008,Entidad 008,Preferente,Comas,2026-04-11
9,E0009,Entidad 009,Nuevo,Surco,2026-02-25
10,E0010,Entidad 010,Regular,Miraflores,2026-02-28
11,E0011,Entidad 011,Corporativo,Los Olivos,2026-02-07
12,E0012,Entidad 012,Nuevo,Ate,2026-02-11
13,E0013,Entidad 013,Regular,Ate,2026-02-27
14,E0014,Entidad 014,Nuevo,Los Olivos,2026-02-11
15,E0015,Entidad 015,Regular,Comas,2026-01-20
16,E0016,Entidad 016,Preferente,Callao,2026-04-01
17,E0017,Entidad 017,Corporativo,Callao,2026-01-01
18,E0018,Entidad 018,Nuevo,San Miguel,2026-03-05
19,E0019,Entidad 019,Regular,Callao,2026-02-08
20,E0020,Entidad 020,Corporativo,Lince,2026-01-25
21,E0021,Entidad 021,Preferente,Miraflores,2026-03-15
22,E0022,Entidad 022,Preferente,Miraflores,2026-02-22
23,E0023,Entidad 023,Nuevo,Lince,2026-02-18
24,E0024,Entidad 024,Corporativo,Callao,2026-03-12
25,E0025,Entidad 025,Corporativo,Surco,2026-04-07
26,E0026,Entidad 026,Preferente,Ate,2026-01-26
27,E0027,Entidad 027,Regular,Callao,2026-03-11
28,E0028,Entidad 028,Nuevo,Los Olivos,2026-02-11
29,E0029,Entidad 029,Nuevo,Los Olivos,2026-01-24
30,E0030,Entidad 030,Nuevo,Miraflores,2026-03-03
31,E0031,Entidad 031,Regular,Los Olivos,2026-01-02
32,E0032,Entidad 032,Preferente,Los Olivos,2026-04-03
33,E0033,Entidad 033,Preferente,Surco,2026-03-10
34,E0034,Entidad 034,Preferente,Los Olivos,2026-02-27
35,E0035,Entidad 035,Nuevo,Lince,2026-02-28
36,E0036,Entidad 036,Corporativo,Callao,2026-01-19
37,E0037,Entidad 037,Regular,Lince,2026-04-06
38,E0038,Entidad 038,Corporativo,Miraflores,2026-01-24
39,E0039,Entidad 039,Preferente,Miraflores,2026-01-04
40,E0040,Entidad 040,Corporativo,Miraflores,2026-01-06
41,E0041,Entidad 041,Preferente,Miraflores,2026-01-30
42,E0042,Entidad 042,Regular,San Miguel,2026-01-11
43,E0043,Entidad 043,Nuevo,Ate,2026-02-13
44,E0044,Entidad 044,Regular,Surco,2026-02-28
45,E0045,Entidad 045,Preferente,Miraflores,2026-02-28
46,E0046,Entidad 046,Regular,Callao,2026-01-26
47,E0047,Entidad 047,Nuevo,Miraflores,2026-02-01
48,E0048,Entidad 048,Preferente,Surco,2026-01-26
49,E0049,Entidad 049,Corporativo,Surco,2026-01-21
50,E0050,Entidad 050,Regular,Los Olivos,2026-01-23
51,E0051,Entidad 051,Regular,Lince,2026-04-18
52,E0052,Entidad 052,Regular,Los Olivos,2026-04-10
53,E0053,Entidad 053,Nuevo,Surco,2026-01-17
54,E0054,Entidad 054,Preferente,Los Olivos,2026-01-17
55,E0055,Entidad 055,Preferente,Surco,2026-01-07
56,E0056,Entidad 056,Nuevo,Callao,2026-01-22
57,E0057,Entidad 057,Regular,Los Olivos,2026-04-01
58,E0058,Entidad 058,Corporativo,Comas,2026-01-01
59,E0059,Entidad 059,Corporativo,Callao,2026-02-15
60,E0060,Entidad 060,Nuevo,Callao,2026-01-25
61,E0061,Entidad 061,Preferente,Callao,2026-03-22
62,E0062,Entidad 062,Nuevo,San Miguel,2026-04-12
63,E0063,Entidad 063,Nuevo,Callao,2026-04-06
64,E0064,Entidad 064,Nuevo,Lince,2026-01-29
65,E0065,Entidad 065,Regular,Los Olivos,2026-03-07
66,E0066,Entidad 066,Regular,Miraflores,2026-03-17
67,E0067,Entidad 067,Preferente,Surco,2026-03-21
68,E0068,Entidad 068,Nuevo,Ate,2026-02-07
69,E0069,Entidad 069,Regular,Surco,2026-04-13
70,E0070,Entidad 070,Nuevo,Comas,2026-03-08
71,E0071,Entidad 071,Nuevo,Comas,2026-01-08
72,E0072,Entidad 072,Preferente,San Miguel,2026-01-14
73,E0073,Entidad 073,Preferente,Comas,2026-01-03
74,E0074,Entidad 074,Regular,Los Olivos,2026-03-10
75,E0075,Entidad 075,Corporativo,Callao,2026-01-25
76,E0076,Entidad 076,Nuevo,Surco,2026-03-02
77,E0077,Entidad 077,Regular,Surco,2026-02-11
78,E0078,Entidad 078,Nuevo,Comas,2026-01-22
79,E0079,Entidad 079,Corporativo,Callao,2026-02-11
80,E0080,Entidad 080,Regular,Miraflores,2026-01-25
