id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,11,4,408.00,1632.00
2,1,1,1,45.00,45.00
3,1,10,4,336.00,1344.00
4,1,27,2,137.10,274.20
5,2,17,1,1076.00,1076.00
6,2,30,3,420.00,1260.00
7,2,2,3,72.00,216.00
8,3,28,5,199.12,995.60
9,3,11,5,408.00,2040.00
10,4,24,1,980.00,980.00
11,4,6,4,180.00,720.00
12,4,13,6,380.00,2280.00
13,4,28,5,199.12,995.60
14,5,18,4,1250.00,5000.00
15,6,14,3,554.00,1662.00
16,6,17,5,1076.00,5380.00
17,6,5,3,153.00,459.00
18,7,3,6,99.00,594.00
19,7,2,3,72.00,216.00
20,8,26,2,94.40,188.80
21,9,1,3,45.00,135.00
22,9,24,1,980.00,980.00
23,10,16,6,902.00,5412.00
24,10,4,3,126.00,378.00
25,10,3,2,99.00,198.00
26,11,13,2,380.00,760.00
27,11,28,4,199.12,796.48
28,12,10,2,336.00,672.00
29,13,14,2,554.00,1108.00
30,14,10,1,336.00,336.00
31,14,12,1,480.00,480.00
32,14,8,3,192.00,576.00
33,14,10,5,336.00,1680.00
34,15,16,5,902.00,4510.00
35,15,3,5,99.00,495.00
36,16,12,3,480.00,1440.00
37,17,28,6,199.12,1194.72
38,17,15,1,728.00,728.00
39,17,8,5,192.00,960.00
40,17,13,5,380.00,1900.00
41,18,6,1,180.00,180.00
42,18,18,6,1250.00,7500.00
43,18,6,4,180.00,720.00
44,18,25,4,65.00,260.00
45,19,9,5,264.00,1320.00
46,19,3,5,99.00,495.00
47,19,27,5,137.10,685.50
48,19,2,4,72.00,288.00
49,20,27,2,137.10,274.20
50,20,21,6,233.90,1403.40
51,20,8,5,192.00,960.00
52,21,29,3,289.19,867.57
53,22,15,3,728.00,2184.00
54,22,21,4,233.90,935.60
55,22,8,1,192.00,192.00
56,23,29,2,289.19,578.38
57,23,14,4,554.00,2216.00
58,23,21,1,233.90,233.90
59,23,2,3,72.00,216.00
60,24,6,6,180.00,1080.00
61,25,6,2,180.00,360.00
62,25,22,1,377.08,377.08
63,25,15,1,728.00,728.00
64,25,20,1,145.09,145.09
65,26,27,1,137.10,137.10
66,26,4,3,126.00,378.00
67,26,9,6,264.00,1584.00
68,27,10,5,336.00,1680.00
69,27,11,1,408.00,408.00
70,28,6,2,180.00,360.00
71,28,9,5,264.00,1320.00
72,28,23,5,607.90,3039.50
73,28,13,3,380.00,1140.00
74,29,27,5,137.10,685.50
75,29,2,6,72.00,432.00
76,29,26,4,94.40,377.60
77,30,8,5,192.00,960.00
78,30,11,2,408.00,816.00
79,30,23,3,607.90,1823.70
80,30,26,6,94.40,566.40
81,31,14,6,554.00,3324.00
82,31,16,1,902.00,902.00
83,31,25,4,65.00,260.00
84,32,9,6,264.00,1584.00
85,32,12,6,480.00,2880.00
86,33,27,5,137.10,685.50
87,33,4,2,126.00,252.00
88,33,29,2,289.19,578.38
89,34,6,6,180.00,1080.00
90,34,10,1,336.00,336.00
91,35,30,4,420.00,1680.00
92,36,26,3,94.40,283.20
93,36,16,4,902.00,3608.00
94,36,14,5,554.00,2770.00
95,37,21,4,233.90,935.60
96,37,7,5,120.00,600.00
97,37,19,3,90.00,270.00
98,37,22,5,377.08,1885.40
99,38,26,3,94.40,283.20
100,38,30,3,420.00,1260.00
101,39,28,3,199.12,597.36
102,40,2,5,72.00,360.00
103,40,10,5,336.00,1680.00
104,40,12,1,480.00,480.00
105,40,5,6,153.00,918.00
106,41,1,3,45.00,135.00
107,41,28,4,199.12,796.48
108,41,16,6,902.00,5412.00
109,42,17,2,1076.00,2152.00
110,42,16,6,902.00,5412.00
111,43,1,5,45.00,225.00
112,43,2,2,72.00,144.00
113,44,8,1,192.00,192.00
114,44,11,6,408.00,2448.00
115,45,5,5,153.00,765.00
116,45,24,2,980.00,1960.00
117,45,6,6,180.00,1080.00
118,45,1,4,45.00,180.00
119,46,28,2,199.12,398.24
120,46,16,3,902.00,2706.00
121,46,20,3,145.09,435.27
122,46,8,2,192.00,384.00
123,47,8,4,192.00,768.00
124,47,4,1,126.00,126.00
125,47,17,1,1076.00,1076.00
126,48,29,5,289.19,1445.95
127,49,24,4,980.00,3920.00
128,49,21,2,233.90,467.80
129,49,12,4,480.00,1920.00
130,50,5,1,153.00,153.00
131,50,17,3,1076.00,3228.00
132,50,3,1,99.00,99.00
133,51,15,6,728.00,4368.00
134,51,21,1,233.90,233.90
135,51,29,6,289.19,1735.14
136,51,9,6,264.00,1584.00
137,52,11,6,408.00,2448.00
138,52,20,5,145.09,725.45
139,52,18,1,1250.00,1250.00
140,52,20,3,145.09,435.27
141,53,29,2,289.19,578.38
142,53,1,4,45.00,180.00
143,53,16,5,902.00,4510.00
144,53,14,3,554.00,1662.00
145,54,9,6,264.00,1584.00
146,54,23,6,607.90,3647.40
147,54,4,2,126.00,252.00
148,54,4,3,126.00,378.00
149,55,8,6,192.00,1152.00
150,55,23,5,607.90,3039.50
151,56,6,1,180.00,180.00
152,56,27,2,137.10,274.20
153,56,12,6,480.00,2880.00
154,56,2,3,72.00,216.00
155,57,25,2,65.00,130.00
156,57,30,6,420.00,2520.00
157,57,18,3,1250.00,3750.00
158,57,27,2,137.10,274.20
159,58,19,5,90.00,450.00
160,58,7,2,120.00,240.00
161,59,27,1,137.10,137.10
162,59,27,1,137.10,137.10
163,60,7,6,120.00,720.00
164,60,18,6,1250.00,7500.00
165,60,29,4,289.19,1156.76
166,60,1,6,45.00,270.00
167,61,29,3,289.19,867.57
168,61,8,1,192.00,192.00
169,61,15,6,728.00,4368.00
170,62,2,6,72.00,432.00
171,63,17,6,1076.00,6456.00
