id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Regular,Los Olivos,2026-03-06
2,E0002,Entidad 002,Preferente,Surco,2026-01-09
3,E0003,Entidad 003,Preferente,Lince,2026-02-22
4,E0004,Entidad 004,Preferente,Miraflores,2026-04-05
5,E0005,Entidad 005,Preferente,Ate,2026-02-24
6,E0006,Entidad 006,Regular,Lince,2026-04-11
7,E0007,Entidad 007,Preferente,San Miguel,2026-04-02
8,E0008,Entidad 008,Regular,Callao,2026-02-26
9,E0009,Entidad 009,Corporativo,Los Olivos,2026-03-22
10,E0010,Entidad 010,Corporativo,Comas,2026-03-04
11,E0011,Entidad 011,Nuevo,Comas,2026-02-07
12,E0012,Entidad 012,Regular,Comas,2026-01-20
13,E0013,Entidad 013,Corporativo,Lince,2026-03-20
14,E0014,Entidad 014,Regular,Surco,2026-03-12
15,E0015,Entidad 015,Regular,Miraflores,2026-03-23
16,E0016,Entidad 016,Corporativo,Surco,2026-03-08
17,E0017,Entidad 017,Regular,Comas,2026-02-24
18,E0018,Entidad 018,Regular,Lince,2026-03-11
19,E0019,Entidad 019,Nuevo,Los Olivos,2026-03-19
20,E0020,Entidad 020,Regular,Ate,2026-04-02
21,E0021,Entidad 021,Regular,Callao,2026-04-05
22,E0022,Entidad 022,Preferente,Surco,2026-03-30
23,E0023,Entidad 023,Nuevo,Callao,2026-02-02
24,E0024,Entidad 024,Corporativo,Surco,2026-02-21
25,E0025,Entidad 025,Nuevo,Callao,2026-01-06
26,E0026,Entidad 026,Nuevo,Lince,2026-03-09
27,E0027,Entidad 027,Preferente,Miraflores,2026-04-13
28,E0028,Entidad 028,Nuevo,Callao,2026-03-29
29,E0029,Entidad 029,Nuevo,Ate,2026-01-18
30,E0030,Entidad 030,Preferente,Comas,2026-03-31
31,E0031,Entidad 031,Regular,Lince,2026-01-22
32,E0032,Entidad 032,Corporativo,Miraflores,2026-04-17
33,E0033,Entidad 033,Regular,Lince,2026-02-08
34,E0034,Entidad 034,Corporativo,San Miguel,2026-01-29
35,E0035,Entidad 035,Preferente,Los Olivos,2026-03-10
36,E0036,Entidad 036,Regular,Miraflores,2026-04-02
37,E0037,Entidad 037,Corporativo,Ate,2026-02-07
38,E0038,Entidad 038,Corporativo,Lince,2026-02-27
39,E0039,Entidad 039,Corporativo,San Miguel,2026-01-05
40,E0040,Entidad 040,Preferente,Los Olivos,2026-04-11
41,E0041,Entidad 041,Nuevo,Ate,2026-02-14
42,E0042,Entidad 042,Regular,Los Olivos,2026-02-28
43,E0043,Entidad 043,Preferente,Miraflores,2026-01-13
44,E0044,Entidad 044,Nuevo,Miraflores,2026-01-17
45,E0045,Entidad 045,Nuevo,Lince,2026-03-17
46,E0046,Entidad 046,Regular,Ate,2026-04-04
47,E0047,Entidad 047,Nuevo,Ate,2026-02-04
48,E0048,Entidad 048,Preferente,Comas,2026-01-08
49,E0049,Entidad 049,Preferente,Callao,2026-02-01
50,E0050,Entidad 050,Preferente,Los Olivos,2026-03-24
51,E0051,Entidad 051,Corporativo,Callao,2026-02-07
52,E0052,Entidad 052,Preferente,Miraflores,2026-04-14
53,E0053,Entidad 053,Nuevo,Callao,2026-04-08
54,E0054,Entidad 054,Preferente,Los Olivos,2026-02-12
55,E0055,Entidad 055,Preferente,Miraflores,2026-02-14
56,E0056,Entidad 056,Corporativo,San Miguel,2026-03-26
57,E0057,Entidad 057,Nuevo,San Miguel,2026-03-25
58,E0058,Entidad 058,Preferente,Los Olivos,2026-04-20
59,E0059,Entidad 059,Corporativo,Lince,2026-03-02
60,E0060,Entidad 060,Preferente,Callao,2026-01-11
61,E0061,Entidad 061,Preferente,San Miguel,2026-02-26
62,E0062,Entidad 062,Preferente,Callao,2026-04-14
63,E0063,Entidad 063,Regular,Lince,2026-01-16
64,E0064,Entidad 064,Corporativo,Los Olivos,2026-02-05
65,E0065,Entidad 065,Corporativo,Callao,2026-02-18
66,E0066,Entidad 066,Nuevo,Los Olivos,2026-04-06
67,E0067,Entidad 067,Corporativo,Ate,2026-03-02
68,E0068,Entidad 068,Corporativo,Ate,2026-04-03
69,E0069,Entidad 069,Corporativo,San Miguel,2026-02-14
70,E0070,Entidad 070,Regular,Los Olivos,2026-01-24
71,E0071,Entidad 071,Nuevo,Lince,2026-01-20
72,E0072,Entidad 072,Preferente,Lince,2026-04-01
73,E0073,Entidad 073,Regular,Ate,2026-01-07
74,E0074,Entidad 074,Regular,Lince,2026-02-17
75,E0075,Entidad 075,Preferente,Ate,2026-01-21
76,E0076,Entidad 076,Nuevo,Los Olivos,2026-02-14
77,E0077,Entidad 077,Nuevo,San Miguel,2026-01-08
78,E0078,Entidad 078,Regular,Ate,2026-04-17
79,E0079,Entidad 079,Preferente,Miraflores,2026-03-20
80,E0080,Entidad 080,Preferente,Los Olivos,2026-02-22
