id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-04-26,Débito automático,3295.20,Pagado
2,PG00002,2,2026-01-01,Tarjeta,2552.00,Pagado
3,PG00003,3,2026-06-25,Transferencia,3035.60,Pagado
4,PG00004,4,2026-04-19,Agente autorizado,0.0,Anulado
5,PG00005,5,2026-02-17,Débito automático,5000.00,Pagado
6,PG00006,6,2026-03-25,Tarjeta,2355.04,Parcial
7,PG00007,7,2026-01-11,Transferencia,0.0,Anulado
8,PG00008,8,2026-06-24,Agente autorizado,188.80,Pagado
9,PG00009,9,2026-01-06,Débito automático,1115.00,Pagado
10,PG00010,10,2026-02-19,Tarjeta,5988.00,Pagado
11,PG00011,11,,Transferencia,1556.48,Pagado
12,PG00012,12,,Agente autorizado,41.51,Parcial
13,PG00013,13,2026-02-25,Débito automático,60.51,Parcial
14,PG00014,14,2026-01-05,Tarjeta,3072.00,Pagado
15,PG00015,15,2026-06-10,Transferencia,5005.00,Pagado
16,PG00016,16,2026-06-09,Agente autorizado,1440.00,Pagado
17,PG00017,17,,Débito automático,4782.72,Pagado
18,PG00018,18,2026-05-12,Tarjeta,8660.00,Pagado
19,PG00019,19,2026-06-02,Transferencia,2788.50,Pagado
20,PG00020,20,2026-01-04,Agente autorizado,0.0,Anulado
21,PG00021,21,2026-06-11,Débito automático,1786.98,pagado
22,PG00022,22,2026-02-07,Tarjeta,3311.60,Pagado
23,PG00023,23,2026-06-08,Transferencia,1286.31,Parcial
24,PG00024,24,2026-03-06,Agente autorizado,1080.00,Pagado
25,PG00025,25,2026-05-10,Débito automático,1610.17,Pagado
26,PG00026,26,2026-03-06,Tarjeta,2099.10,Pagado
27,PG00027,27,2026-06-17,Transferencia,0.0,Anulado
28,PG00028,28,2026-02-10,Agente autorizado,5859.50,Pagado
29,PG00029,29,2026-04-28,Débito automático,1495.10,Pagado
30,PG00030,30,2026-01-07,Tarjeta,0.0,Anulado
31,PG00031,31,2026-06-26,Transferencia,4486.00,Pagado
32,PG00032,32,2026-02-11,Agente autorizado,4464.00,Pagado
33,PG00033,33,2026-04-26,Débito automático,1515.88,Pagado
34,PG00034,34,2026-04-20,Tarjeta,1416.00,Pagado
35,PG00035,35,2026-04-14,Transferencia,1680.00,Pagado
36,PG00036,36,2026-01-14,Agente autorizado,844.62,Parcial
37,PG00037,37,2026-04-23,Débito automático,3810.06,Parcial
38,PG00038,38,2026-06-03,Tarjeta,1543.20,Pagado
39,PG00039,39,2026-04-13,Transferencia,597.36,Pagado
40,PG00040,40,2026-06-02,Agente autorizado,3438.00,Pagado
41,PG00041,41,2026-01-13,Débito automático,6343.48,Pagado
42,PG00042,42,2026-06-08,Tarjeta,7564.00,Pagado
43,PG00043,43,2026-04-12,Transferencia,369.00,Pagado
44,PG00044,44,2026-01-20,Agente autorizado,2640.00,Pagado
45,PG00045,45,2026-06-10,Débito automático,3216.15,Parcial
46,PG00046,46,2026-02-13,Tarjeta,3923.51,Pagado
47,PG00047,47,2026-01-20,Transferencia,0.0,Anulado
48,PG00048,48,2026-03-12,Agente autorizado,1445.95,Pagado
49,PG00049,49,2026-02-16,Débito automático,6307.80,Pagado
50,PG00050,50,2026-03-04,Tarjeta,3480.00,Pagado
51,PG00051,51,2026-05-17,Transferencia,7921.04,Pagado
52,PG00052,52,2026-03-17,Agente autorizado,4858.72,Pagado
53,PG00053,53,2026-04-17,Débito automático,6930.38,Pagado
54,PG00054,54,2026-01-25,Tarjeta,5861.40,Pagado
55,PG00055,55,2026-06-03,Transferencia,4191.50,Pagado
56,PG00056,56,2026-03-24,Agente autorizado,0.0,Anulado
57,PG00057,57,2026-01-14,Débito automático,6674.20,Pagado
58,PG00058,58,2026-03-17,Tarjeta,690.00,Pagado
59,PG00059,59,2026-03-16,Transferencia,274.20,Pagado
60,PG00060,60,2026-05-28,Agente autorizado,3966.84,Parcial
61,PG00061,61,2026-03-14,Débito automático,5427.57,Pagado
62,PG00062,62,2026-02-03,Tarjeta,432.00,Pagado
63,PG00063,63,2026-05-11,Transferencia,3900.94,Parcial
64,PG00064,64,2026-05-20,Agente autorizado,2720.38,Pagado
65,PG00065,65,2026-03-11,Débito automático,3446.40,Pagado
66,PG00066,66,2026-03-22,Tarjeta,328.30,Pagado
67,PG00067,67,2026-03-04,Transferencia,2775.00,Pagado
68,PG00068,68,2026-03-04,Agente autorizado,859.0,Parcial
69,PG00069,69,2026-05-24,Débito automático,2157.56,Pagado
70,PG00070,70,2026-03-05,Tarjeta,2660.54,Pagado
71,PG00071,71,2026-02-27,Transferencia,1446.19,Parcial
72,PG00072,72,2026-04-14,Agente autorizado,6765.36,Pagado
73,PG00073,73,2026-01-10,Débito automático,1967.40,Pagado
74,PG00074,74,2026-01-23,Tarjeta,3030.00,Pagado
75,PG00075,75,2026-02-01,Transferencia,3435.62,Pagado
76,PG00076,76,2026-06-05,Agente autorizado,1676.36,Pagado
77,PG00077,77,2026-06-01,Débito automático,8670.16,Pagado
78,PG00078,78,2026-05-28,Tarjeta,7401.70,Pagado
79,PG00079,79,2026-04-21,Transferencia,2152.00,Pagado
80,PG00080,80,2026-06-15,Agente autorizado,0.0,Anulado
81,PG00081,81,2026-03-13,Débito automático,2772.00,Pagado
82,PG00082,82,2026-06-09,Tarjeta,3189.57,Pagado
83,PG00083,83,2026-04-22,Transferencia,790.53,Parcial
84,PG00084,84,2026-02-11,Agente autorizado,0.0,Anulado
85,PG00085,85,2026-02-05,Débito automático,0.0,Anulado
86,PG00086,86,2026-06-01,Tarjeta,0.0,Anulado
87,PG00087,87,2026-06-22,Transferencia,472.00,Pagado
88,PG00088,88,2026-02-01,Agente autorizado,2490.36,Pagado
89,PG00089,89,2026-02-21,Débito automático,5641.16,Pagado
90,PG00090,90,2026-02-12,Tarjeta,840.00,Pagado
91,PG00091,91,2026-03-18,Transferencia,7925.60,Pagado
92,PG00092,92,2026-05-16,Agente autorizado,2204.95,Parcial
93,PG00093,93,2026-01-27,Débito automático,3816.00,Pagado
94,PG00094,94,2026-02-09,Tarjeta,1560.00,Pagado
95,PG00095,95,2026-05-11,Transferencia,2096.92,pagado
96,PG00096,96,2026-04-03,Agente autorizado,0.0,anulado
97,PG00097,97,2026-05-04,Débito automático,6349.00,Pagado
98,PG00098,98,2026-04-11,Tarjeta,765.00,Pagado
99,PG00099,99,2026-06-21,Transferencia,7500.00,Pagado
