id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,30,1,680.00,680.00
2,2,15,1,62.69,62.69
3,3,1,2,25.00,50.00
4,4,1,5,25.00,125.00
5,4,14,3,41.90,125.70
6,5,2,4,37.10,148.40
7,6,9,5,137.10,685.50
8,6,7,3,65.00,195.00
9,6,12,3,420.00,1260.00
10,7,29,1,458.72,458.72
11,7,1,5,25.00,125.00
12,7,28,5,309.45,1547.25
13,8,21,3,105.64,316.92
14,8,20,5,68.95,344.75
15,8,14,2,41.90,83.80
16,9,11,1,289.19,289.19
17,9,2,6,37.10,222.60
18,10,19,1,45.00,45.00
19,10,23,6,248.01,1488.06
20,10,3,6,55.06,330.36
21,10,27,4,208.76,835.04
22,11,3,1,55.06,55.06
23,11,14,5,41.90,209.50
24,11,21,2,105.64,211.28
25,12,9,5,137.10,685.50
26,12,4,6,81.72,490.32
27,12,26,4,140.83,563.32
28,13,15,2,62.69,125.38
29,13,15,6,62.69,376.14
30,13,10,5,199.12,995.60
31,14,15,5,62.69,313.45
32,14,6,6,180.00,1080.00
33,15,15,1,62.69,62.69
34,15,28,5,309.45,1547.25
35,15,22,3,161.87,485.61
36,16,25,3,95.00,285.00
37,16,11,6,289.19,1735.14
38,16,14,2,41.90,83.80
39,17,22,3,161.87,485.61
40,17,28,6,309.45,1856.70
41,17,17,4,140.35,561.40
42,17,17,1,140.35,140.35
43,18,11,5,289.19,1445.95
44,18,11,4,289.19,1156.76
45,19,24,1,380.00,380.00
46,20,4,3,81.72,245.16
47,20,20,4,68.95,275.80
48,20,27,4,208.76,835.04
49,20,9,1,137.10,137.10
50,21,11,2,289.19,578.38
51,21,3,5,55.06,275.30
52,21,19,2,45.00,90.00
53,21,27,3,208.76,626.28
54,22,16,3,93.80,281.40
55,22,16,3,93.80,281.40
56,22,21,1,105.64,105.64
57,23,15,3,62.69,188.07
58,23,18,5,210.00,1050.00
59,24,30,6,680.00,4080.00
60,24,27,2,208.76,417.52
61,25,11,1,289.19,289.19
62,25,8,3,94.40,283.20
63,26,7,4,65.00,260.00
64,26,17,3,140.35,421.05
65,26,20,2,68.95,137.90
66,26,10,3,199.12,597.36
67,27,17,6,140.35,842.10
68,28,16,1,93.80,93.80
69,28,25,1,95.00,95.00
70,28,15,3,62.69,188.07
71,29,13,6,28.00,168.00
72,29,6,3,180.00,540.00
73,29,4,6,81.72,490.32
74,29,26,3,140.83,422.49
75,30,5,4,121.28,485.12
76,30,1,5,25.00,125.00
77,31,9,5,137.10,685.50
78,31,12,2,420.00,840.00
79,31,12,2,420.00,840.00
80,31,2,5,37.10,185.50
81,32,6,6,180.00,1080.00
82,32,6,4,180.00,720.00
83,32,18,2,210.00,420.00
84,33,20,6,68.95,413.70
85,34,18,6,210.00,1260.00
86,34,26,1,140.83,140.83
87,34,16,1,93.80,93.80
88,35,14,3,41.90,125.70
89,35,9,4,137.10,548.40
90,35,1,3,25.00,75.00
91,36,9,5,137.10,685.50
92,36,25,1,95.00,95.00
93,36,2,5,37.10,185.50
94,37,8,3,94.40,283.20
95,37,25,5,95.00,475.00
96,37,21,5,105.64,528.20
97,38,16,3,93.80,281.40
98,39,13,1,28.00,28.00
99,39,29,5,458.72,2293.60
100,39,13,6,28.00,168.00
101,40,3,1,55.06,55.06
102,40,4,1,81.72,81.72
103,40,12,1,420.00,420.00
104,41,5,2,121.28,242.56
105,41,5,1,121.28,121.28
106,42,20,6,68.95,413.70
107,42,3,1,55.06,55.06
108,43,7,2,65.00,130.00
109,43,22,3,161.87,485.61
110,43,21,1,105.64,105.64
111,44,14,6,41.90,251.40
112,45,10,6,199.12,1194.72
113,45,21,5,105.64,528.20
114,46,30,3,680.00,2040.00
115,46,29,5,458.72,2293.60
116,46,8,2,94.40,188.80
117,46,26,6,140.83,844.98
118,47,17,5,140.35,701.75
119,47,19,1,45.00,45.00
120,47,8,4,94.40,377.60
121,47,1,1,25.00,25.00
122,48,13,4,28.00,112.00
123,48,22,2,161.87,323.74
124,48,16,5,93.80,469.00
125,49,12,4,420.00,1680.00
126,49,30,3,680.00,2040.00
127,49,28,5,309.45,1547.25
128,49,19,4,45.00,180.00
129,50,23,5,248.01,1240.05
130,50,16,6,93.80,562.80
131,51,6,3,180.00,540.00
132,51,20,4,68.95,275.80
133,51,27,2,208.76,417.52
134,52,16,1,93.80,93.80
135,52,25,2,95.00,190.00
136,52,10,2,199.12,398.24
137,53,20,1,68.95,68.95
138,53,7,4,65.00,260.00
139,53,6,4,180.00,720.00
140,54,27,6,208.76,1252.56
