id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Corporativo,Lince,2026-01-20
2,E0002,Entidad 002,Preferente,Surco,2026-02-13
3,E0003,Entidad 003,Nuevo,Ate,2026-03-14
4,E0004,Entidad 004,Regular,Los Olivos,2026-04-05
5,E0005,Entidad 005,Nuevo,Lince,2026-02-14
6,E0006,Entidad 006,Preferente,San Miguel,2026-02-11
7,E0007,Entidad 007,Regular,Callao,2026-02-21
8,E0008,Entidad 008,Preferente,Surco,2026-04-04
9,E0009,Entidad 009,Nuevo,Callao,2026-02-02
10,E0010,Entidad 010,Corporativo,San Miguel,2026-03-03
11,E0011,Entidad 011,Corporativo,San Miguel,2026-03-09
12,E0012,Entidad 012,Nuevo,Miraflores,2026-01-04
13,E0013,Entidad 013,Preferente,Miraflores,2026-02-11
14,E0014,Entidad 014,Regular,San Miguel,2026-04-16
15,E0015,Entidad 015,Corporativo,Miraflores,2026-01-23
16,E0016,Entidad 016,Regular,Comas,2026-04-16
17,E0017,Entidad 017,Corporativo,Los Olivos,2026-01-14
18,E0018,Entidad 018,Nuevo,Surco,2026-02-06
19,E0019,Entidad 019,Preferente,Los Olivos,2026-04-21
20,E0020,Entidad 020,Preferente,Comas,2026-03-30
21,E0021,Entidad 021,Corporativo,Comas,2026-02-04
22,E0022,Entidad 022,Corporativo,Callao,2026-03-22
23,E0023,Entidad 023,Corporativo,Ate,2026-04-14
24,E0024,Entidad 024,Corporativo,Los Olivos,2026-02-25
25,E0025,Entidad 025,Nuevo,Ate,2026-02-04
26,E0026,Entidad 026,Nuevo,Miraflores,2026-02-26
27,E0027,Entidad 027,Corporativo,Surco,2026-03-21
28,E0028,Entidad 028,Corporativo,Comas,2026-01-08
29,E0029,Entidad 029,Regular,Callao,2026-02-22
30,E0030,Entidad 030,Preferente,Los Olivos,2026-04-04
31,E0031,Entidad 031,Nuevo,Ate,2026-01-11
32,E0032,Entidad 032,Corporativo,San Miguel,2026-01-05
33,E0033,Entidad 033,Corporativo,Miraflores,2026-01-03
34,E0034,Entidad 034,Regular,Surco,2026-01-18
35,E0035,Entidad 035,Preferente,Miraflores,2026-01-20
36,E0036,Entidad 036,Corporativo,Ate,2026-02-27
37,E0037,Entidad 037,Regular,San Miguel,2026-02-08
38,E0038,Entidad 038,Regular,Comas,2026-02-07
39,E0039,Entidad 039,Nuevo,Comas,2026-01-24
40,E0040,Entidad 040,Regular,Surco,2026-03-18
41,E0041,Entidad 041,Corporativo,Comas,2026-01-14
42,E0042,Entidad 042,Preferente,Comas,2026-03-02
43,E0043,Entidad 043,Regular,Los Olivos,2026-04-05
44,E0044,Entidad 044,Regular,Miraflores,2026-01-14
45,E0045,Entidad 045,Corporativo,Miraflores,2026-01-24
46,E0046,Entidad 046,Nuevo,Surco,2026-03-19
47,E0047,Entidad 047,Nuevo,Miraflores,2026-03-27
48,E0048,Entidad 048,Nuevo,Miraflores,2026-04-19
49,E0049,Entidad 049,Corporativo,Los Olivos,2026-03-05
50,E0050,Entidad 050,Preferente,Surco,2026-03-20
51,E0051,Entidad 051,Nuevo,Lince,2026-01-08
52,E0052,Entidad 052,Corporativo,Lince,2026-02-06
53,E0053,Entidad 053,Preferente,Callao,2026-03-05
54,E0054,Entidad 054,Regular,Callao,2026-01-28
55,E0055,Entidad 055,Preferente,Lince,2026-02-18
56,E0056,Entidad 056,Preferente,Miraflores,2026-04-16
57,E0057,Entidad 057,Nuevo,Lince,2026-02-06
58,E0058,Entidad 058,Preferente,Comas,2026-04-08
59,E0059,Entidad 059,Corporativo,Miraflores,2026-01-20
60,E0060,Entidad 060,Regular,Callao,2026-04-06
61,E0061,Entidad 061,Corporativo,Comas,2026-03-30
62,E0062,Entidad 062,Preferente,Ate,2026-03-21
63,E0063,Entidad 063,Nuevo,Lince,2026-01-04
64,E0064,Entidad 064,Corporativo,Miraflores,2026-04-16
65,E0065,Entidad 065,Preferente,Surco,2026-02-24
66,E0066,Entidad 066,Corporativo,Ate,2026-01-20
67,E0067,Entidad 067,Corporativo,Ate,2026-02-22
68,E0068,Entidad 068,Corporativo,Lince,2026-03-14
69,E0069,Entidad 069,Corporativo,Lince,2026-04-20
70,E0070,Entidad 070,Nuevo,Ate,2026-03-18
71,E0071,Entidad 071,Regular,Callao,2026-02-20
72,E0072,Entidad 072,Preferente,Lince,2026-04-13
73,E0073,Entidad 073,Regular,Comas,2026-04-06
74,E0074,Entidad 074,Regular,Los Olivos,2026-04-10
75,E0075,Entidad 075,Nuevo,Lince,2026-04-13
76,E0076,Entidad 076,Nuevo,San Miguel,2026-03-29
77,E0077,Entidad 077,Preferente,Callao,2026-02-17
78,E0078,Entidad 078,Corporativo,Miraflores,2026-03-08
79,E0079,Entidad 079,Regular,Surco,2026-01-31
80,E0080,Entidad 080,Corporativo,Comas,2026-01-09
