id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-02-23,Yape/Plin,141.5,Pagado
2,PG00002,2,2026-02-13,Yape/Plin,1362.23,Pagado
3,PG00003,3,2026-05-16,Yape/Plin,636.3,Pagado
4,PG00004,4,2026-01-31,Tarjeta,228.43,Pagado
5,PG00005,5,2026-02-14,Efectivo,0,Anulado
6,PG00006,6,2026-02-21,Tarjeta,307.71,Pagado
7,PG00007,7,2026-02-26,Yape/Plin,474.94,Pagado
8,PG00008,8,2026-01-13,Tarjeta,760.99,Pagado
9,PG00009,9,2026-02-26,Tarjeta,390.52,Pagado
10,PG00010,10,2026-03-02,Yape/Plin,1921.5,Pagado
11,PG00011,11,2026-03-13,Efectivo,634.39,Pagado
12,PG00012,12,2026-01-20,Tarjeta,2213.72,Pagado
13,PG00013,13,2026-03-20,Tarjeta,397.2,Pagado
14,PG00014,14,2026-03-09,Transferencia,123.52,Pagado
15,PG00015,15,2026-06-16,Yape/Plin,537.69,Pagado
16,PG00016,16,2026-03-05,Tarjeta,746.22,Pagado
17,PG00017,17,2026-05-14,Yape/Plin,331.24,Pagado
18,PG00018,18,2026-06-12,Yape/Plin,174.1,Pagado
19,PG00019,19,2026-01-21,Transferencia,808.78,Pagado
20,PG00020,20,2026-03-31,Yape/Plin,2129.73,Pagado
21,PG00021,21,2026-06-21,Yape/Plin,772.59,Pagado
22,PG00022,22,2026-02-20,Tarjeta,290.96,Pagado
23,PG00023,23,2026-02-16,Yape/Plin,126.22,Pagado
24,PG00024,24,2026-03-13,Tarjeta,513.92,Pagado
25,PG00025,25,2026-05-30,Efectivo,384.46,Pagado
26,PG00026,26,2026-03-06,Transferencia,537.39,Pagado
27,PG00027,27,2026-05-25,Transferencia,303.36,Pagado
28,PG00028,28,2026-05-31,Transferencia,2298.42,Pagado
29,PG00029,29,2026-04-04,Tarjeta,1186.83,Pagado
30,PG00030,30,2026-01-11,Yape/Plin,923.25,Pagado
31,PG00031,31,2026-05-08,Tarjeta,260.61,Pagado
32,PG00032,32,2026-06-29,Yape/Plin,429.56,Pagado
33,PG00033,33,2026-04-04,Yape/Plin,2205.17,Pagado
34,PG00034,34,2026-02-27,Yape/Plin,187.66,Pagado
35,PG00035,35,2026-05-09,Transferencia,45.32,Pagado
36,PG00036,36,2026-01-27,Efectivo,963.71,Pagado
37,PG00037,37,2026-03-09,Efectivo,169.38,Pagado
38,PG00038,38,2026-06-26,Transferencia,981.05,Pagado
39,PG00039,39,2026-02-08,Transferencia,294.48,Pagado
40,PG00040,40,2026-03-16,Yape/Plin,1960.27,Pagado
41,PG00041,41,2026-04-07,Tarjeta,1409.49,Pagado
42,PG00042,42,2026-03-12,Transferencia,615.11,Pagado
43,PG00043,43,2026-03-23,Transferencia,2124.18,Pagado
44,PG00044,44,2026-02-25,Transferencia,1070.06,Pagado
45,PG00045,45,2026-05-01,Transferencia,1249.8,Pagado
46,PG00046,46,2026-02-19,Yape/Plin,304.71,Pagado
47,PG00047,47,2026-02-20,Transferencia,1233.9,Pagado
48,PG00048,48,2026-04-21,Yape/Plin,2304.36,Pagado
49,PG00049,49,2026-06-18,Transferencia,240.6,Pagado
50,PG00050,50,2026-01-03,Tarjeta,719.14,Pagado
51,PG00051,51,2026-02-17,Yape/Plin,1154.24,Pagado
52,PG00052,52,2026-04-02,Transferencia,1086.75,Pagado
53,PG00053,53,2026-04-30,Tarjeta,1842.2,Pagado
54,PG00054,54,2026-03-26,Transferencia,1709.59,Pagado
55,PG00055,55,2026-01-11,Tarjeta,1472.89,Pagado
56,PG00056,56,2026-05-11,Yape/Plin,0,Anulado
57,PG00057,57,2026-01-19,Yape/Plin,325.81,Pagado
58,PG00058,58,2026-03-29,Yape/Plin,192.79,Pagado
59,PG00059,59,2026-05-29,Efectivo,260.96,Pagado
60,PG00060,60,2026-04-24,Tarjeta,141.29,Pagado
61,PG00061,61,2026-06-05,Efectivo,1584.04,Pagado
62,PG00062,62,2026-05-01,Transferencia,689.58,Pagado
63,PG00063,63,2026-02-03,Transferencia,351.83,Pagado
64,PG00064,64,2026-06-19,Transferencia,124.29,Pagado
65,PG00065,65,2026-05-17,Yape/Plin,344.06,Pagado
66,PG00066,66,2026-02-10,Efectivo,1092.96,Pagado
67,PG00067,67,2026-03-08,Yape/Plin,1968.41,Pagado
68,PG00068,68,2026-02-11,Transferencia,691.97,Pagado
69,PG00069,69,2026-06-23,Transferencia,59.06,Pagado
70,PG00070,70,2026-03-03,Efectivo,159.48,Pagado
71,PG00071,71,2026-06-10,Yape/Plin,2571.55,Pagado
72,PG00072,72,2026-05-19,Efectivo,1201.04,Pagado
73,PG00073,73,2026-04-29,Yape/Plin,1182.09,Pagado
74,PG00074,74,2026-04-18,Transferencia,372.52,Pagado
75,PG00075,75,2026-05-02,Tarjeta,588.72,Pagado
76,PG00076,76,2026-04-29,Yape/Plin,197.61,Pagado
77,PG00077,77,2026-02-01,Yape/Plin,351.25,Pagado
78,PG00078,78,2026-05-23,Efectivo,403.24,Pagado
79,PG00079,79,2026-04-30,Efectivo,241.55,Pagado
80,PG00080,80,2026-05-30,Yape/Plin,317.31,Pagado
81,PG00081,81,2026-04-08,Yape/Plin,393.87,Pagado
82,PG00082,82,2026-01-27,Efectivo,962.3,Pagado
83,PG00083,83,2026-01-18,Transferencia,925.05,Pagado
84,PG00084,84,2026-04-13,Transferencia,199.85,Pagado
85,PG00085,85,2026-05-04,Transferencia,0,Anulado
86,PG00086,86,2026-03-06,Efectivo,471.15,Pagado
87,PG00087,87,2026-03-06,Transferencia,540.43,Pagado
88,PG00088,88,2026-03-20,Efectivo,0,Anulado
89,PG00089,89,2026-01-05,Efectivo,647.25,Pagado
90,PG00090,90,2026-06-26,Tarjeta,586.77,Pagado
91,PG00091,91,2026-04-05,Transferencia,338.45,Pagado
92,PG00092,92,2026-03-22,Yape/Plin,1321.53,Pagado
93,PG00093,93,2026-04-01,Efectivo,133.3,Pagado
94,PG00094,94,2026-02-23,Transferencia,344.06,Pagado
95,PG00095,95,2026-03-07,Tarjeta,735.14,Pagado
96,PG00096,96,2026-04-16,Yape/Plin,0,Anulado
97,PG00097,97,2026-04-16,Tarjeta,94.97,Pagado
98,PG00098,98,2026-03-14,Yape/Plin,1199.67,Pagado
99,PG00099,99,2026-01-22,Transferencia,279.99,Pagado
100,PG00100,100,2026-06-03,Efectivo,1126.1,Pagado
101,PG00101,101,2026-06-10,Tarjeta,560.53,Pagado
102,PG00102,102,2026-05-31,Tarjeta,620.08,Pagado
103,PG00103,103,2026-04-28,Transferencia,724.35,Pagado
104,PG00104,104,2026-04-11,Transferencia,1585.15,Pagado
105,PG00105,105,2026-04-25,Tarjeta,999.0,Pagado
106,PG00106,106,2026-05-29,Tarjeta,0,Anulado
107,PG00107,107,2026-02-03,Efectivo,1229.65,Pagado
108,PG00108,108,2026-04-10,Tarjeta,1150.29,Pagado
109,PG00109,109,2026-02-17,Transferencia,0,Anulado
110,PG00110,110,2026-05-11,Yape/Plin,167.69,Pagado
111,PG00111,111,2026-01-02,Transferencia,1390.21,Pagado
112,PG00112,112,2026-04-13,Tarjeta,103.05,Pagado
113,PG00113,113,2026-04-12,Yape/Plin,0,Anulado
114,PG00114,114,2026-05-05,Tarjeta,1421.27,Pagado
115,PG00115,115,2026-06-12,Yape/Plin,425.26,Pagado
116,PG00116,116,2026-02-07,Efectivo,1185.99,Pagado
117,PG00117,117,2026-03-24,Yape/Plin,107.28,Pagado
118,PG00118,118,2026-01-21,Yape/Plin,379.7,Pagado
119,PG00119,119,2026-01-22,Tarjeta,469.73,Pagado
120,PG00120,120,2026-04-23,Tarjeta,359.52,Pagado
121,PG00121,121,2026-03-19,Yape/Plin,680.58,Pagado
122,PG00122,122,2026-06-24,Yape/Plin,633.82,Pagado
123,PG00123,123,2026-02-25,Efectivo,331.55,Pagado
124,PG00124,124,2026-01-02,Yape/Plin,171.32,Pagado
125,PG00125,125,2026-02-28,Transferencia,1559.17,Pagado
126,PG00126,126,2026-01-29,Transferencia,429.89,Pagado
127,PG00127,127,2026-04-19,Efectivo,110.95,Pagado
128,PG00128,128,2026-03-24,Yape/Plin,587.31,Pagado
129,PG00129,129,2026-03-30,Transferencia,1254.88,Pagado
130,PG00130,130,2026-06-11,Transferencia,2008.14,Pagado
131,PG00131,131,2026-06-27,Efectivo,270.61,Pagado
132,PG00132,132,2026-02-22,Efectivo,969.34,Pagado
133,PG00133,133,2026-04-20,Transferencia,0,Anulado
134,PG00134,134,2026-04-15,Tarjeta,1443.89,Pagado
135,PG00135,135,2026-06-10,Efectivo,86.65,Pagado
136,PG00136,136,2026-04-15,Transferencia,143.56,Pagado
137,PG00137,137,2026-02-02,Tarjeta,829.98,Pagado
138,PG00138,138,2026-03-04,Tarjeta,560.66,Pagado
139,PG00139,139,2026-01-16,Transferencia,278.89,Pagado
140,PG00140,140,2026-04-02,Transferencia,469.45,Pagado
141,PG00141,141,2026-02-04,Tarjeta,679.43,Pagado
142,PG00142,142,2026-05-10,Yape/Plin,402.18,Pagado
143,PG00143,143,2026-03-17,Efectivo,1654.88,Pagado
144,PG00144,144,2026-04-11,Transferencia,31.41,Pagado
145,PG00145,145,2026-04-01,Tarjeta,132.82,Pagado
146,PG00146,146,2026-03-02,Efectivo,567.83,Pagado
147,PG00147,147,2026-05-14,Tarjeta,1153.58,Pagado
148,PG00148,148,2026-01-09,Transferencia,1439.71,Pagado
149,PG00149,149,2026-04-29,Efectivo,1387.01,Pagado
150,PG00150,150,2026-06-30,Tarjeta,196.27,Pagado
151,PG00151,151,2026-02-09,Tarjeta,332.56,Pagado
152,PG00152,152,2026-04-12,Yape/Plin,519.19,Pagado
153,PG00153,153,2026-06-30,Yape/Plin,579.51,Pagado
154,PG00154,154,2026-06-18,Yape/Plin,1114.8,Pagado
155,PG00155,155,2026-04-12,Transferencia,1759.93,Pagado
156,PG00156,156,2026-06-22,Yape/Plin,496.53,Pagado
157,PG00157,157,2026-03-22,Tarjeta,0,Anulado
158,PG00158,158,2026-01-25,Yape/Plin,401.17,Pagado
159,PG00159,159,2026-06-12,Yape/Plin,254.46,Pagado
160,PG00160,160,2026-04-25,Transferencia,1509.11,Pagado
161,PG00161,161,2026-03-31,Efectivo,279.37,Pagado
162,PG00162,162,2026-06-07,Yape/Plin,802.65,Pagado
163,PG00163,163,2026-03-08,Tarjeta,459.07,Pagado
164,PG00164,164,2026-01-12,Transferencia,1114.39,Pagado
165,PG00165,165,2026-05-09,Efectivo,357.78,Pagado
166,PG00166,166,2026-05-20,Transferencia,2212.03,Pagado
167,PG00167,167,2026-01-16,Efectivo,1756.63,Pagado
168,PG00168,168,2026-03-30,Yape/Plin,323.13,Pagado
169,PG00169,169,2026-03-29,Efectivo,1303.87,Pagado
170,PG00170,170,2026-04-09,Efectivo,913.45,Pagado
171,PG00171,171,2026-06-20,Efectivo,581.75,Pagado
172,PG00172,172,2026-01-02,Yape/Plin,1091.89,Pagado
173,PG00173,173,2026-04-29,Yape/Plin,124.04,Pagado
174,PG00174,174,2026-04-14,Tarjeta,141.52,Pagado
175,PG00175,175,2026-01-27,Efectivo,764.88,Pagado
176,PG00176,176,2026-02-12,Transferencia,1587.87,Pagado
