id_producto,codigo_producto,nombre_producto,categoria,precio_base,activo
1,P0001,Servicio/Producto 01,Especializado,234.38,1
2,P0002,Servicio/Producto 02,Premium,226.18,1
3,P0003,Servicio/Producto 03,B?sico,316.17,1
4,P0004,Servicio/Producto 04,Especializado,130.36,1
5,P0005,Servicio/Producto 05,Especializado,355.52,1
6,P0006,Servicio/Producto 06,Premium,318.71,1
7,P0007,Servicio/Producto 07,Est?ndar,375.04,1
8,P0008,Servicio/Producto 08,B?sico,46.38,1
9,P0009,Servicio/Producto 09,Est?ndar,146.62,1
10,P0010,Servicio/Producto 10,Est?ndar,27.22,1
11,P0011,Servicio/Producto 11,B?sico,115.21,1
12,P0012,Servicio/Producto 12,Premium,219.18,1
13,P0013,Servicio/Producto 13,B?sico,126.25,1
14,P0014,Servicio/Producto 14,Especializado,324.44,1
15,P0015,Servicio/Producto 15,Especializado,264.43,1
