id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,9,5,20.90,104.50
2,1,29,5,12.70,63.50
3,1,7,4,12.90,51.60
4,1,10,3,24.90,74.70
5,2,12,5,32.90,164.50
6,2,6,5,24.90,124.50
7,2,26,6,6.10,36.60
8,3,3,6,15.90,95.40
9,4,27,2,8.30,16.60
10,4,30,6,14.90,89.40
11,4,14,6,25.10,150.60
12,4,3,2,15.90,31.80
13,5,27,6,8.30,49.80
14,6,22,2,10.30,20.60
15,6,24,2,13.90,27.80
16,6,25,2,3.90,7.80
17,6,6,4,24.90,99.60
18,7,12,5,32.90,164.50
19,7,15,5,31.30,156.50
20,8,17,6,43.70,262.20
21,8,10,6,24.90,149.40
22,9,21,4,8.50,34.00
23,9,20,5,6.70,33.50
24,9,18,4,49.90,199.60
25,9,9,1,20.90,20.90
26,10,9,5,20.90,104.50
27,10,4,1,18.90,18.90
28,11,18,2,49.90,99.80
29,12,17,5,43.70,218.50
30,13,30,4,14.90,59.60
31,13,26,4,6.10,24.40
32,14,26,6,6.10,36.60
33,15,12,6,32.90,197.40
34,16,18,6,49.90,299.40
35,16,8,4,16.90,67.60
36,16,15,6,31.30,187.80
37,16,9,2,20.90,41.80
38,17,7,2,12.90,25.80
39,17,5,6,21.90,131.40
40,17,28,5,10.50,52.50
41,17,4,3,18.90,56.70
42,18,22,6,10.30,61.80
43,19,18,1,49.90,49.90
44,20,15,1,31.30,31.30
45,20,21,2,8.50,17.00
46,21,17,3,43.70,131.10
47,22,1,4,9.90,39.60
48,23,16,3,37.50,112.50
49,23,14,2,25.10,50.20
50,23,16,5,37.50,187.50
51,23,16,2,37.50,75.00
52,24,6,5,24.90,124.50
53,24,21,6,8.50,51.00
54,24,12,1,32.90,32.90
55,25,13,5,18.90,94.50
56,26,1,4,9.90,39.60
57,26,16,4,37.50,150.00
58,27,8,4,16.90,67.60
59,27,21,6,8.50,51.00
60,28,7,6,12.90,77.40
61,28,1,5,9.90,49.50
62,28,20,6,6.70,40.20
63,28,1,4,9.90,39.60
64,29,1,5,9.90,49.50
65,30,23,5,12.10,60.50
66,30,18,3,49.90,149.70
67,30,26,6,6.10,36.60
68,31,14,4,25.10,100.40
69,31,3,6,15.90,95.40
70,31,6,6,24.90,149.40
71,31,1,6,9.90,59.40
72,32,3,6,15.90,95.40
73,33,7,2,12.90,25.80
74,34,23,6,12.10,72.60
75,34,13,5,18.90,94.50
76,34,15,4,31.30,125.20
77,35,9,3,20.90,62.70
78,35,15,5,31.30,156.50
79,35,16,1,37.50,37.50
80,36,26,5,6.10,30.50
81,37,13,5,18.90,94.50
82,38,17,1,43.70,43.70
83,38,17,4,43.70,174.80
84,38,16,2,37.50,75.00
85,38,30,1,14.90,14.90
86,39,29,4,12.70,50.80
87,39,9,3,20.90,62.70
88,39,24,3,13.90,41.70
89,40,10,4,24.90,99.60
90,41,2,3,12.90,38.70
91,41,27,3,8.30,24.90
92,42,26,1,6.10,6.10
93,42,14,4,25.10,100.40
94,42,16,6,37.50,225.00
95,42,25,1,3.90,3.90
