id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Corporativo,Comas,2026-01-05
2,E0002,Entidad 002,Preferente,Lince,2026-03-26
3,E0003,Entidad 003,Preferente,Los Olivos,2026-04-16
4,E0004,Entidad 004,Preferente,Los Olivos,2026-01-09
5,E0005,Entidad 005,Corporativo,Lince,2026-02-16
6,E0006,Entidad 006,Regular,Surco,2026-03-26
7,E0007,Entidad 007,Nuevo,Miraflores,2026-01-20
8,E0008,Entidad 008,Corporativo,Ate,2026-03-21
9,E0009,Entidad 009,Regular,San Miguel,2026-04-16
10,E0010,Entidad 010,Regular,Miraflores,2026-02-14
11,E0011,Entidad 011,Nuevo,Ate,2026-01-11
12,E0012,Entidad 012,Preferente,Miraflores,2026-01-24
13,E0013,Entidad 013,Preferente,Ate,2026-04-01
14,E0014,Entidad 014,Regular,Ate,2026-01-27
15,E0015,Entidad 015,Regular,Lince,2026-03-12
16,E0016,Entidad 016,Corporativo,Miraflores,2026-04-10
17,E0017,Entidad 017,Corporativo,Los Olivos,2026-02-21
18,E0018,Entidad 018,Nuevo,Comas,2026-03-29
19,E0019,Entidad 019,Regular,Comas,2026-01-08
20,E0020,Entidad 020,Nuevo,Ate,2026-02-17
21,E0021,Entidad 021,Preferente,Ate,2026-01-02
22,E0022,Entidad 022,Nuevo,San Miguel,2026-02-05
23,E0023,Entidad 023,Regular,Callao,2026-04-07
24,E0024,Entidad 024,Corporativo,San Miguel,2026-02-21
25,E0025,Entidad 025,Preferente,San Miguel,2026-03-14
26,E0026,Entidad 026,Preferente,San Miguel,2026-03-05
27,E0027,Entidad 027,Nuevo,San Miguel,2026-03-08
28,E0028,Entidad 028,Preferente,Surco,2026-01-05
29,E0029,Entidad 029,Regular,Los Olivos,2026-02-18
30,E0030,Entidad 030,Regular,San Miguel,2026-04-02
31,E0031,Entidad 031,Preferente,Lince,2026-01-20
32,E0032,Entidad 032,Preferente,Los Olivos,2026-02-07
33,E0033,Entidad 033,Regular,San Miguel,2026-01-12
34,E0034,Entidad 034,Preferente,Callao,2026-01-12
35,E0035,Entidad 035,Nuevo,Ate,2026-01-30
36,E0036,Entidad 036,Regular,Lince,2026-01-22
37,E0037,Entidad 037,Corporativo,Comas,2026-03-05
38,E0038,Entidad 038,Regular,Comas,2026-03-16
39,E0039,Entidad 039,Preferente,San Miguel,2026-01-07
40,E0040,Entidad 040,Preferente,Los Olivos,2026-02-24
41,E0041,Entidad 041,Nuevo,Comas,2026-01-26
42,E0042,Entidad 042,Corporativo,Comas,2026-03-24
43,E0043,Entidad 043,Preferente,Ate,2026-02-17
44,E0044,Entidad 044,Corporativo,Ate,2026-04-09
45,E0045,Entidad 045,Nuevo,Comas,2026-01-03
46,E0046,Entidad 046,Corporativo,Lince,2026-02-14
47,E0047,Entidad 047,Corporativo,Lince,2026-01-14
48,E0048,Entidad 048,Preferente,Ate,2026-03-17
49,E0049,Entidad 049,Corporativo,Comas,2026-04-02
50,E0050,Entidad 050,Regular,Lince,2026-02-01
51,E0051,Entidad 051,Preferente,Lince,2026-04-08
52,E0052,Entidad 052,Corporativo,Comas,2026-01-06
53,E0053,Entidad 053,Regular,Ate,2026-03-26
54,E0054,Entidad 054,Nuevo,Ate,2026-04-13
55,E0055,Entidad 055,Nuevo,Lince,2026-03-18
56,E0056,Entidad 056,Corporativo,Lince,2026-03-18
57,E0057,Entidad 057,Preferente,Miraflores,2026-01-30
58,E0058,Entidad 058,Corporativo,Los Olivos,2026-01-04
59,E0059,Entidad 059,Preferente,Miraflores,2026-02-24
60,E0060,Entidad 060,Corporativo,Lince,2026-03-07
61,E0061,Entidad 061,Corporativo,Miraflores,2026-03-07
62,E0062,Entidad 062,Nuevo,Callao,2026-04-19
63,E0063,Entidad 063,Preferente,Ate,2026-02-07
64,E0064,Entidad 064,Regular,Miraflores,2026-01-01
65,E0065,Entidad 065,Nuevo,Lince,2026-02-06
66,E0066,Entidad 066,Preferente,San Miguel,2026-01-29
67,E0067,Entidad 067,Corporativo,Ate,2026-02-13
68,E0068,Entidad 068,Regular,Los Olivos,2026-01-28
69,E0069,Entidad 069,Preferente,Miraflores,2026-02-23
70,E0070,Entidad 070,Regular,Comas,2026-01-15
71,E0071,Entidad 071,Preferente,Miraflores,2026-02-26
72,E0072,Entidad 072,Regular,Lince,2026-02-01
73,E0073,Entidad 073,Regular,Lince,2026-03-13
74,E0074,Entidad 074,Regular,Ate,2026-03-12
75,E0075,Entidad 075,Preferente,Surco,2026-03-12
76,E0076,Entidad 076,Nuevo,San Miguel,2026-03-20
77,E0077,Entidad 077,Nuevo,Surco,2026-04-08
78,E0078,Entidad 078,Preferente,Callao,2026-01-24
79,E0079,Entidad 079,Preferente,Los Olivos,2026-01-16
80,E0080,Entidad 080,Preferente,Comas,2026-03-19
