id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-01-06,Efectivo,0,Anulado
2,PG00002,2,2026-03-22,Tarjeta,1710.37,Pagado
3,PG00003,3,2026-02-15,Efectivo,30.67,Pagado
4,PG00004,4,2026-05-02,Efectivo,112.96,Pagado
5,PG00005,5,2026-01-27,Efectivo,2257.19,Pagado
6,PG00006,6,2026-05-11,Yape/Plin,95.39,Pagado
7,PG00007,7,2026-03-10,Efectivo,472.43,Pagado
8,PG00008,8,2026-03-10,Transferencia,1733.41,Pagado
9,PG00009,9,2026-01-18,Tarjeta,308.6,Pagado
10,PG00010,10,2026-05-15,Efectivo,423.34,Pagado
11,PG00011,11,2026-06-29,Tarjeta,29.46,Pagado
12,PG00012,12,2026-02-21,Efectivo,180.31,Pagado
13,PG00013,13,2026-03-04,Yape/Plin,266.65,Pagado
14,PG00014,14,2026-05-30,Efectivo,401.38,Pagado
15,PG00015,15,2026-04-24,Transferencia,94.41,Pagado
16,PG00016,16,2026-04-08,Efectivo,80.17,Pagado
17,PG00017,17,2026-02-14,Yape/Plin,137.73,Pagado
18,PG00018,18,2026-05-26,Tarjeta,181.84,Pagado
19,PG00019,19,2026-05-01,Tarjeta,169.71,Pagado
20,PG00020,20,2026-05-16,Tarjeta,77.47,Pagado
21,PG00021,21,2026-03-22,Tarjeta,184.06,Pagado
22,PG00022,22,2026-04-27,Yape/Plin,174.22,Pagado
23,PG00023,23,2026-03-12,Tarjeta,139.92,Pagado
24,PG00024,24,2026-03-30,Tarjeta,1709.68,Pagado
25,PG00025,25,2026-06-27,Efectivo,1113.73,Pagado
26,PG00026,26,2026-05-25,Tarjeta,204.83,Pagado
27,PG00027,27,2026-05-18,Efectivo,29.37,Pagado
28,PG00028,28,2026-03-05,Efectivo,273.37,Pagado
29,PG00029,29,2026-01-27,Yape/Plin,0,Anulado
30,PG00030,30,2026-03-28,Yape/Plin,299.34,Pagado
31,PG00031,31,2026-04-16,Efectivo,357.46,Pagado
32,PG00032,32,2026-01-18,Transferencia,724.17,Pagado
33,PG00033,33,2026-02-28,Tarjeta,1055.48,Pagado
34,PG00034,34,2026-05-25,Transferencia,150.98,Pagado
35,PG00035,35,2026-04-24,Yape/Plin,66.3,Pagado
36,PG00036,36,2026-05-10,Efectivo,638.63,Pagado
37,PG00037,37,2026-02-03,Tarjeta,0,Anulado
38,PG00038,38,2026-04-27,Transferencia,1941.1,Pagado
39,PG00039,39,2026-02-21,Tarjeta,676.44,Pagado
40,PG00040,40,2026-02-15,Transferencia,64.57,Pagado
41,PG00041,41,2026-04-23,Efectivo,314.66,Pagado
42,PG00042,42,2026-05-31,Yape/Plin,909.34,Pagado
43,PG00043,43,2026-03-25,Transferencia,2215.43,Pagado
44,PG00044,44,2026-05-26,Tarjeta,121.65,Pagado
45,PG00045,45,2026-03-20,Efectivo,730.45,Pagado
46,PG00046,46,2026-02-22,Yape/Plin,129.26,Pagado
47,PG00047,47,2026-01-15,Transferencia,1958.17,Pagado
48,PG00048,48,2026-03-28,Transferencia,260.17,Pagado
49,PG00049,49,2026-02-11,Yape/Plin,1609.92,Pagado
50,PG00050,50,2026-06-10,Efectivo,28.34,Pagado
51,PG00051,51,2026-04-28,Tarjeta,171.05,Pagado
52,PG00052,52,2026-06-11,Efectivo,1152.28,Pagado
53,PG00053,53,2026-03-14,Transferencia,83.67,Pagado
54,PG00054,54,2026-01-19,Efectivo,337.55,Pagado
55,PG00055,55,2026-03-04,Transferencia,143.64,Pagado
56,PG00056,56,2026-06-30,Transferencia,594.61,Pagado
57,PG00057,57,2026-05-19,Efectivo,1128.13,Pagado
58,PG00058,58,2026-05-29,Efectivo,100.53,Pagado
59,PG00059,59,2026-01-24,Tarjeta,2199.87,Pagado
60,PG00060,60,2026-03-16,Efectivo,0,Anulado
61,PG00061,61,2026-06-07,Yape/Plin,74.41,Pagado
62,PG00062,62,2026-05-07,Yape/Plin,131.27,Pagado
63,PG00063,63,2026-03-31,Tarjeta,128.8,Pagado
64,PG00064,64,2026-06-22,Transferencia,538.02,Pagado
65,PG00065,65,2026-02-16,Tarjeta,1549.82,Pagado
66,PG00066,66,2026-06-08,Yape/Plin,1276.2,Pagado
67,PG00067,67,2026-04-08,Efectivo,132.6,Pagado
68,PG00068,68,2026-04-17,Tarjeta,37.06,Pagado
69,PG00069,69,2026-03-01,Transferencia,0,Anulado
70,PG00070,70,2026-01-24,Yape/Plin,242.62,Pagado
71,PG00071,71,2026-04-09,Efectivo,129.34,Pagado
72,PG00072,72,2026-05-23,Tarjeta,278.19,Pagado
73,PG00073,73,2026-03-01,Tarjeta,1241.44,Pagado
74,PG00074,74,2026-06-02,Efectivo,288.27,Pagado
75,PG00075,75,2026-04-04,Efectivo,0,Anulado
76,PG00076,76,2026-04-11,Yape/Plin,198.74,Pagado
77,PG00077,77,2026-04-02,Tarjeta,363.1,Pagado
78,PG00078,78,2026-04-01,Yape/Plin,263.06,Pagado
79,PG00079,79,2026-02-15,Efectivo,0,Anulado
80,PG00080,80,2026-01-09,Tarjeta,1857.16,Pagado
81,PG00081,81,2026-03-15,Transferencia,149.48,Pagado
82,PG00082,82,2026-03-07,Yape/Plin,295.22,Pagado
83,PG00083,83,2026-02-06,Yape/Plin,387.78,Pagado
84,PG00084,84,2026-01-07,Tarjeta,210.88,Pagado
85,PG00085,85,2026-04-17,Tarjeta,0,Anulado
86,PG00086,86,2026-03-01,Yape/Plin,106.58,Pagado
87,PG00087,87,2026-06-11,Yape/Plin,609.79,Pagado
88,PG00088,88,2026-06-30,Efectivo,629.69,Pagado
89,PG00089,89,2026-05-20,Yape/Plin,22.66,Pagado
90,PG00090,90,2026-03-22,Transferencia,682.33,Pagado
91,PG00091,91,2026-04-05,Efectivo,186.23,Pagado
92,PG00092,92,2026-03-12,Transferencia,30.83,Pagado
93,PG00093,93,2026-05-13,Efectivo,171.29,Pagado
94,PG00094,94,2026-03-04,Tarjeta,715.7,Pagado
95,PG00095,95,2026-02-27,Transferencia,1484.22,Pagado
96,PG00096,96,2026-06-16,Transferencia,1122.08,Pagado
97,PG00097,97,2026-05-18,Tarjeta,319.12,Pagado
98,PG00098,98,2026-02-14,Tarjeta,430.82,Pagado
99,PG00099,99,2026-05-29,Yape/Plin,368.22,Pagado
100,PG00100,100,2026-03-05,Tarjeta,285.64,Pagado
101,PG00101,101,2026-05-02,Transferencia,189.34,Pagado
102,PG00102,102,2026-06-09,Transferencia,228.75,Pagado
103,PG00103,103,2026-04-26,Transferencia,718.64,Pagado
104,PG00104,104,2026-04-18,Transferencia,162.63,Pagado
105,PG00105,105,2026-03-12,Transferencia,1371.34,Pagado
106,PG00106,106,2026-06-13,Yape/Plin,62.32,Pagado
107,PG00107,107,2026-06-03,Yape/Plin,427.42,Pagado
108,PG00108,108,2026-03-26,Efectivo,2323.29,Pagado
109,PG00109,109,2026-04-14,Tarjeta,468.87,Pagado
110,PG00110,110,2026-04-23,Transferencia,182.36,Pagado
111,PG00111,111,2026-05-24,Transferencia,184.87,Pagado
112,PG00112,112,2026-03-05,Efectivo,0,Anulado
113,PG00113,113,2026-05-01,Efectivo,170.4,Pagado
114,PG00114,114,2026-01-24,Tarjeta,472.58,Pagado
115,PG00115,115,2026-01-18,Tarjeta,23.33,Pagado
116,PG00116,116,2026-04-10,Tarjeta,835.49,Pagado
117,PG00117,117,2026-01-27,Tarjeta,0,Anulado
118,PG00118,118,2026-05-31,Transferencia,1900.84,Pagado
119,PG00119,119,2026-02-11,Yape/Plin,1087.45,Pagado
120,PG00120,120,2026-03-25,Transferencia,173.73,Pagado
121,PG00121,121,2026-05-02,Tarjeta,25.04,Pagado
122,PG00122,122,2026-06-02,Tarjeta,31.57,Pagado
123,PG00123,123,2026-02-14,Transferencia,1478.41,Pagado
124,PG00124,124,2026-01-27,Transferencia,542.63,Pagado
125,PG00125,125,2026-05-13,Tarjeta,283.18,Pagado
126,PG00126,126,2026-06-30,Transferencia,0,Anulado
127,PG00127,127,2026-01-12,Yape/Plin,23.89,Pagado
128,PG00128,128,2026-02-09,Tarjeta,149.67,Pagado
129,PG00129,129,2026-03-02,Tarjeta,138.21,Pagado
130,PG00130,130,2026-05-10,Efectivo,520.0,Pagado
