id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,25,1,95.00,95.00
2,1,5,4,955.32,3821.28
3,1,17,1,152.42,152.42
4,2,1,1,180.00,180.00
5,2,29,1,511.94,511.94
6,2,8,3,56.39,169.17
7,3,3,3,414.68,1244.04
8,3,8,5,56.39,281.95
9,3,21,2,36.23,72.46
10,3,8,2,56.39,112.78
11,4,16,1,89.35,89.35
12,4,8,1,56.39,56.39
13,5,18,2,260.00,520.00
14,5,4,3,629.40,1888.20
15,6,19,5,12.00,60.00
16,6,22,4,62.94,251.76
17,6,4,6,629.40,3776.40
18,6,29,1,511.94,511.94
19,7,21,6,36.23,217.38
20,8,4,3,629.40,1888.20
21,9,15,4,52.38,209.52
22,9,25,4,95.00,380.00
23,10,7,5,35.00,175.00
24,11,13,4,18.00,72.00
25,11,20,6,20.85,125.10
26,11,29,1,511.94,511.94
27,12,9,4,90.86,363.44
28,12,20,1,20.85,20.85
29,13,14,1,30.71,30.71
30,13,7,3,35.00,105.00
31,14,18,3,260.00,780.00
32,14,8,2,56.39,112.78
33,14,23,1,109.36,109.36
34,14,20,4,20.85,83.40
35,15,3,5,414.68,2073.40
36,15,11,5,235.85,1179.25
37,15,7,4,35.00,140.00
38,15,12,6,380.00,2280.00
39,16,10,5,146.39,731.95
40,16,7,2,35.00,70.00
41,16,13,5,18.00,90.00
42,16,2,5,273.21,1366.05
43,17,22,4,62.94,251.76
44,18,14,1,30.71,30.71
45,18,8,6,56.39,338.34
46,18,14,2,30.71,61.42
47,18,29,4,511.94,2047.76
48,19,3,4,414.68,1658.72
49,19,29,5,511.94,2559.70
50,20,18,3,260.00,780.00
51,20,14,2,30.71,61.42
52,20,16,1,89.35,89.35
53,21,2,1,273.21,273.21
54,21,29,1,511.94,511.94
55,21,10,2,146.39,292.78
56,22,29,2,511.94,1023.88
57,22,5,5,955.32,4776.60
58,22,21,4,36.23,144.92
59,22,8,4,56.39,225.56
60,23,2,3,273.21,819.63
61,24,24,3,190.00,570.00
62,24,25,6,95.00,570.00
63,24,19,2,12.00,24.00
64,25,24,6,190.00,1140.00
65,26,27,4,220.53,882.12
66,26,9,5,90.86,454.30
67,27,18,6,260.00,1560.00
68,28,27,2,220.53,441.06
69,29,6,5,1450.00,7250.00
70,30,15,6,52.38,314.28
71,31,2,1,273.21,273.21
72,31,18,2,260.00,520.00
73,31,7,1,35.00,35.00
74,31,17,6,152.42,914.52
75,32,18,4,260.00,1040.00
76,32,1,1,180.00,180.00
77,33,11,4,235.85,943.40
78,33,28,2,336.01,672.02
79,34,8,3,56.39,169.17
80,34,19,5,12.00,60.00
81,35,25,2,95.00,190.00
82,35,19,3,12.00,36.00
83,35,20,5,20.85,104.25
84,35,23,5,109.36,546.80
85,36,22,2,62.94,125.88
86,36,10,3,146.39,439.17
87,36,1,4,180.00,720.00
88,37,9,3,90.86,272.58
89,38,16,5,89.35,446.75
90,39,20,4,20.85,83.40
91,39,17,3,152.42,457.26
92,39,11,3,235.85,707.55
93,39,9,2,90.86,181.72
94,40,23,2,109.36,218.72
95,41,7,1,35.00,35.00
96,41,15,3,52.38,157.14
97,41,15,1,52.38,52.38
98,42,16,2,89.35,178.70
99,42,18,4,260.00,1040.00
100,43,12,1,380.00,380.00
101,43,2,2,273.21,546.42
102,43,23,2,109.36,218.72
103,43,8,1,56.39,56.39
104,44,13,4,18.00,72.00
105,44,26,5,144.74,723.70
106,44,17,1,152.42,152.42
107,44,19,6,12.00,72.00
108,45,20,1,20.85,20.85
109,45,16,4,89.35,357.40
110,45,12,2,380.00,760.00
111,46,17,5,152.42,762.10
112,47,20,4,20.85,83.40
113,48,24,2,190.00,380.00
114,48,16,3,89.35,268.05
115,48,29,5,511.94,2559.70
116,48,30,4,780.00,3120.00
117,49,11,4,235.85,943.40
118,49,12,3,380.00,1140.00
119,49,17,3,152.42,457.26
120,49,22,6,62.94,377.64
121,50,22,3,62.94,188.82
122,51,29,3,511.94,1535.82
123,51,11,4,235.85,943.40
124,51,6,1,1450.00,1450.00
125,51,28,3,336.01,1008.03
126,52,20,1,20.85,20.85
127,53,16,1,89.35,89.35
128,54,14,1,30.71,30.71
129,54,9,3,90.86,272.58
130,55,9,6,90.86,545.16
131,55,30,4,780.00,3120.00
132,55,30,5,780.00,3900.00
133,55,8,6,56.39,338.34
134,56,19,6,12.00,72.00
135,56,25,3,95.00,285.00
136,57,28,2,336.01,672.02
137,57,9,2,90.86,181.72
138,57,24,6,190.00,1140.00
139,57,3,4,414.68,1658.72
140,58,29,6,511.94,3071.64
141,58,2,4,273.21,1092.84
142,59,2,2,273.21,546.42
143,59,30,2,780.00,1560.00
144,59,22,6,62.94,377.64
145,60,2,2,273.21,546.42
146,60,7,6,35.00,210.00
147,61,22,2,62.94,125.88
148,61,7,2,35.00,70.00
149,62,6,4,1450.00,5800.00
150,63,17,2,152.42,304.84
151,63,24,2,190.00,380.00
152,64,10,3,146.39,439.17
153,65,30,4,780.00,3120.00
154,65,28,2,336.01,672.02
155,66,27,5,220.53,1102.65
156,67,14,6,30.71,184.26
157,68,6,6,1450.00,8700.00
158,68,4,4,629.40,2517.60
159,69,16,5,89.35,446.75
160,69,20,5,20.85,104.25
161,69,24,6,190.00,1140.00
162,69,16,2,89.35,178.70
163,70,6,4,1450.00,5800.00
164,71,15,1,52.38,52.38
165,72,25,1,95.00,95.00
166,72,14,4,30.71,122.84
167,72,27,6,220.53,1323.18
168,72,6,5,1450.00,7250.00
169,73,20,4,20.85,83.40
170,73,5,2,955.32,1910.64
171,73,30,4,780.00,3120.00
172,74,4,2,629.40,1258.80
173,74,19,4,12.00,48.00
174,74,12,4,380.00,1520.00
175,75,8,2,56.39,112.78
176,75,10,4,146.39,585.56
177,75,13,6,18.00,108.00
178,76,24,5,190.00,950.00
179,77,23,2,109.36,218.72
180,77,11,5,235.85,1179.25
181,77,3,2,414.68,829.36
182,78,26,5,144.74,723.70
183,79,13,4,18.00,72.00
184,79,13,2,18.00,36.00
185,79,7,3,35.00,105.00
186,79,1,5,180.00,900.00
187,80,26,1,144.74,144.74
188,80,2,2,273.21,546.42
189,81,16,5,89.35,446.75
190,81,16,2,89.35,178.70
191,82,25,4,95.00,380.00
192,83,12,1,380.00,380.00
193,83,6,1,1450.00,1450.00
194,84,10,6,146.39,878.34
195,84,7,1,35.00,35.00
196,84,3,2,414.68,829.36
197,84,6,6,1450.00,8700.00
198,85,27,1,220.53,220.53
199,86,4,4,629.40,2517.60
200,87,28,5,336.01,1680.05
201,88,28,5,336.01,1680.05
202,88,11,2,235.85,471.70
203,88,18,4,260.00,1040.00
204,89,15,3,52.38,157.14
205,89,24,5,190.00,950.00
206,89,26,2,144.74,289.48
207,89,11,3,235.85,707.55
208,90,24,6,190.00,1140.00
209,90,21,6,36.23,217.38
210,91,28,3,336.01,1008.03
211,91,4,4,629.40,2517.60
212,91,24,5,190.00,950.00
213,92,25,5,95.00,475.00
214,92,18,4,260.00,1040.00
215,92,28,6,336.01,2016.06
216,92,15,5,52.38,261.90
217,93,15,1,52.38,52.38
218,94,28,4,336.01,1344.04
219,94,1,4,180.00,720.00
220,94,2,1,273.21,273.21
221,95,25,6,95.00,570.00
222,95,10,1,146.39,146.39
223,95,27,3,220.53,661.59
224,96,27,4,220.53,882.12
225,97,1,3,180.00,540.00
226,98,23,6,109.36,656.16
227,98,9,3,90.86,272.58
228,99,6,5,1450.00,7250.00
229,99,28,2,336.01,672.02
230,99,7,3,35.00,105.00
231,99,6,1,1450.00,1450.00
232,100,1,2,180.00,360.00
233,100,3,1,414.68,414.68
234,100,27,5,220.53,1102.65
235,101,25,2,95.00,190.00
236,101,23,5,109.36,546.80
237,102,5,5,955.32,4776.60
238,102,24,5,190.00,950.00
239,102,22,2,62.94,125.88
240,102,28,4,336.01,1344.04
241,103,7,2,35.00,70.00
242,103,24,3,190.00,570.00
243,104,17,2,152.42,304.84
244,104,15,3,52.38,157.14
245,104,7,5,35.00,175.00
246,105,11,2,235.85,471.70
247,105,13,4,18.00,72.00
248,105,5,2,955.32,1910.64
249,106,23,2,109.36,218.72
250,106,14,4,30.71,122.84
251,106,23,6,109.36,656.16
252,107,26,1,144.74,144.74
253,107,22,4,62.94,251.76
254,107,23,4,109.36,437.44
255,107,10,6,146.39,878.34
256,108,9,4,90.86,363.44
257,108,7,4,35.00,140.00
258,109,8,6,56.39,338.34
259,109,22,3,62.94,188.82
260,109,9,6,90.86,545.16
261,110,17,5,152.42,762.10
262,110,5,2,955.32,1910.64
263,111,23,5,109.36,546.80
264,111,24,5,190.00,950.00
265,112,9,6,90.86,545.16
266,112,18,1,260.00,260.00
267,113,25,4,95.00,380.00
268,113,6,3,1450.00,4350.00
269,113,26,6,144.74,868.44
270,113,29,6,511.94,3071.64
271,114,23,1,109.36,109.36
272,115,27,2,220.53,441.06
273,115,1,2,180.00,360.00
274,115,27,5,220.53,1102.65
275,115,8,4,56.39,225.56
276,116,3,1,414.68,414.68
277,116,23,2,109.36,218.72
278,116,5,1,955.32,955.32
279,117,19,3,12.00,36.00
280,117,16,4,89.35,357.40
281,118,28,3,336.01,1008.03
282,118,9,3,90.86,272.58
283,118,19,5,12.00,60.00
284,119,26,6,144.74,868.44
285,119,20,2,20.85,41.70
286,119,19,5,12.00,60.00
287,120,14,6,30.71,184.26
288,120,28,4,336.01,1344.04
289,120,1,5,180.00,900.00
290,120,4,1,629.40,629.40
291,121,3,4,414.68,1658.72
292,121,10,6,146.39,878.34
293,122,26,5,144.74,723.70
294,122,11,4,235.85,943.40
295,122,27,5,220.53,1102.65
296,122,20,6,20.85,125.10
297,123,23,1,109.36,109.36
298,123,10,5,146.39,731.95
299,123,12,3,380.00,1140.00
300,123,13,5,18.00,90.00
301,124,15,6,52.38,314.28
302,124,20,6,20.85,125.10
303,125,14,5,30.71,153.55
304,125,23,6,109.36,656.16
305,126,29,3,511.94,1535.82
306,127,18,6,260.00,1560.00
307,128,23,3,109.36,328.08
308,128,16,3,89.35,268.05
309,129,2,4,273.21,1092.84
310,129,14,6,30.71,184.26
311,129,26,6,144.74,868.44
312,130,28,5,336.01,1680.05
313,130,29,6,511.94,3071.64
314,131,8,3,56.39,169.17
315,131,21,4,36.23,144.92
316,132,10,5,146.39,731.95
317,133,25,4,95.00,380.00
318,134,10,6,146.39,878.34
319,134,15,2,52.38,104.76
320,135,10,5,146.39,731.95
321,135,7,3,35.00,105.00
322,136,4,6,629.40,3776.40
323,136,9,1,90.86,90.86
324,137,18,3,260.00,780.00
325,138,9,5,90.86,454.30
326,139,5,2,955.32,1910.64
327,139,21,6,36.23,217.38
328,139,24,5,190.00,950.00
329,140,8,2,56.39,112.78
330,141,1,1,180.00,180.00
331,141,22,2,62.94,125.88
332,141,14,5,30.71,153.55
333,142,14,3,30.71,92.13
334,142,1,5,180.00,900.00
335,142,19,5,12.00,60.00
336,142,14,3,30.71,92.13
337,143,14,5,30.71,153.55
338,143,4,5,629.40,3147.00
339,144,20,3,20.85,62.55
340,145,14,4,30.71,122.84
341,145,12,1,380.00,380.00
342,145,13,1,18.00,18.00
343,146,3,5,414.68,2073.40
344,147,11,5,235.85,1179.25
345,147,12,3,380.00,1140.00
346,147,6,3,1450.00,4350.00
347,147,14,3,30.71,92.13
348,148,3,5,414.68,2073.40
349,148,30,2,780.00,1560.00
350,148,13,1,18.00,18.00
351,149,28,2,336.01,672.02
352,149,16,3,89.35,268.05
353,149,10,5,146.39,731.95
354,150,23,2,109.36,218.72
355,150,22,5,62.94,314.70
356,151,10,6,146.39,878.34
357,151,25,3,95.00,285.00
358,151,14,1,30.71,30.71
359,151,2,1,273.21,273.21
360,152,14,3,30.71,92.13
361,152,23,2,109.36,218.72
362,153,20,3,20.85,62.55
363,154,9,4,90.86,363.44
364,154,5,4,955.32,3821.28
365,154,20,1,20.85,20.85
366,154,14,6,30.71,184.26
367,155,16,2,89.35,178.70
368,156,4,2,629.40,1258.80
369,156,6,5,1450.00,7250.00
370,156,13,5,18.00,90.00
371,157,27,4,220.53,882.12
372,157,15,6,52.38,314.28
373,157,3,3,414.68,1244.04
374,158,4,2,629.40,1258.80
375,158,1,6,180.00,1080.00
376,159,16,2,89.35,178.70
377,159,21,1,36.23,36.23
378,159,27,6,220.53,1323.18
379,159,4,2,629.40,1258.80
380,160,14,1,30.71,30.71
381,161,16,2,89.35,178.70
382,161,13,4,18.00,72.00
383,161,11,4,235.85,943.40
384,162,10,5,146.39,731.95
385,162,26,4,144.74,578.96
386,163,28,6,336.01,2016.06
387,163,12,1,380.00,380.00
388,164,21,6,36.23,217.38
389,164,16,6,89.35,536.10
390,165,8,4,56.39,225.56
391,166,9,5,90.86,454.30
392,166,29,5,511.94,2559.70
393,166,27,3,220.53,661.59
394,166,8,1,56.39,56.39
395,167,18,2,260.00,520.00
396,167,8,3,56.39,169.17
397,168,2,1,273.21,273.21
398,169,15,6,52.38,314.28
399,169,26,2,144.74,289.48
400,170,16,6,89.35,536.10
401,171,7,6,35.00,210.00
402,171,14,1,30.71,30.71
403,171,12,2,380.00,760.00
404,171,29,2,511.94,1023.88
405,172,25,4,95.00,380.00
406,172,5,1,955.32,955.32
407,172,15,4,52.38,209.52
408,173,25,2,95.00,190.00
409,173,10,1,146.39,146.39
410,173,29,2,511.94,1023.88
411,173,22,4,62.94,251.76
412,174,19,6,12.00,72.00
413,174,23,4,109.36,437.44
414,175,13,4,18.00,72.00
415,175,16,1,89.35,89.35
416,175,6,2,1450.00,2900.00
417,176,13,6,18.00,108.00
418,176,19,4,12.00,48.00
419,177,9,6,90.86,545.16
420,177,21,3,36.23,108.69
421,177,23,2,109.36,218.72
422,177,4,2,629.40,1258.80
423,178,10,5,146.39,731.95
424,178,17,5,152.42,762.10
425,178,3,1,414.68,414.68
426,178,14,6,30.71,184.26
427,179,22,6,62.94,377.64
428,179,1,6,180.00,1080.00
429,179,9,1,90.86,90.86
430,180,15,6,52.38,314.28
431,180,7,2,35.00,70.00
432,181,15,6,52.38,314.28
433,181,20,5,20.85,104.25
434,182,10,3,146.39,439.17
435,182,8,3,56.39,169.17
436,183,28,3,336.01,1008.03
437,183,30,1,780.00,780.00
438,184,14,5,30.71,153.55
439,184,17,1,152.42,152.42
440,185,30,5,780.00,3900.00
441,186,18,6,260.00,1560.00
442,186,11,1,235.85,235.85
443,186,17,5,152.42,762.10
444,186,26,6,144.74,868.44
445,187,18,5,260.00,1300.00
446,187,16,6,89.35,536.10
447,188,1,2,180.00,360.00
448,188,27,1,220.53,220.53
449,188,25,6,95.00,570.00
450,189,16,2,89.35,178.70
451,189,15,3,52.38,157.14
452,190,6,3,1450.00,4350.00
453,191,1,4,180.00,720.00
454,192,29,4,511.94,2047.76
455,192,25,3,95.00,285.00
456,192,23,4,109.36,437.44
457,193,26,4,144.74,578.96
458,193,29,1,511.94,511.94
459,193,16,6,89.35,536.10
460,193,28,1,336.01,336.01
461,194,20,5,20.85,104.25
462,194,5,6,955.32,5731.92
463,194,25,3,95.00,285.00
464,194,6,2,1450.00,2900.00
465,195,2,6,273.21,1639.26
466,195,5,5,955.32,4776.60
467,195,16,3,89.35,268.05
468,195,29,2,511.94,1023.88
469,196,16,4,89.35,357.40
470,196,26,1,144.74,144.74
471,196,22,1,62.94,62.94
472,196,17,6,152.42,914.52
473,197,15,3,52.38,157.14
474,198,30,1,780.00,780.00
475,199,3,3,414.68,1244.04
476,199,24,3,190.00,570.00
477,199,8,2,56.39,112.78
478,199,3,2,414.68,829.36
479,200,13,2,18.00,36.00
480,201,22,1,62.94,62.94
481,201,3,4,414.68,1658.72
482,202,2,3,273.21,819.63
483,203,10,5,146.39,731.95
484,203,1,6,180.00,1080.00
485,203,18,5,260.00,1300.00
486,204,11,2,235.85,471.70
487,204,2,5,273.21,1366.05
488,204,30,3,780.00,2340.00
489,205,21,4,36.23,144.92
490,205,3,1,414.68,414.68
491,206,11,2,235.85,471.70
492,206,14,1,30.71,30.71
