id_entidad,codigo_entidad,nombre_entidad,segmento,distrito,fecha_registro
1,E0001,Entidad 001,Corporativo,Lince,2026-02-08
2,E0002,Entidad 002,Regular,Callao,2026-02-17
3,E0003,Entidad 003,Corporativo,San Miguel,2026-02-19
4,E0004,Entidad 004,Nuevo,Los Olivos,2026-01-12
5,E0005,Entidad 005,Regular,Comas,2026-02-20
6,E0006,Entidad 006,Nuevo,Ate,2026-01-09
7,E0007,Entidad 007,Regular,Los Olivos,2026-01-03
8,E0008,Entidad 008,Corporativo,Surco,2026-02-04
9,E0009,Entidad 009,Nuevo,Miraflores,2026-02-21
10,E0010,Entidad 010,Regular,Ate,2026-03-13
11,E0011,Entidad 011,Nuevo,Lince,2026-03-26
12,E0012,Entidad 012,Corporativo,Lince,2026-04-14
13,E0013,Entidad 013,Corporativo,Surco,2026-04-07
14,E0014,Entidad 014,Preferente,Ate,2026-01-15
15,E0015,Entidad 015,Regular,Lince,2026-02-02
16,E0016,Entidad 016,Corporativo,Surco,2026-02-10
17,E0017,Entidad 017,Corporativo,San Miguel,2026-03-12
18,E0018,Entidad 018,Corporativo,Miraflores,2026-02-15
19,E0019,Entidad 019,Preferente,Ate,2026-02-26
20,E0020,Entidad 020,Nuevo,Surco,2026-02-17
21,E0021,Entidad 021,Regular,Surco,2026-01-15
22,E0022,Entidad 022,Preferente,San Miguel,2026-02-09
23,E0023,Entidad 023,Nuevo,Surco,2026-04-03
24,E0024,Entidad 024,Nuevo,San Miguel,2026-01-23
25,E0025,Entidad 025,Nuevo,Los Olivos,2026-03-09
26,E0026,Entidad 026,Nuevo,Comas,2026-03-25
27,E0027,Entidad 027,Preferente,Los Olivos,2026-02-17
28,E0028,Entidad 028,Preferente,Los Olivos,2026-04-04
29,E0029,Entidad 029,Nuevo,Surco,2026-03-11
30,E0030,Entidad 030,Nuevo,Surco,2026-01-21
31,E0031,Entidad 031,Nuevo,Los Olivos,2026-01-23
32,E0032,Entidad 032,Regular,Ate,2026-03-23
33,E0033,Entidad 033,Nuevo,San Miguel,2026-01-13
34,E0034,Entidad 034,Nuevo,Surco,2026-03-03
35,E0035,Entidad 035,Corporativo,San Miguel,2026-01-19
36,E0036,Entidad 036,Corporativo,San Miguel,2026-02-03
37,E0037,Entidad 037,Regular,Los Olivos,2026-01-14
38,E0038,Entidad 038,Regular,Lince,2026-01-15
39,E0039,Entidad 039,Regular,Surco,2026-01-03
40,E0040,Entidad 040,Preferente,Surco,2026-02-19
41,E0041,Entidad 041,Corporativo,Ate,2026-01-21
42,E0042,Entidad 042,Preferente,Lince,2026-04-18
43,E0043,Entidad 043,Nuevo,Los Olivos,2026-01-12
44,E0044,Entidad 044,Regular,San Miguel,2026-04-04
45,E0045,Entidad 045,Preferente,Ate,2026-01-11
46,E0046,Entidad 046,Corporativo,Surco,2026-04-15
47,E0047,Entidad 047,Preferente,Miraflores,2026-01-15
48,E0048,Entidad 048,Preferente,Callao,2026-04-10
49,E0049,Entidad 049,Preferente,Los Olivos,2026-01-09
50,E0050,Entidad 050,Corporativo,Ate,2026-01-19
51,E0051,Entidad 051,Preferente,San Miguel,2026-01-29
52,E0052,Entidad 052,Regular,Los Olivos,2026-01-07
53,E0053,Entidad 053,Preferente,Comas,2026-03-18
54,E0054,Entidad 054,Nuevo,San Miguel,2026-01-26
55,E0055,Entidad 055,Regular,Los Olivos,2026-01-07
56,E0056,Entidad 056,Preferente,Ate,2026-04-07
57,E0057,Entidad 057,Preferente,Surco,2026-03-02
58,E0058,Entidad 058,Regular,Ate,2026-01-07
59,E0059,Entidad 059,Corporativo,Callao,2026-03-29
60,E0060,Entidad 060,Nuevo,Miraflores,2026-02-20
61,E0061,Entidad 061,Corporativo,Callao,2026-02-10
62,E0062,Entidad 062,Regular,Comas,2026-04-14
63,E0063,Entidad 063,Corporativo,Callao,2026-04-01
64,E0064,Entidad 064,Corporativo,San Miguel,2026-02-24
65,E0065,Entidad 065,Regular,Ate,2026-01-07
66,E0066,Entidad 066,Corporativo,Surco,2026-03-13
67,E0067,Entidad 067,Nuevo,Ate,2026-04-04
68,E0068,Entidad 068,Corporativo,Callao,2026-01-17
69,E0069,Entidad 069,Corporativo,Miraflores,2026-04-07
70,E0070,Entidad 070,Regular,Los Olivos,2026-04-08
71,E0071,Entidad 071,Corporativo,Lince,2026-02-05
72,E0072,Entidad 072,Corporativo,Miraflores,2026-01-27
73,E0073,Entidad 073,Regular,Miraflores,2026-02-28
74,E0074,Entidad 074,Regular,San Miguel,2026-03-18
75,E0075,Entidad 075,Preferente,Los Olivos,2026-04-03
76,E0076,Entidad 076,Nuevo,Lince,2026-04-17
77,E0077,Entidad 077,Preferente,Los Olivos,2026-02-27
78,E0078,Entidad 078,Corporativo,San Miguel,2026-01-27
79,E0079,Entidad 079,Nuevo,Callao,2026-01-08
80,E0080,Entidad 080,Regular,Comas,2026-01-05
