id_detalle,id_operacion,id_producto,cantidad,precio_unitario,subtotal
1,1,27,4,30.00,120.00
2,1,13,3,59.90,179.70
3,2,4,2,17.41,34.82
4,3,15,1,107.90,107.90
5,3,3,5,11.49,57.45
6,3,1,6,5.00,30.00
7,3,16,1,131.90,131.90
8,4,26,1,15.00,15.00
9,4,16,3,131.90,395.70
10,4,6,1,40.00,40.00
11,4,20,3,163.29,489.87
12,5,3,6,11.49,68.94
13,5,9,3,53.81,161.43
14,5,26,5,15.00,75.00
15,6,6,5,40.00,200.00
16,6,4,5,17.41,87.05
17,7,24,1,1850.00,1850.00
18,7,6,5,40.00,200.00
19,8,25,3,0.00,0.00
20,8,19,6,89.00,534.00
21,8,6,5,40.00,200.00
22,8,3,6,11.49,68.94
23,9,25,4,0.00,0.00
24,9,6,2,40.00,80.00
25,10,20,6,163.29,979.74
26,10,9,3,53.81,161.43
27,10,9,1,53.81,53.81
28,11,2,5,7.58,37.90
29,11,23,5,1008.36,5041.80
30,11,18,6,179.90,1079.40
31,12,30,4,75.00,300.00
32,12,14,2,83.90,167.80
33,13,18,3,179.90,539.70
34,13,20,3,163.29,489.87
35,14,16,4,131.90,527.60
36,15,27,3,30.00,90.00
37,16,19,5,89.00,445.00
38,16,22,5,549.62,2748.10
39,17,6,2,40.00,80.00
40,18,29,3,60.00,180.00
41,18,20,4,163.29,653.16
42,19,10,6,72.18,433.08
43,20,9,5,53.81,269.05
44,21,15,3,107.90,323.70
45,21,17,3,155.90,467.70
46,21,5,6,26.39,158.34
47,22,8,2,40.11,80.22
48,23,3,5,11.49,57.45
49,23,20,2,163.29,326.58
50,24,17,2,155.90,311.80
51,24,17,6,155.90,935.40
52,25,22,2,549.62,1099.24
53,25,15,3,107.90,323.70
54,25,14,4,83.90,335.60
55,26,28,4,45.00,180.00
56,26,30,3,75.00,225.00
57,27,16,3,131.90,395.70
58,27,9,3,53.81,161.43
59,27,12,1,129.90,129.90
60,27,29,6,60.00,360.00
61,28,3,2,11.49,22.98
62,29,3,2,11.49,22.98
63,30,20,3,163.29,489.87
64,30,16,4,131.90,527.60
65,30,6,3,40.00,120.00
66,30,27,5,30.00,150.00
67,31,6,6,40.00,240.00
68,31,2,2,7.58,15.16
69,32,27,1,30.00,30.00
70,33,25,4,0.00,0.00
71,33,15,3,107.90,323.70
72,34,22,5,549.62,2748.10
73,34,25,2,0.00,0.00
74,34,26,4,15.00,60.00
75,35,19,2,89.00,178.00
76,35,25,6,0.00,0.00
77,35,7,5,29.90,149.50
78,36,13,2,59.90,119.80
79,36,4,4,17.41,69.64
80,36,27,6,30.00,180.00
81,36,4,5,17.41,87.05
82,37,30,4,75.00,300.00
83,38,7,3,29.90,89.70
84,38,1,3,5.00,15.00
85,38,21,2,299.57,599.14
86,38,17,6,155.90,935.40
87,39,24,5,1850.00,9250.00
88,39,22,1,549.62,549.62
89,40,20,3,163.29,489.87
90,40,5,4,26.39,105.56
91,40,10,1,72.18,72.18
92,41,8,6,40.11,240.66
93,42,29,6,60.00,360.00
94,43,3,2,11.49,22.98
95,43,18,1,179.90,179.90
96,43,13,3,59.90,179.70
97,44,24,6,1850.00,11100.00
98,44,10,5,72.18,360.90
99,44,29,5,60.00,300.00
100,44,25,2,0.00,0.00
101,45,30,3,75.00,225.00
102,45,14,4,83.90,335.60
103,45,25,2,0.00,0.00
104,46,12,4,129.90,519.60
105,46,24,6,1850.00,11100.00
106,47,27,4,30.00,120.00
107,47,5,4,26.39,105.56
108,47,19,5,89.00,445.00
109,47,27,1,30.00,30.00
110,48,14,6,83.90,503.40
111,48,4,3,17.41,52.23
112,48,21,5,299.57,1497.85
113,49,4,5,17.41,87.05
114,50,3,1,11.49,11.49
115,50,25,1,0.00,0.00
116,50,19,3,89.00,267.00
117,51,1,5,5.00,25.00
118,51,11,3,96.83,290.49
119,51,9,4,53.81,215.24
120,51,21,2,299.57,599.14
121,52,14,5,83.90,419.50
122,52,3,5,11.49,57.45
123,53,23,1,1008.36,1008.36
124,54,6,4,40.00,160.00
125,54,1,2,5.00,10.00
126,54,20,6,163.29,979.74
127,55,6,1,40.00,40.00
128,55,13,4,59.90,239.60
129,55,10,6,72.18,433.08
130,55,24,6,1850.00,11100.00
131,56,5,4,26.39,105.56
132,56,5,2,26.39,52.78
133,56,14,2,83.90,167.80
134,56,8,4,40.11,160.44
135,57,24,5,1850.00,9250.00
136,57,1,1,5.00,5.00
137,57,10,2,72.18,144.36
138,57,6,6,40.00,240.00
139,58,3,2,11.49,22.98
140,58,6,2,40.00,80.00
141,58,5,6,26.39,158.34
142,59,9,6,53.81,322.86
143,60,22,2,549.62,1099.24
144,60,5,3,26.39,79.17
145,60,22,2,549.62,1099.24
146,61,4,4,17.41,69.64
147,62,15,3,107.90,323.70
148,62,3,2,11.49,22.98
149,62,3,1,11.49,11.49
150,62,11,3,96.83,290.49
151,63,17,4,155.90,623.60
152,63,6,3,40.00,120.00
153,64,17,2,155.90,311.80
154,64,16,4,131.90,527.60
155,65,20,1,163.29,163.29
156,65,11,2,96.83,193.66
157,65,3,6,11.49,68.94
158,65,6,1,40.00,40.00
159,66,30,6,75.00,450.00
160,66,3,6,11.49,68.94
161,66,17,2,155.90,311.80
162,66,28,3,45.00,135.00
163,67,4,6,17.41,104.46
164,67,1,4,5.00,20.00
165,67,2,1,7.58,7.58
166,68,10,4,72.18,288.72
167,68,9,3,53.81,161.43
168,68,9,4,53.81,215.24
169,69,3,4,11.49,45.96
170,70,17,6,155.90,935.40
171,70,29,6,60.00,360.00
172,70,6,6,40.00,240.00
173,71,12,1,129.90,129.90
174,71,21,6,299.57,1797.42
175,71,12,3,129.90,389.70
176,71,15,3,107.90,323.70
177,72,19,2,89.00,178.00
178,72,15,5,107.90,539.50
179,73,24,6,1850.00,11100.00
180,73,18,4,179.90,719.60
181,73,13,4,59.90,239.60
182,73,27,6,30.00,180.00
183,74,3,2,11.49,22.98
184,75,14,5,83.90,419.50
185,75,28,4,45.00,180.00
186,75,18,6,179.90,1079.40
187,75,17,4,155.90,623.60
188,76,2,2,7.58,15.16
189,76,25,3,0.00,0.00
190,77,7,2,29.90,59.80
191,77,22,4,549.62,2198.48
192,77,1,2,5.00,10.00
193,78,23,4,1008.36,4033.44
194,78,2,1,7.58,7.58
195,79,8,5,40.11,200.55
196,79,22,3,549.62,1648.86
197,79,8,4,40.11,160.44
198,80,16,6,131.90,791.40
199,81,5,5,26.39,131.95
200,81,30,3,75.00,225.00
201,81,16,2,131.90,263.80
202,82,15,1,107.90,107.90
203,82,18,4,179.90,719.60
204,82,15,6,107.90,647.40
205,82,27,2,30.00,60.00
206,83,27,2,30.00,60.00
207,83,25,1,0.00,0.00
208,83,25,5,0.00,0.00
209,83,27,1,30.00,30.00
210,84,10,1,72.18,72.18
211,84,11,3,96.83,290.49
212,85,28,3,45.00,135.00
213,85,23,5,1008.36,5041.80
214,85,22,4,549.62,2198.48
215,86,3,6,11.49,68.94
216,86,24,5,1850.00,9250.00
217,87,23,3,1008.36,3025.08
218,87,1,5,5.00,25.00
219,87,29,5,60.00,300.00
220,88,20,6,163.29,979.74
221,88,20,1,163.29,163.29
222,89,6,6,40.00,240.00
223,89,18,2,179.90,359.80
224,90,8,5,40.11,200.55
225,90,7,2,29.90,59.80
226,91,22,1,549.62,549.62
227,91,7,5,29.90,149.50
228,91,25,4,0.00,0.00
229,92,20,4,163.29,653.16
230,93,23,5,1008.36,5041.80
231,93,14,3,83.90,251.70
232,93,6,6,40.00,240.00
233,94,14,2,83.90,167.80
234,94,21,5,299.57,1497.85
235,95,16,5,131.90,659.50
236,96,24,2,1850.00,3700.00
237,97,11,2,96.83,193.66
238,97,12,2,129.90,259.80
239,97,14,5,83.90,419.50
240,97,6,4,40.00,160.00
241,98,18,6,179.90,1079.40
242,99,15,1,107.90,107.90
243,99,8,3,40.11,120.33
244,99,18,2,179.90,359.80
245,99,3,6,11.49,68.94
246,100,22,1,549.62,549.62
247,100,5,3,26.39,79.17
248,101,6,2,40.00,80.00
249,101,21,6,299.57,1797.42
250,102,8,3,40.11,120.33
251,103,1,5,5.00,25.00
252,103,10,6,72.18,433.08
253,103,25,5,0.00,0.00
254,104,30,3,75.00,225.00
255,104,22,5,549.62,2748.10
256,105,20,2,163.29,326.58
257,105,2,6,7.58,45.48
258,105,27,3,30.00,90.00
259,105,1,6,5.00,30.00
260,106,15,3,107.90,323.70
261,106,10,2,72.18,144.36
262,106,10,5,72.18,360.90
263,107,24,3,1850.00,5550.00
264,107,11,4,96.83,387.32
265,108,21,6,299.57,1797.42
266,108,5,3,26.39,79.17
267,109,9,5,53.81,269.05
268,109,8,5,40.11,200.55
269,110,4,6,17.41,104.46
270,110,10,3,72.18,216.54
271,111,30,1,75.00,75.00
272,111,8,5,40.11,200.55
273,112,17,5,155.90,779.50
274,112,4,6,17.41,104.46
275,112,18,3,179.90,539.70
276,112,15,1,107.90,107.90
277,113,6,5,40.00,200.00
278,114,4,4,17.41,69.64
279,114,6,1,40.00,40.00
280,114,16,2,131.90,263.80
281,114,4,1,17.41,17.41
282,115,24,4,1850.00,7400.00
283,115,28,5,45.00,225.00
