id_pago,codigo_pago,id_operacion,fecha_pago,medio_pago,monto_pagado,estado_pago
1,PG00001,1,2026-04-17,Tarjeta,299.70,Pagado
2,PG00002,2,2026-06-23,Débito automático,490.83,Parcial
3,PG00003,3,2026-04-17,Yape/Plin,0.0,Anulado
4,PG00004,4,2026-05-28,Agente autorizado,940.57,Pagado
5,PG00005,5,2026-06-27,Tarjeta,0.0,Anulado
6,PG00006,6,2026-04-04,Débito automático,287.05,Pagado
7,PG00007,7,2026-02-28,Yape/Plin,1299.77,Parcial
8,PG00008,8,2026-02-27,Agente autorizado,802.94,Pagado
9,PG00009,9,2026-06-20,Tarjeta,80.00,Pagado
10,PG00010,10,2026-05-02,Débito automático,1194.98,Pagado
11,PG00011,11,2026-03-24,Yape/Plin,6159.10,Pagado
12,PG00012,12,2026-03-11,Agente autorizado,647.08,Parcial
13,PG00013,13,2026-05-05,Tarjeta,0.0,Anulado
14,PG00014,14,2026-02-26,Débito automático,527.60,Pagado
15,PG00015,15,2026-06-26,Yape/Plin,90.00,Pagado
16,PG00016,16,2026-01-13,Agente autorizado,0.0,Anulado
17,PG00017,17,2026-01-17,Tarjeta,80.00,Pagado
18,PG00018,18,2026-05-13,Débito automático,0.0,Anulado
19,PG00019,19,2026-04-16,Yape/Plin,433.08,Pagado
20,PG00020,20,2026-03-19,Agente autorizado,269.05,Pagado
21,PG00021,21,2026-05-24,Tarjeta,3369.99,Pagado
22,PG00022,22,,Débito automático,80.22,Pagado
23,PG00023,23,2026-03-10,Yape/Plin,384.03,Pagado
24,PG00024,24,2026-01-25,Agente autorizado,1247.20,Pagado
25,PG00025,25,2026-02-19,Tarjeta,456.88,Parcial
26,PG00026,26,2026-02-21,Débito automático,0.0,Anulado
27,PG00027,27,2026-02-23,Yape/Plin,1047.03,Pagado
28,PG00028,28,2026-02-10,Agente autorizado,22.98,Pagado
29,PG00029,29,2026-01-12,Tarjeta,22.98,Pagado
